Layer,Frobenius_Norm
0,226818.62532753416
1,228273.5404197905
2,228325.91499233246
3,228339.5192586051
4,228372.1210740937
5,228349.2306723065
6,228332.04429944357
7,228421.90608469644
8,228345.84657382965
9,228398.88447618484
10,228326.64054197737
11,228389.9418399069
12,228374.76686239243
13,228361.26839764914
14,228357.30497762893
15,228324.3133442137
16,228353.3529132737
17,228332.97095055052
18,228359.7006761763
19,228345.45831659104
20,228326.08750682406
21,228366.07749552198
22,228328.09459108778
23,228350.31217691634
