Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.5248615589295902,0.5236774868653846,0.5239351102359855,0.5231582914385378,0.5221288562518254,0.000501729923927885,0.000535000243713394,0.0004389095547816524,0.0003183640289955575,0.00027971503296925215,0.0001693523644959033,2.008153855287756e-05,7.2598366760929026e-06,3.886215764038834e-05,0.0005005476356305417,0.0015696045509677875,0.0036766904730163447,0.004459853126565827,0.005299977121915822,0.0060599472217939265,0.01582991395726041,0.009781689999248722,0.02228069154881518
1,0.5248615589295902,1.000000476837215,0.9993045347555132,0.9980126965855938,0.9968515421642223,0.9928837515623314,0.00010949602794912972,0.00014109196415214385,6.90526861259512e-05,1.91647010149322e-05,7.826539044479032e-06,6.038161792935046e-06,0.0002415957587512431,0.0006220454518844655,0.0010898668494217084,0.0033166746457398283,0.007409883091769542,0.014246836254008743,0.018819346014924188,0.02529393142701597,0.03294952666550799,0.08256774396934308,0.08074197020783913,0.034330658967967276
2,0.5236774868653846,0.9993045347555132,0.9999996423721633,0.9993022705680374,0.9983948954773183,0.9949942447547642,0.0001550483798331559,0.00019130742850029334,0.00010369026469916973,3.8232158651197454e-05,2.041791592475098e-05,6.652029511078622e-07,0.00019729786913727856,0.0005627895095052793,0.0010298248167778384,0.0032589077575652242,0.007417349014681385,0.014507641907877622,0.019319578743131283,0.02606758885442262,0.034006121450353755,0.08530888975120465,0.08337793524234272,0.03390913537783846
3,0.5239351102359855,0.9980126965855938,0.9993022705680374,0.9999995231628986,0.9992899963332071,0.996463093906641,0.00017747301451952278,0.00021549540073484766,0.00011906898419163179,4.664085175765109e-05,2.5672848488214606e-05,1.2759507220505076e-07,0.0001893652942697721,0.0005622763401769149,0.0010523997180401784,0.0033580040330414423,0.007689151197452171,0.01519533248587468,0.020362524960632067,0.027538151348231787,0.03598201111041366,0.08990672622081775,0.0881704780121062,0.03347143492269411
4,0.5231582914385378,0.9968515421642223,0.9983948954773183,0.9992899963332071,0.999999880790714,0.997841094151454,0.0001545083064187526,0.00018932969327350394,9.819609335482652e-05,3.3513605557422554e-05,1.5863145135172835e-05,2.200977436230911e-06,0.00022450966458370525,0.0006288472541109182,0.001155781521034585,0.0035722595418703623,0.008069507198258885,0.015866978305155932,0.021263456979108364,0.02873344542125289,0.03749296159199744,0.09297238239445083,0.09130026625945309,0.03337021697394449
5,0.5221288562518254,0.9928837515623314,0.9949942447547642,0.996463093906641,0.997841094151454,1.000000476837215,3.245658713109064e-05,1.930065155014791e-05,7.021649451330672e-05,0.00015875950755753557,0.00021208373086890886,0.00040241013923693336,0.0011339863107302645,0.0019365815852095403,0.0028342593349413164,0.006290489731606508,0.012051280042491508,0.021456091810244438,0.02780849921624995,0.03630427102880063,0.04607393380953173,0.10547321292966672,0.10232810100410461,0.032219960655981206
6,0.000501729923927885,0.00010949602794912972,0.0001550483798331559,0.00017747301451952278,0.0001545083064187526,3.245658713109064e-05,0.9999997615814351,0.9998310875701613,0.9995840028518757,0.9992449517290005,0.9984133581674861,0.9977579776659837,0.9959844212979228,0.9933495597004516,0.9877664795300376,0.9769086036627073,0.9583541186319877,0.9151380897199921,0.8733812278394204,0.8220222327991031,0.7587583197733672,0.4964143429033676,0.34202039585256117,0.006318974943758049
7,0.000535000243713394,0.00014109196415214385,0.00019130742850029334,0.00021549540073484766,0.00018932969327350394,1.930065155014791e-05,0.9998310875701613,0.9999995231628986,0.9997505105201618,0.9994244211873458,0.9986418331946858,0.9979963812156711,0.9962265393533585,0.993594922107377,0.988067554739164,0.9772509149684971,0.9586870943749979,0.9155638468300822,0.8737163718908256,0.8221840389593496,0.7587534393332049,0.49591220433854133,0.34119920969431305,0.006345978870394342
8,0.0004389095547816524,6.90526861259512e-05,0.00010369026469916973,0.00011906898419163179,9.819609335482652e-05,7.021649451330672e-05,0.9995840028518757,0.9997505105201618,1.0,0.9997188050563786,0.9990826565746183,0.9985199686526016,0.9970241307782004,0.9946726177151142,0.989409858179787,0.9791821780859244,0.9613239956154054,0.9192797581135892,0.8780937285430355,0.8271876531058666,0.7641660077869261,0.5021396179654438,0.34633080369289715,0.006235058348242006
9,0.0003183640289955575,1.91647010149322e-05,3.8232158651197454e-05,4.664085175765109e-05,3.3513605557422554e-05,0.00015875950755753557,0.9992449517290005,0.9994244211873458,0.9997188050563786,1.0000002384185933,0.999392720894722,0.9989739905352089,0.9977251130766405,0.9956226672895809,0.9906595733789949,0.9809475655138158,0.9636981498127319,0.9225921995864361,0.8818751644081466,0.8313460286956342,0.7686770665210396,0.5072034349934853,0.35041270513938017,0.0062075626171866904
10,0.00027971503296925215,7.826539044479032e-06,2.041791592475098e-05,2.5672848488214606e-05,1.5863145135172835e-05,0.00021208373086890886,0.9984133581674861,0.9986418331946858,0.9990826565746183,0.999392720894722,1.0000002384185933,0.9995381173492071,0.9985181818377988,0.9966777783780003,0.9922394509094126,0.9829189954614357,0.9661198742833221,0.9260526124426747,0.8858849629103851,0.8358406676618415,0.773466101662823,0.5122185135405743,0.35431072487967086,0.0062914127902780614
11,0.0001693523644959033,6.038161792935046e-06,6.652029511078622e-07,1.2759507220505076e-07,2.200977436230911e-06,0.00040241013923693336,0.9977579776659837,0.9979963812156711,0.9985199686526016,0.9989739905352089,0.9995381173492071,1.000000476837215,0.9992190932482572,0.997703322723428,0.9937016315319767,0.9851189722627716,0.9691630098029727,0.9302788957419104,0.890851773674072,0.8414639775408119,0.7796721868334231,0.519413423957392,0.36044748852168595,0.006229741109166298
12,2.008153855287756e-05,0.0002415957587512431,0.00019729786913727856,0.0001893652942697721,0.00022450966458370525,0.0011339863107302645,0.9959844212979228,0.9962265393533585,0.9970241307782004,0.9977251130766405,0.9985181818377988,0.9992190932482572,1.0000007152558652,0.9990018713895701,0.9958527261918704,0.988767278523742,0.9745474073226887,0.9381292187754298,0.9001927632999731,0.8523574708679007,0.7917490469658475,0.534249211735883,0.3732844385315879,0.005993638937312973
13,7.2598366760929026e-06,0.0006220454518844655,0.0005627895095052793,0.0005622763401769149,0.0006288472541109182,0.0019365815852095403,0.9933495597004516,0.993594922107377,0.9946726177151142,0.9956226672895809,0.9966777783780003,0.997703322723428,0.9990018713895701,1.0000007152558652,0.9978469291064052,0.9924781443686506,0.980390480723603,0.9471028552429885,0.9111609764378414,0.8649174191398288,0.8054931587155103,0.550925720848344,0.38760614308077734,0.005961276206137234
14,3.886215764038834e-05,0.0010898668494217084,0.0010298248167778384,0.0010523997180401784,0.001155781521034585,0.0028342593349413164,0.9877664795300376,0.988067554739164,0.989409858179787,0.9906595733789949,0.9922394509094126,0.9937016315319767,0.9958527261918704,0.9978469291064052,0.9999997615814351,0.9968424965523468,0.9874883130752465,0.9595140065790844,0.9268440996272744,0.883446372416131,0.8268319631040164,0.5766183996912311,0.4096662075092041,0.006463806182305243
15,0.0005005476356305417,0.0033166746457398283,0.0032589077575652242,0.0033580040330414423,0.0035722595418703623,0.006290489731606508,0.9769086036627073,0.9772509149684971,0.9791821780859244,0.9809475655138158,0.9829189954614357,0.9851189722627716,0.988767278523742,0.9924781443686506,0.9968424965523468,0.9999997615814351,0.9951603697251734,0.9750116020441055,0.9478172852770719,0.9095223278842788,0.8574104291329263,0.6172279639059184,0.4463182661016276,0.006353375165703279
16,0.0015696045509677875,0.007409883091769542,0.007417349014681385,0.007689151197452171,0.008069507198258885,0.012051280042491508,0.9583541186319877,0.9586870943749979,0.9613239956154054,0.9636981498127319,0.9661198742833221,0.9691630098029727,0.9745474073226887,0.980390480723603,0.9874883130752465,0.9951603697251734,1.0000002384185933,0.9889718854822185,0.9688196540204252,0.9369887948253108,0.8908171191996104,0.6656291496347535,0.4909594196961429,0.00660529761307288
17,0.0036766904730163447,0.014246836254008743,0.014507641907877622,0.01519533248587468,0.015866978305155932,0.021456091810244438,0.9151380897199921,0.9155638468300822,0.9192797581135892,0.9225921995864361,0.9260526124426747,0.9302788957419104,0.9381292187754298,0.9471028552429885,0.9595140065790844,0.9750116020441055,0.9889718854822185,0.9999997615814351,0.9919175570917247,0.9714159264568742,0.9372687577565699,0.7400220570747393,0.5611631775735795,0.007164166086003121
18,0.004459853126565827,0.018819346014924188,0.019319578743131283,0.020362524960632067,0.021263456979108364,0.02780849921624995,0.8733812278394204,0.8737163718908256,0.8780937285430355,0.8818751644081466,0.8858849629103851,0.890851773674072,0.9001927632999731,0.9111609764378414,0.9268440996272744,0.9478172852770719,0.9688196540204252,0.9919175570917247,1.0000007152558652,0.9905981129844612,0.9674203402419757,0.7996587137285225,0.6241146311663783,0.008382448877242155
19,0.005299977121915822,0.02529393142701597,0.02606758885442262,0.027538151348231787,0.02873344542125289,0.03630427102880063,0.8220222327991031,0.8221840389593496,0.8271876531058666,0.8313460286956342,0.8358406676618415,0.8414639775408119,0.8523574708679007,0.8649174191398288,0.883446372416131,0.9095223278842788,0.9369887948253108,0.9714159264568742,0.9905981129844612,1.0000002384185933,0.9891225684498295,0.8588727514879935,0.6926921481556612,0.009407946878696782
