Layer,Effective_Rank
0,1211.4653778076172
1,1236.792759821965
2,1262.4966501089243
3,1294.757573054387
4,1311.032010591947
5,1310.1552311823918
6,1333.2022141676682
7,1338.944584773137
8,1350.4204242412861
9,1344.3378295898438
10,1349.1112389197717
11,1333.8937002328726
12,1346.6189809945913
13,1361.1522921048677
14,1363.7899310772236
15,1356.889873798077
16,1365.7042518028845
17,1346.8311251126802
18,1380.9012592022236
19,1371.177959735577
20,1376.19775390625
21,1380.2000873272236
22,1375.7582209660457
23,1352.1575505183293
24,1386.4187622070312
25,1375.6552217923677
26,1329.353764460637
27,1762.9166870117188
28,1784.0473894391741
29,1701.326372419085
30,1706.8115234375
31,1763.7062116350446
32,1773.2184884207588
33,1774.2182878766741
