Model,Task,Layer,Relative_Depth,Accuracy_Drop,M1_MSE_next,M1_MSE_start,M1_MSE_end,M1_MSE_mean,M2_Cosine_next,M2_Cosine_start,M2_Cosine_end,M2_Cosine_mean,M3_Residual_next,M3_Residual_start,M3_Residual_end,M3_Residual_mean,M4_CKA_next,M4_CKA_start,M4_CKA_end,M4_CKA_mean,M5_L1_next,M5_L1_start,M5_L1_end,M5_L1_mean,M6_L_Inf_next,M6_L_Inf_start,M6_L_Inf_end,M6_L_Inf_mean,M7_Var_Ratio_next,M7_Var_Ratio_start,M7_Var_Ratio_end,M7_Var_Ratio_mean,M8_Pearson_next,M8_Pearson_start,M8_Pearson_end,M8_Pearson_mean,M11_SVD_Ent,M12_KL_Noise,M13_LogitLens,M14_Spectral_Norm,M15_Frobenius_Norm,M16_Effective_Rank,M11_SVD_Ent_delta1,M11_SVD_Ent_delta2,M11_SVD_Ent_rel_change,M12_KL_Noise_delta1,M12_KL_Noise_delta2,M12_KL_Noise_rel_change,M13_LogitLens_delta1,M13_LogitLens_delta2,M13_LogitLens_rel_change,M14_Spectral_Norm_delta1,M14_Spectral_Norm_delta2,M14_Spectral_Norm_rel_change,M15_Frobenius_Norm_delta1,M15_Frobenius_Norm_delta2,M15_Frobenius_Norm_rel_change,M16_Effective_Rank_delta1,M16_Effective_Rank_delta2,M16_Effective_Rank_rel_change,M1_MSE_start_delta1,M2_Cosine_start_delta1,M3_Residual_start_delta1,M4_CKA_start_delta1,M5_L1_start_delta1,M6_L_Inf_start_delta1,M7_Var_Ratio_start_delta1,M8_Pearson_start_delta1
Qwen,copa,0,0.0,0.33676092544987146,0.0478987656533718,0.0,13.565077781677246,1.315052036351214,0.2754737138748169,3.5762786865234375e-07,1.1495342403650284,0.7947582757721344,11.622825478317372,0.0,195.5963542252977,49.056916878356446,0.5248615589295902,1.0,0.0222806915488151,0.15373039558492876,0.0113370697945356,0.0,1.656290054321289,0.1711425617104396,9.36328125,0.0,96.50360107421876,34.4073829650879,0.0065815474954793,0.9999971805898246,2.619157554027036e-05,0.043207809372060195,0.7244732975959778,1.0,-0.1492671817541122,0.20515577619274458,0.9341944456100464,0.905005859375,5.40475,8.30281737115648,36.47969060473972,982.9563407897948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen,copa,1,0.043478260869565216,0.31362467866323906,0.0001513140596216,0.0478987656533718,13.914974212646484,1.3326883760085668,0.0003474950790405,0.2754737138748169,1.1856031268835068,0.7131158784710957,0.0529950762151051,0.9428833910289596,16.07078600109369,3.862099702024499,0.9993045347555132,0.5248615589295902,0.0343306589679672,0.24224572125911323,0.0045362436212599,0.0113370697945356,1.6616939306259155,0.1719307575840503,0.4375,9.36328125,96.50343322753906,32.4394334157308,0.9146509669521128,151.9395191967545,0.0039795466145683,6.564992290941923,0.9996522068977356,0.7244732975959778,-0.1852853447198867,0.2867961062001996,0.9514470100402832,0.591916015625,5.7678125,6.435077879163954,40.526531828774345,1130.837432437473,0.017252564430236816,0.0,0.0184678516462069,-0.31308984375000004,0.0,-0.345953388595982,0.36306249999999984,0.0,0.06717470743327625,-1.867739491992527,0.0,-0.22495249606247492,4.0468412240346225,0.0,0.11093408844615649,147.8810916476781,0.0,0.1504452288581375,0.0478987656533718,0.27547335624694824,0.9428833910289596,-0.4751384410704098,0.0113370697945356,9.36328125,150.9395220161647,-0.2755267024040222
Qwen,copa,2,0.08695652173913043,0.02313624678663241,5.6751840020297095e-05,0.0526453405618667,13.932442665100098,1.335867503125428,0.0003483295440673,0.2762908339500427,1.184469252824783,0.7128955417817148,0.0310392645668268,0.9453691798651092,15.379249666072711,3.697441087213427,0.9993022705680374,0.5236774868653846,0.0339091353778384,0.24271439568494077,0.0042268643155694,0.0131779592484235,1.6618001461029053,0.17161237202041468,0.171875,9.80078125,96.49600219726562,32.4332644144694,0.9687912193825544,166.1174831797157,0.0043508908762071,7.177592783173708,0.9996510744094848,0.723655641078949,-0.1841443330049514,0.2870149296577438,0.959544837474823,0.4529970703125,5.8245,5.081106414397557,37.49532796608077,1253.669116973877,0.008097827434539795,-0.009154736995697021,0.008511065092523529,-0.13891894531249993,0.1741708984375001,-0.23469367553066867,0.05668749999999978,-0.30637500000000006,0.009828249444655102,-1.3539714647663965,0.5137680272261305,-0.21040482962147222,-3.031203862693573,-7.078045086728196,-0.07479554074601025,122.83168453640405,-25.049407111274036,0.10862010843737768,0.004746574908494901,0.0008171200752258301,0.002485788836149583,-0.0011840720642055658,0.0018408894538878996,0.4375,14.177963982961188,-0.0008176565170288086
Qwen,copa,3,0.13043478260869565,0.02313624678663241,4.804786658496596e-05,0.0544355399906635,13.9374418258667,1.336396879492895,0.0003548860549926,0.2761127948760986,1.1832768023014069,0.7115403018615325,0.0281108317720628,0.94618925550819,15.140082344473,3.6409155729042824,0.9992899963332073,0.5239351102359855,0.0334714349226941,0.24337770938045322,0.0050435243174433,0.0144850453361868,1.661729335784912,0.17148568747021878,0.09375,9.92578125,96.4969482421875,32.43623352050781,0.9829780454499104,171.46881301646036,0.004491051031036,7.408812674550503,0.999644935131073,0.7238336205482483,-0.1829520016908645,0.2883705255978081,0.9580888152122498,0.3981455078125,5.8853125,5.032588647471534,36.96492003732257,1251.9501249525283,-0.0014560222625732422,-0.009553849697113037,-0.0015174093025240865,-0.054851562500000006,0.08406738281249992,-0.12108591003063363,0.060812500000000824,0.0041250000000010445,0.010440810369988895,-0.0485177669260235,1.305453697840373,-0.009548661840371286,-0.5304079287582013,2.500795933935372,-0.014145973846075521,-1.7189920213486403,-124.5506765577527,-0.0013711688340045658,0.0017901994287968029,-0.0001780390739441473,0.000820075643080842,0.00025762337060086793,0.0013070860877633008,0.125,5.351329836744668,0.0001779794692993164
Qwen,copa,4,0.17391304347826086,0.030848329048843215,0.0006827135221101,0.0554355904459953,13.940858840942385,1.3362783764655433,0.0010799765586853,0.2766492366790771,1.1830011159181597,0.7099910898250528,0.1050576473060755,0.946678976335528,15.012502938839834,3.610899225788619,0.997841094151454,0.5231582914385378,0.0333702169739444,0.2437783302200771,0.0076140901073813,0.016427831724286,1.661609172821045,0.1712629051956658,1.0625,9.98828125,96.50848388671876,32.44013214111328,1.2217585926443602,174.43808744127193,0.0045688212256994,7.537108879590722,0.99891996383667,0.7232968211174011,-0.1826751679182052,0.2899197596416343,0.9585782289505004,0.337607421875,5.9648125,5.017275124788284,37.23411563038826,1258.0870679219563,0.0004894137382506214,0.0019454360008238636,0.0005108229325714309,-0.06053808593750004,-0.005686523437500035,-0.15205015440236846,0.07949999999999946,0.018687499999998636,0.013508203685020925,-0.01531352268324948,0.03320424424277402,-0.0030428719205857213,0.26919559306568885,0.7996035218238902,0.007282461122434247,6.136942969427992,7.855934990776632,0.004901906910756981,0.0010000504553318024,0.0005364418029785156,0.0004897208273380027,-0.0007768187974477314,0.0019427863880991988,0.0625,2.969274424811573,-0.000536799430847168
Qwen,copa,5,0.21739130434782608,0.06683804627249364,1.059011936187744,0.0448588542640209,13.89241886138916,1.3225447645272652,0.9941053898073732,0.2773624658584595,1.1798107028007507,0.6964607790772183,4.573578511078307,0.941303844224643,16.565128761505918,3.966974298514818,3.245658713109064e-05,0.5221288562518254,0.0322199606559812,0.24587989216811026,0.0676070749759674,0.0194909311830997,1.66041100025177,0.17050856743784001,40.73828125,8.92578125,96.51458740234376,32.385047912597656,0.0500708233563642,142.77622850114895,0.0037395449174537,6.1690654570652805,0.0056970682926476,0.7225848436355591,-0.1794991940259933,0.30345606049134705,0.9653748869895936,0.2638687744140625,5.81075,4.988636533419292,37.937043799294365,1256.4774640401204,0.00679665803909324,0.006307244300842618,0.0070903530184851515,-0.0737386474609375,-0.01320056152343746,-0.21841536258713956,-0.1540625000000002,-0.23356249999999967,-0.025828557058583224,-0.02863859136899194,-0.013325068685742458,-0.0057079970016993276,0.7029281689061051,0.43373257584041625,0.018878605198626497,-1.6096038818359375,-7.746546851263929,-0.0012794057922355107,-0.010576736181974404,0.0007132291793823797,-0.005375132110885028,-0.0010294351867123908,0.003063099458813702,-1.0625,-31.661858940122983,-0.000711977481842041
Qwen,copa,6,0.2608695652173913,0.20051413881748076,0.000172463216586,1.012247920036316,13.969396591186523,0.9438537931321965,8.45789909362793e-05,1.0222289115190506,0.9208683371543884,0.33640011401924613,0.0130605521066641,1.000591181316264,3.717082340614141,0.5828102808696896,0.9998310875701611,0.0005017299239278,0.006318974943758,0.6300991091025167,0.0101211881265044,0.0660120695829391,1.6730282306671145,0.1603931994565452,0.125,41.49380493164063,96.515380859375,19.716691335042317,0.9975693470270466,2851.48553168002,0.0746851092729422,123.2067906504974,0.9999155402183532,-0.022399328649044,0.0794919803738594,0.6635705619701184,0.965808928012848,0.2045160522460937,6.9851875,5.348852879471249,37.59875124692917,1268.620780520969,0.00043404102325439453,-0.006362617015838845,0.00044960877800326315,-0.059352722167968774,0.014385925292968726,-0.22493272385019902,1.1744375000000007,1.328500000000001,0.20211461515294937,0.3602163460519563,0.38885493742094823,0.07220737442762903,-0.3382925523651963,-1.0412207212713014,-0.008917209104508217,12.143316480848625,13.752920362684563,0.00966457165240553,0.967389065772295,0.7448664456605911,0.05928733709162104,-0.5216271263278975,0.0465211383998394,32.56802368164063,2708.709303178871,-0.7449841722846031
Qwen,copa,7,0.30434782608695654,0.012853470437018006,0.0002529042540118,1.0147290229797363,13.969796180725098,0.9446650255643666,0.0001246333122253,1.0229653287678957,0.9206871390342712,0.33668256500580657,0.0157966627251367,1.00060419750977,3.712636419532356,0.5816408434381645,0.9997505105201618,0.0005350002437133,0.0063459788703943,0.6301848915705398,0.0115510420873761,0.0683167800307273,1.6729497909545898,0.16024388830798367,0.25,41.49380493164063,96.5126953125,19.74913152058919,0.9992961794485268,2858.433388481164,0.0748670851022569,123.50699316909964,0.9998752474784852,-0.0231300722807645,0.0796616524457931,0.6632884299227347,0.9599653482437134,0.1678978271484375,6.971,4.575118432442348,36.52962440583441,1258.3347379896377,-0.0058435797691346325,-0.006277620792389027,-0.006050451181019656,-0.03661822509765619,0.02273449707031258,-0.17904817101394843,-0.014187500000000242,-1.188625000000001,-0.002031083632329178,-0.7737344470289003,-1.1339507930808566,-0.144654277181276,-1.0691268410947572,-0.7308342887295609,-0.02843516887231934,-10.286042531331304,-22.42935901217993,-0.00810805142818749,0.00248110294342041,0.0007364172488451004,1.3016193505910323e-05,3.327031978550001e-05,0.002304710447788197,0.0,6.947856801144098,-0.0007307436317205013
Qwen,copa,8,0.34782608695652173,0.02313624678663241,0.0002865540154743,1.0153629779815674,13.975507736206056,0.9427078421188829,0.0001406073570251,1.0207844618707895,0.921388752758503,0.334863460661533,0.0168088127439639,1.0005630544636743,3.712083047065304,0.5779519777635428,0.9997188050563786,0.0004389095547816,0.006235058348242,0.631775020235989,0.0129208490252494,0.0699234753847122,1.6728804111480713,0.15970535223217058,0.15625,41.49380493164063,96.538330078125,19.609574635823567,0.9988465499127364,2860.4466267860616,0.0749198151340678,123.59398103125265,0.9998593926429749,-0.0209501683712005,0.0789623856544494,0.6651077613156909,0.9631285071372986,0.132345458984375,7.008,4.672923266887665,37.05200103256438,1248.0675290425618,0.003163158893585205,0.009006738662719838,0.0032950761184997734,-0.035552368164062514,0.0010658569335936785,-0.21175001944861904,0.03699999999999992,0.05118750000000016,0.005307703342418479,0.0978048344453164,0.8715392814742167,0.02137755249170792,0.5223766267299652,1.5915034678247224,0.014300082062889574,-10.267208947075915,0.018833584255389724,-0.008159362240510948,0.0006339550018310547,-0.0021808668971061707,-4.114304609559305e-05,-9.609068893169995e-05,0.0016066953539849022,0.0,2.0132383048976408,0.002179903909564001
Qwen,copa,9,0.391304347826087,0.02827763496143961,0.0006195266614668,1.016407132148743,13.977551460266112,0.9410481640285676,0.0003040432929992,1.017682595178485,0.9215528592467308,0.3330925885626736,0.0247010509716295,1.000505095689431,3.710231659665823,0.5751009002075977,0.999392720894722,0.0003183640289955,0.0062075626171866,0.6330973764044939,0.0196146685630083,0.071871779859066,1.6725555658340454,0.15924911495919028,0.125,41.49380493164063,96.543212890625,19.538163503011067,0.997819922037852,2863.749816445584,0.075006331119483,123.73670502277851,0.9996963143348694,-0.0178427584469318,0.078788086771965,0.6668793199933134,0.95899498462677,0.1118981018066406,6.9468125,4.352019011974335,36.5764644742012,1220.299024793837,-0.0041335225105285645,-0.0072966814041137695,-0.004291766342598091,-0.020447357177734396,0.015105010986328118,-0.15449987732596449,-0.06118749999999995,-0.09818749999999987,-0.008731093036529636,-0.3209042549133301,-0.4187090893586465,-0.06867312741624876,-0.4755365583631743,-0.9979131850931395,-0.012834301660124448,-27.768504248724867,-17.501295301648952,-0.02224920014546572,0.001044154167175515,-0.003101866692304611,-5.79587742433052e-05,-0.00012054552578610005,0.0019483044743537903,0.0,3.303189659522559,0.0031074099242686982
