Layer,Accuracy
Baseline,0.6576576576576577
0,0.0
1,0.0
2,0.34807534807534807
3,0.48075348075348073
4,0.5085995085995086
5,0.4004914004914005
6,0.49467649467649466
7,0.24733824733824733
8,0.4086814086814087
9,0.29975429975429974
10,0.25634725634725636
11,0.343980343980344
12,0.5511875511875511
13,0.5102375102375102
14,0.45864045864045866
15,0.5888615888615889
16,0.6240786240786241
17,0.6322686322686323
18,0.6339066339066339
19,0.6461916461916462
20,0.6674856674856675
21,0.5601965601965602
22,0.6568386568386568
23,0.6584766584766585
24,0.6420966420966421
25,0.6322686322686323
26,0.6478296478296478
27,0.3464373464373464
