Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,0.00081332173,0.0012588821,0.002474401,0.0036504623,0.0054624765,0.008189042,0.009007451,0.009046995,0.011791197,0.018189488,0.022846498,0.023397349,0.02719456,0.039080884,0.03909764,0.041259877,0.047482308,0.051593196,0.06127611,0.07251884,0.10289932,0.12912077,0.14826588,0.19107324,0.2298863,0.29716897,0.3868164,2.0675752
1,0.00081332173,0.0,0.0002846081,0.001067265,0.00213439,0.0039821304,0.0065133073,0.007299438,0.007407427,0.010322516,0.016550308,0.021680124,0.021845408,0.025927546,0.037133634,0.03693026,0.039408483,0.04535241,0.049174797,0.059048373,0.07027752,0.100190125,0.12607862,0.14531855,0.1876622,0.22643034,0.29366136,0.38353884,2.0688634
2,0.0012588821,0.0002846081,0.0,0.0006937811,0.0017077028,0.0036064715,0.006126097,0.0069259913,0.007081283,0.0100695975,0.016236642,0.021501614,0.021651076,0.025889412,0.036903214,0.036679033,0.03921701,0.04501511,0.04882295,0.058623314,0.069866955,0.09988942,0.12572327,0.14493549,0.18736474,0.22614503,0.2935842,0.3836292,2.0701983
3,0.002474401,0.001067265,0.0006937811,0.0,0.0009981936,0.0030261667,0.005549787,0.0064085256,0.006533071,0.009740111,0.015899004,0.021452658,0.021362314,0.02608949,0.036605667,0.036012214,0.03896224,0.044487108,0.048098456,0.05785176,0.069078624,0.098883666,0.124694616,0.14380378,0.18613271,0.22480011,0.29221416,0.3827672,2.0703695
4,0.0036504623,0.00213439,0.0017077028,0.0009981936,0.0,0.0023710758,0.005030778,0.0060887,0.0063970275,0.00975328,0.015892075,0.021568596,0.021536568,0.026122436,0.03667898,0.035916086,0.038859025,0.044371724,0.048079923,0.057753146,0.06913598,0.09891536,0.12456492,0.14353174,0.18593895,0.22457932,0.2921409,0.38338998,2.0703275
5,0.0054624765,0.0039821304,0.0036064715,0.0030261667,0.0023710758,0.0,0.0038022327,0.005485484,0.006446007,0.01000426,0.01618827,0.021804102,0.021750256,0.026472388,0.037038706,0.036367994,0.039241478,0.044970047,0.04880173,0.058670063,0.06998428,0.09982383,0.12542948,0.14443319,0.18704443,0.22579384,0.29345307,0.3847456,2.0744274
6,0.008189042,0.0065133073,0.006126097,0.005549787,0.005030778,0.0038022327,0.0,0.0038873833,0.0057803295,0.0097609395,0.016084077,0.021653304,0.021902068,0.026432522,0.03736583,0.03663831,0.0395575,0.04509279,0.049023822,0.0586647,0.0699343,0.09934441,0.124993645,0.14409338,0.18660372,0.22527437,0.29273018,0.3840047,2.0717916
7,0.009007451,0.007299438,0.0069259913,0.0064085256,0.0060887,0.005485484,0.0038873833,0.0,0.003780051,0.007905793,0.014232948,0.02069766,0.020830667,0.025947215,0.036940105,0.03588361,0.0391881,0.044504967,0.048528206,0.058114182,0.06927001,0.09904596,0.12500292,0.14411323,0.18635935,0.22509609,0.2921501,0.38373092,2.0766492
8,0.009046995,0.007407427,0.007081283,0.006533071,0.0063970275,0.006446007,0.0057803295,0.003780051,0.0,0.0061761625,0.012492617,0.01926922,0.019281393,0.024880199,0.03524484,0.034566887,0.03789975,0.04346909,0.047499403,0.056819707,0.06760112,0.097134344,0.12302271,0.14180495,0.18413554,0.22282255,0.28953546,0.38119757,2.075733
9,0.011791197,0.010322516,0.0100695975,0.009740111,0.00975328,0.01000426,0.0097609395,0.007905793,0.0061761625,0.0,0.008377336,0.016149132,0.018049492,0.024866527,0.03636434,0.03618082,0.039716538,0.045561966,0.050119355,0.059131693,0.06989078,0.09893469,0.12428352,0.1428699,0.18494304,0.22336812,0.28947112,0.38042524,2.074527
10,0.018189488,0.016550308,0.016236642,0.015899004,0.015892075,0.01618827,0.016084077,0.014232948,0.012492617,0.008377336,0.0,0.0115797995,0.016200608,0.02427465,0.036248837,0.036548782,0.040913876,0.04723549,0.052125853,0.06111147,0.07185345,0.100763746,0.12617593,0.14467077,0.18624425,0.22516531,0.2909053,0.38109764,2.0814257
11,0.022846498,0.021680124,0.021501614,0.021452658,0.021568596,0.021804102,0.021653304,0.02069766,0.01926922,0.016149132,0.0115797995,0.0,0.0104206065,0.020483287,0.03487849,0.0369082,0.04102463,0.048415095,0.053266805,0.062622294,0.07429459,0.103428215,0.12860419,0.1471227,0.1890279,0.22705992,0.2923237,0.38299263,2.0786903
12,0.023397349,0.021845408,0.021651076,0.021362314,0.021536568,0.021750256,0.021902068,0.020830667,0.019281393,0.018049492,0.016200608,0.0104206065,0.0,0.013212285,0.02865701,0.03124036,0.03595519,0.042977333,0.04791364,0.058184583,0.07010182,0.099039674,0.12457744,0.14287776,0.18491416,0.22302806,0.28919885,0.37859416,2.0719213
13,0.02719456,0.025927546,0.025889412,0.02608949,0.026122436,0.026472388,0.026432522,0.025947215,0.024880199,0.024866527,0.02427465,0.020483287,0.013212285,0.0,0.02041628,0.02627387,0.031080484,0.03918867,0.045544107,0.05583058,0.06794374,0.098158605,0.124429405,0.14295922,0.1849188,0.22405261,0.29108915,0.38224006,2.0699017
14,0.039080884,0.037133634,0.036903214,0.036605667,0.03667898,0.037038706,0.03736583,0.036940105,0.03524484,0.03636434,0.036248837,0.03487849,0.02865701,0.02041628,0.0,0.01415245,0.022702083,0.031013967,0.038257837,0.048689175,0.061500967,0.091732316,0.11796946,0.1379933,0.18005526,0.22024341,0.28746888,0.37971544,2.070299
15,0.03909764,0.03693026,0.036679033,0.036012214,0.035916086,0.036367994,0.03663831,0.03588361,0.034566887,0.03618082,0.036548782,0.0369082,0.03124036,0.02627387,0.01415245,0.0,0.010757464,0.018886626,0.02716767,0.038907733,0.05134433,0.080541156,0.10732275,0.12710506,0.16772194,0.20672303,0.27408096,0.36431733,2.062191
16,0.041259877,0.039408483,0.03921701,0.03896224,0.038859025,0.039241478,0.0395575,0.0391881,0.03789975,0.039716538,0.040913876,0.04102463,0.03595519,0.031080484,0.022702083,0.010757464,0.0,0.00887008,0.018092433,0.029373616,0.041208733,0.06971514,0.09741006,0.1169102,0.1564035,0.19478472,0.2613236,0.34998393,2.0430796
17,0.047482308,0.04535241,0.04501511,0.044487108,0.044371724,0.044970047,0.04509279,0.044504967,0.04346909,0.045561966,0.04723549,0.048415095,0.042977333,0.03918867,0.031013967,0.018886626,0.00887008,0.0,0.011457435,0.022136047,0.032636903,0.058255304,0.085243486,0.105127074,0.1426135,0.18030955,0.24547236,0.33306754,2.0199356
18,0.051593196,0.049174797,0.04882295,0.048098456,0.048079923,0.04880173,0.049023822,0.048528206,0.047499403,0.050119355,0.052125853,0.053266805,0.04791364,0.045544107,0.038257837,0.02716767,0.018092433,0.011457435,0.0,0.012221311,0.022556975,0.045437027,0.06981064,0.088867374,0.12325421,0.1607685,0.22354938,0.30983865,1.9975023
19,0.06127611,0.059048373,0.058623314,0.05785176,0.057753146,0.058670063,0.0586647,0.058114182,0.056819707,0.059131693,0.06111147,0.062622294,0.058184583,0.05583058,0.048689175,0.038907733,0.029373616,0.022136047,0.012221311,0.0,0.010325338,0.032749712,0.056886245,0.07564099,0.109711766,0.14732726,0.2114042,0.29847187,1.9814095
