Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,1.6710865,2.078884,2.915552,3.5407758,4.3292646,5.3196974,5.5635705,5.5788746,6.35747,7.9069633,8.858363,8.9698305,9.666954,11.589528,11.586764,11.9000225,12.7626915,13.310142,14.494748,15.777872,18.809387,21.063507,22.587328,25.647678,28.129824,31.99593,36.484722,84.2041
1,1.038026,0.0,0.6140394,1.1894377,1.6817075,2.295237,2.9471602,3.110832,3.1349356,3.6934416,4.684559,5.3594236,5.383464,5.8633537,7.0174365,6.995162,7.22396,7.747906,8.071461,8.838342,9.647721,11.528714,12.928773,13.890115,15.788577,17.34126,19.75694,22.566875,52.321186
2,1.0428027,0.4958598,0.0,0.77448016,1.2145095,1.7636607,2.3083968,2.4472346,2.475399,2.9457161,3.7471035,4.310083,4.327933,4.731363,5.6492853,5.629659,5.8193073,6.2333145,6.4944377,7.111453,7.768039,9.295823,10.4256935,11.2019415,12.739696,13.994747,15.952246,18.225636,42.264965
3,1.032366,0.6780244,0.54670274,0.0,0.655168,1.1399307,1.5507818,1.6614343,1.677341,2.0442605,2.617218,3.0386882,3.0344245,3.3526268,3.9716241,3.937669,4.094267,4.374084,4.5500546,4.9866996,5.4522123,6.528596,7.3290877,7.87627,8.96307,9.849213,11.234239,12.8508215,29.835728
4,1.0332508,0.7900389,0.70653933,0.53994197,0.0,0.83134687,1.2170873,1.3343605,1.3675375,1.6856657,2.15609,2.5111244,2.5109718,2.7652705,3.2769625,3.241342,3.3702874,3.6007986,3.7496214,4.106635,4.4955006,5.3817415,6.0374603,6.485405,7.383403,8.113551,9.257875,10.5999975,24.588644
5,1.0193927,0.8700529,0.8278859,0.7580415,0.67081434,0.0,0.85434383,1.0214531,1.1075594,1.3776085,1.7557689,2.0371404,2.035975,2.245764,2.6565766,2.6313713,2.73232,2.92461,3.0479562,3.3395157,3.6496127,4.362335,4.8884263,5.249416,5.9752216,6.564284,7.486862,8.56831,19.860193
6,1.0176238,0.90760064,0.8803166,0.83779573,0.79783803,0.6940738,0.0,0.69901794,0.85393137,1.1068045,1.4231024,1.6499898,1.6605018,1.8235165,2.1684716,2.1462662,2.229017,2.3793519,2.4820023,2.713187,2.9639466,3.5352712,3.9645243,4.259477,4.8483167,5.3261414,6.0742207,6.9534607,16.1238
7,1.0156534,0.91423786,0.89062655,0.85656875,0.8347527,0.79192305,0.6670831,0.0,0.6571799,0.94897276,1.2763251,1.5382808,1.5446013,1.7237066,2.0569923,2.0267448,2.1166217,2.25533,2.3564045,2.5768442,2.8149529,3.3685367,3.783094,4.064795,4.6236043,5.080785,5.7910542,6.633446,15.405059
8,1.0178552,0.92078596,0.90035266,0.86426675,0.85501015,0.85818124,0.81444544,0.6567978,0.0,0.8380593,1.1951044,1.4838365,1.4851537,1.6873597,2.0079627,1.9876649,2.0806384,2.2276604,2.3297482,2.546491,2.7793522,3.3341303,3.750954,4.0298247,4.5932426,5.0521393,5.7615995,6.6076083,15.392963
9,1.0151914,0.94947934,0.93774027,0.9219066,0.9224179,0.9342476,0.92391956,0.8300904,0.7334981,0.0,0.85629386,1.1882156,1.2571288,1.4754318,1.7842388,1.7786789,1.8630865,1.9953191,2.0937526,2.2729785,2.4728043,2.9446013,3.2994168,3.5399213,4.0286255,4.426981,5.0417643,5.776927,13.468564
10,1.0097971,0.96312755,0.9539995,0.94395524,0.94359136,0.95227927,0.95008004,0.8928814,0.836548,0.6848313,0.0,0.8051854,0.953355,1.1667924,1.4255548,1.4309094,1.5135821,1.6260341,1.7087688,1.8493247,2.0062194,2.3774767,2.6594853,2.8495047,3.233875,3.555301,4.042765,4.6247387,10.789896
11,1.0059485,0.97978556,0.9757441,0.97453064,0.97719926,0.9824621,0.97949713,0.9568986,0.9235682,0.84499454,0.7159682,0.0,0.6794902,0.9523673,1.2427541,1.2780533,1.3473221,1.4635035,1.5355096,1.6643223,1.8137968,2.1416461,2.3873832,2.5551457,2.8969173,3.1745932,3.6037095,4.1227193,9.5882015
12,1.0063272,0.972316,0.96797365,0.9614316,0.9653604,0.97006315,0.9738543,0.94924736,0.91324437,0.8832246,0.83750075,0.67129886,0.0,0.75606686,1.1131843,1.1620684,1.2465104,1.362674,1.4391646,1.5851804,1.7409399,2.0706813,2.3214586,2.4877808,2.8308072,3.1084633,3.5412388,4.0495243,9.456878
