Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,49.985985,66.55931,90.181725,120.3923,158.68217,197.55037,203.89217,200.67932,245.46571,312.0016,360.65674,358.62695,389.764,461.28412,446.08954,453.69705,477.35916,492.6256,543.6769,561.541,645.4069,743.93866,781.2453,854.1459,953.2854,1064.5913,1283.8019,3213.4055
1,49.985985,0.0,39.629753,70.0103,104.06374,147.21826,187.69609,194.28432,192.63626,238.21036,305.22577,355.09338,352.46054,383.71936,453.9511,440.075,448.8543,472.17737,486.59296,539.3135,557.32556,639.96594,738.13934,775.5422,848.5247,948.58826,1061.0918,1279.6702,3212.2588
2,66.55931,39.629753,0.0,57.861008,95.09729,142.60562,184.42505,192.49219,191.49509,237.74603,304.52838,354.65494,351.5669,384.9576,454.4413,440.89273,449.09436,471.9632,486.2149,539.6033,556.79236,639.1581,736.3422,773.8139,848.0176,947.8726,1060.2543,1279.5068,3212.6526
3,90.181725,70.0103,57.861008,0.0,77.37271,134.3179,179.9348,190.75279,188.56659,236.95598,305.42108,355.1815,352.02667,387.53162,456.5625,443.4441,451.5818,474.27048,486.92853,539.8098,557.2024,639.2101,735.31006,773.2832,847.4636,946.23486,1058.5272,1278.2692,3212.6396
4,120.3923,104.06374,95.09729,77.37271,0.0,118.740425,172.60278,188.40108,189.52591,239.2663,307.17517,357.3612,354.8023,387.72794,457.66452,445.16,453.68524,477.5365,489.73935,541.9178,559.39465,641.80493,735.2832,773.09045,847.22266,944.15894,1056.9983,1278.951,3210.588
5,158.68217,147.21826,142.60562,134.3179,118.740425,0.0,150.21419,180.21738,193.70944,243.92848,310.34363,358.70715,358.83154,391.97852,464.86664,452.68274,459.63733,484.98822,496.31625,552.09906,568.9243,647.5713,740.3834,778.61676,850.68536,949.8099,1058.6196,1281.9978,3218.607
6,197.55037,187.69609,184.42505,179.9348,172.60278,150.21419,0.0,151.53976,186.4014,240.52328,310.3811,360.47253,361.51218,393.1444,465.25095,455.0204,464.41467,487.6005,501.65228,552.32227,572.0196,646.1909,743.52905,778.68243,848.5392,946.6326,1054.5177,1279.6951,3212.8794
7,203.89217,194.28432,192.49219,190.75279,188.40108,180.21738,151.53976,0.0,150.72888,217.15419,292.39636,350.6303,350.0672,389.3839,463.32623,451.20392,461.37817,485.0692,500.34,549.6598,569.9752,649.36926,745.402,780.45935,851.60486,948.30334,1058.1692,1282.5675,3218.102
8,200.67932,192.63626,191.49509,188.56659,189.52591,193.70944,186.4014,150.72888,0.0,190.6993,273.43295,339.00262,337.15424,381.53735,456.3656,444.54132,459.9635,482.12552,498.55225,548.5378,569.421,647.8312,742.5504,777.94696,851.2015,946.2811,1056.2609,1280.7676,3217.632
9,245.46571,238.21036,237.74603,236.95598,239.2663,243.92848,240.52328,217.15419,190.6993,0.0,222.37305,309.95016,325.6574,381.72046,461.26962,454.41516,469.81934,496.10052,514.6539,561.8893,582.1002,657.911,747.9179,783.3331,857.05975,952.64105,1059.1923,1281.0242,3213.1543
10,312.0016,305.22577,304.52838,305.42108,307.17517,310.34363,310.3811,292.39636,273.43295,222.37305,0.0,259.278,309.09738,380.87448,465.2816,463.90143,486.13486,515.5779,539.6436,579.77454,602.0809,672.75385,762.8016,796.6874,869.04865,964.4469,1062.602,1285.7192,3215.9497
11,360.65674,355.09338,354.65494,355.1815,357.3612,358.70715,360.47253,350.6303,339.00262,309.95016,259.278,0.0,249.32785,348.327,453.1749,459.66742,485.49097,519.868,543.44464,587.1189,611.5112,682.2329,771.8534,804.46155,878.291,967.62585,1068.4939,1286.6406,3214.5889
12,358.62695,352.46054,351.5669,352.02667,354.8023,358.83154,361.51218,350.0672,337.15424,325.6574,309.09738,249.32785,0.0,279.7936,413.05984,422.73285,455.4595,493.0531,517.00433,570.8362,595.2643,664.2623,756.6306,787.34973,857.3617,953.36816,1057.3776,1273.9023,3205.2832
13,389.764,383.71936,384.9576,387.53162,387.72794,391.97852,393.1444,389.3839,381.53735,381.72046,380.87448,348.327,279.7936,0.0,341.9397,384.88513,421.30365,461.62076,497.4165,554.1831,581.2418,653.29553,755.4753,788.46326,857.04926,954.90967,1058.0012,1279.8481,3201.6465
14,461.28412,453.9511,454.4413,456.5625,457.66452,464.86664,465.25095,463.32623,456.3656,461.26962,465.2816,453.1749,413.05984,341.9397,0.0,288.54004,363.91772,423.44397,464.85132,523.50305,559.35895,641.91437,735.0126,779.04114,850.29254,951.75507,1057.8219,1287.2039,3203.0615
15,446.08954,440.075,440.89273,443.4441,445.16,452.68274,455.0204,451.20392,444.54132,454.41516,463.90143,459.66742,422.73285,384.88513,288.54004,0.0,251.26906,333.77972,395.0447,470.84097,515.8005,600.6,707.01996,748.972,816.645,919.8347,1032.6633,1258.8523,3200.0513
16,453.69705,448.8543,449.09436,451.5818,453.68524,459.63733,464.41467,461.37817,459.9635,469.81934,486.13486,485.49097,455.4595,421.30365,363.91772,251.26906,0.0,225.74445,323.2823,411.13168,459.63422,554.0636,672.10956,720.38873,789.20795,898.26025,1014.67615,1238.6589,3180.745
17,477.35916,472.17737,471.9632,474.27048,477.5365,484.98822,487.6005,485.0692,482.12552,496.10052,515.5779,519.868,493.0531,461.62076,423.44397,333.77972,225.74445,0.0,261.13315,360.76932,412.4294,508.55402,634.57324,687.40857,759.1157,865.6748,982.9415,1210.842,3159.8896
18,492.6256,486.59296,486.2149,486.92853,489.73935,496.31625,501.65228,500.34,498.55225,514.6539,539.6436,543.44464,517.00433,497.4165,464.85132,395.0447,323.2823,261.13315,0.0,269.4748,347.37198,455.48688,575.7207,635.97925,705.8819,820.9177,945.6337,1174.4586,3134.777
19,543.6769,539.3135,539.6033,539.8098,541.9178,552.09906,552.32227,549.6598,548.5378,561.8893,579.77454,587.1189,570.8362,554.1831,523.50305,470.84097,411.13168,360.76932,269.4748,0.0,228.96805,375.49515,515.2859,584.568,660.93164,785.07324,919.8483,1154.89,3119.7922
20,561.541,557.32556,556.79236,557.2024,559.39465,568.9243,572.0196,569.9752,569.421,582.1002,602.0809,611.5112,595.2643,581.2418,559.35895,515.8005,459.63422,412.4294,347.37198,228.96805,0.0,291.49228,455.3371,528.7393,614.285,738.59827,883.525,1122.3805,3104.2175
21,645.4069,639.96594,639.1581,639.2101,641.80493,647.5713,646.1909,649.36926,647.8312,657.911,672.75385,682.2329,664.2623,653.29553,641.91437,600.6,554.0636,508.55402,455.48688,375.49515,291.49228,0.0,328.8603,441.5509,520.03564,655.5938,807.7546,1050.4817,3054.1025
22,743.93866,738.13934,736.3422,735.31006,735.2832,740.3834,743.52905,745.402,742.5504,747.9179,762.8016,771.8534,756.6306,755.4753,735.0126,707.01996,672.10956,634.57324,575.7207,515.2859,455.3371,328.8603,0.0,307.4223,407.07898,568.09686,736.48834,984.2785,2998.487
23,781.2453,775.5422,773.8139,773.2832,773.09045,778.61676,778.68243,780.45935,777.94696,783.3331,796.6874,804.46155,787.34973,788.46326,779.04114,748.972,720.38873,687.40857,635.97925,584.568,528.7393,441.5509,307.4223,0.0,263.31152,465.48334,654.5994,922.16394,2957.734
24,854.1459,848.5247,848.0176,847.4636,847.22266,850.68536,848.5392,851.60486,851.2015,857.05975,869.04865,878.291,857.3617,857.04926,850.29254,816.645,789.20795,759.1157,705.8819,660.93164,614.285,520.03564,407.07898,263.31152,0.0,351.56583,579.4662,867.11536,2922.4053
25,953.2854,948.58826,947.8726,946.23486,944.15894,949.8099,946.6326,948.30334,946.2811,952.64105,964.4469,967.62585,953.36816,954.90967,951.75507,919.8347,898.26025,865.6748,820.9177,785.07324,738.59827,655.5938,568.09686,465.48334,351.56583,0.0,459.0041,787.91565,2883.6294
26,1064.5913,1061.0918,1060.2543,1058.5272,1056.9983,1058.6196,1054.5177,1058.1692,1056.2609,1059.1923,1062.602,1068.4939,1057.3776,1058.0012,1057.8219,1032.6633,1014.67615,982.9415,945.6337,919.8483,883.525,807.7546,736.48834,654.5994,579.4662,459.0041,0.0,566.4085,2853.8826
27,1283.8019,1279.6702,1279.5068,1278.2692,1278.951,1281.9978,1279.6951,1282.5675,1280.7676,1281.0242,1285.7192,1286.6406,1273.9023,1279.8481,1287.2039,1258.8523,1238.6589,1210.842,1174.4586,1154.89,1122.3805,1050.4817,984.2785,922.16394,867.11536,787.91565,566.4085,0.0,2745.9246
