Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.9999966,2.592292,3.9752743,7.9721274,11.738996,18.044636,27.143915,29.968992,29.97964,39.293846,61.25265,77.534164,79.349075,92.4251,133.17393,133.32127,141.0553,162.42015,176.289,209.05438,247.62537,351.60883,441.38464,506.8702,653.61554,786.62537,1017.6129,1325.4365,7102.2646
1,0.3857572,0.9999987,1.5334959,3.075316,4.5284176,6.9608717,10.470996,11.560794,11.564901,15.157935,23.628733,29.909466,30.609581,35.653767,51.372982,51.429817,54.413284,62.654957,68.00498,80.6445,95.5236,135.6361,170.26788,195.5295,252.13777,303.44742,392.55286,511.29843,2739.759
2,0.2515539,0.6521033,0.9999991,2.0054264,2.953,4.5392137,6.8281803,7.5388417,7.54152,9.884553,15.408395,19.504087,19.960636,23.249971,33.500534,33.537598,35.48313,40.85756,44.346333,52.58862,62.291336,88.44887,111.0324,127.5056,164.42009,197.87933,255.98535,333.41983,1786.6083
3,0.12543656,0.3251693,0.49864644,0.9999996,1.4725043,2.2634647,3.404851,3.7592201,3.7605555,4.9289017,7.683348,9.725652,9.953309,11.593526,16.704937,16.72342,17.693552,20.373495,22.113161,26.22315,31.06138,44.10475,55.36596,63.580273,81.987564,98.67191,127.64629,166.25876,890.88666
4,0.08518585,0.22082734,0.33863828,0.67911476,0.9999997,1.5371529,2.3122854,2.5529428,2.5538497,3.347291,5.217877,6.6048365,6.7594414,7.8733373,11.344574,11.357125,12.015957,13.835946,15.01738,17.808535,21.09425,29.9522,37.599854,43.178318,55.678986,67.00958,86.686516,112.90882,605.0145
5,0.055417933,0.14365995,0.22030224,0.44180033,0.6505531,0.9999998,1.5042648,1.6608253,1.6614153,2.177591,3.394507,4.2967978,4.3973765,5.1220255,7.3802495,7.388415,7.81702,9.00102,9.769606,11.585401,13.722933,19.485502,24.460709,28.089796,36.22215,43.5933,56.394196,73.4532,393.59418
6,0.03684054,0.09550176,0.14645176,0.29369846,0.4324724,0.6647764,0.9999999,1.1040776,1.1044699,1.4476113,2.2565885,2.8564103,2.9232726,3.405002,4.9062166,4.9116445,5.1965714,5.9836664,6.494604,7.701702,9.122684,12.953504,16.260904,18.673435,24.079632,28.979801,37.489536,48.829964,261.65216
7,0.033367705,0.086499125,0.13264623,0.2660125,0.39170468,0.60211015,0.9057332,0.9999999,1.0003551,1.3111498,2.0438673,2.587146,2.6477056,3.084024,4.4437237,4.4486403,4.706708,5.419606,5.8823795,6.9756885,8.262718,11.73242,14.728043,16.913153,21.809725,26.247972,33.955524,44.226925,236.98708
8,0.033355854,0.086468406,0.13259913,0.26591802,0.39156556,0.6018963,0.90541154,0.99964476,0.9999999,1.3106842,2.0431416,2.5862272,2.6467652,3.0829287,4.442146,4.44706,4.705036,5.4176817,5.8802905,6.973211,8.259784,11.728253,14.722813,16.907146,21.80198,26.238651,33.943462,44.21122,236.90291
9,0.02544919,0.065971956,0.10116786,0.20288487,0.29874894,0.4592229,0.690793,0.7626892,0.76296014,0.99999994,1.5588356,1.9731884,2.0193765,2.3521519,3.3891804,3.39293,3.5897555,4.1334753,4.486428,5.3202825,6.3018866,8.948191,11.23292,12.89948,16.634043,20.019047,25.897512,33.7314,180.7475
10,0.016325766,0.0423213,0.06489962,0.13015153,0.19164875,0.2945935,0.44314674,0.48926842,0.48944226,0.64150435,0.9999999,1.265809,1.2954389,1.5089157,2.174174,2.1765795,2.3028438,2.6516426,2.878063,3.4129846,4.042688,5.740303,7.2059674,8.275073,10.670812,12.842306,16.613367,21.638842,115.95031
