Layer,Value
0,12.065555238723755
1,12.374853467941284
2,11.85628695487976
3,12.100345277786255
4,12.583117294311524
5,13.17231307029724
6,11.559540748596191
7,11.87510347366333
8,10.911578130722045
9,11.724877071380615
10,11.306024312973022
11,12.702687406539917
12,12.013022470474244
13,13.008169555664063
14,10.873608374595642
15,10.313226795196533
16,9.95985505580902
17,9.043118500709534
18,7.25281834602356
19,6.454952454566955
20,6.4624535083770756
21,4.3185006976127625
22,3.0654427349567412
23,2.6636327683925627
24,2.196651130914688
25,1.9545650780200958
26,2.4468524277210237
27,0.8894237475469708
