Layer,Effective_Rank
0,1907.36567905971
1,2031.465532575335
2,2089.252676827567
3,2115.1217825753347
4,2102.7816423688614
5,2080.6729125976562
6,2089.5644008091517
7,2066.4760131835938
8,2051.2609340122767
9,2042.7637503487724
10,2038.7088099888392
11,2059.560128348214
12,2034.440952845982
13,2054.646815708705
14,2063.4980904715403
15,2080.3330601283483
16,2101.9036254882812
17,2114.8467930385045
18,2121.206045968192
19,2128.3253261021205
20,2139.5665457589284
21,2125.5259399414062
22,2132.3808157784597
23,2129.171604701451
24,2116.161629813058
25,2137.3250645228795
26,2058.975411551339
27,2074.6883806501114
