Layer,Attn_vs_MLP_Ratio
0,0.526144110665457
1,0.04465679763526555
2,0.5909798985253626
3,0.5191636333296198
4,0.5078053658252466
5,0.5454072734275047
6,0.4679236406282859
7,0.5983481657040374
8,0.5913020037425866
9,0.5924728023089233
10,0.5831713458008732
11,0.6142220162009083
12,0.614708336545577
13,0.5690351056276675
14,0.5304578019071415
15,0.4535432060027357
16,0.39460151065880805
17,0.3948087054696643
18,0.38133646101830554
19,0.42457719437348695
20,0.3783061308903082
21,0.40189937961406696
22,0.45420511187750956
23,0.45876698942450006
24,0.47005920922229044
25,0.5185174422944171
26,0.5148251305958911
27,0.2583878661628469
