Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,0.00082031015,0.0012721875,0.002493373,0.0037163745,0.0055645183,0.009052981,0.00948729,0.009491355,0.013315831,0.017955571,0.022786802,0.023283636,0.026352445,0.03831808,0.040540542,0.04370275,0.0482989,0.052071214,0.059105802,0.0676885,0.08806143,0.10601262,0.11968882,0.17735453,0.21269715,0.24112248,0.3267255,2.1582406
1,0.00082031015,0.0,0.00029367488,0.001065205,0.0021988365,0.004186941,0.007346403,0.00782252,0.007861086,0.01175961,0.016289873,0.02160904,0.02167125,0.025056362,0.03651677,0.03860124,0.04203487,0.04649304,0.050110385,0.05708319,0.06570508,0.08595256,0.103622764,0.11737231,0.17453738,0.20976447,0.2386704,0.32398328,2.16103
2,0.0012721875,0.00029367488,0.0,0.00068673136,0.0017696297,0.003840223,0.006950822,0.0074682194,0.0075544105,0.0115079535,0.016004005,0.021416234,0.02141952,0.024967095,0.036312252,0.038395207,0.041893303,0.046292033,0.049913477,0.056789365,0.06534797,0.08575553,0.10334194,0.11707005,0.17425723,0.20959724,0.23858416,0.32403055,2.1622207
3,0.002493373,0.001065205,0.00068673136,0.0,0.0010709326,0.0033474695,0.0063506053,0.006981153,0.00700477,0.011038204,0.0156154,0.021318903,0.021038597,0.0250415,0.036046103,0.037784766,0.041687667,0.045872968,0.049352076,0.056159973,0.06477815,0.0852476,0.10278555,0.116596274,0.17351003,0.20899504,0.23811698,0.32350937,2.162942
4,0.0037163745,0.0021988365,0.0017696297,0.0010709326,0.0,0.0027561877,0.0058134184,0.0067276955,0.007018111,0.0111485,0.015709719,0.021606425,0.021392742,0.025320152,0.03645649,0.03790946,0.04180484,0.04614533,0.049748305,0.056510422,0.06517892,0.08570748,0.103255175,0.11694423,0.1740464,0.20970261,0.23905663,0.3248965,2.1640596
5,0.0055645183,0.004186941,0.003840223,0.0033474695,0.0027561877,0.0,0.004420991,0.006113673,0.0073518828,0.011622687,0.016335228,0.022032002,0.021958822,0.025897093,0.037239317,0.038966518,0.042575877,0.04705307,0.050693225,0.057499126,0.06611237,0.08676829,0.10429441,0.117448,0.17422472,0.20981371,0.23931652,0.32554236,2.1631396
6,0.009052981,0.007346403,0.006950822,0.0063506053,0.0058134184,0.004420991,0.0,0.004351875,0.0066163293,0.011218916,0.01624754,0.02210561,0.02241893,0.02607213,0.03747139,0.039090928,0.04281318,0.04745367,0.051196832,0.057642084,0.06613378,0.086325526,0.103798114,0.11651468,0.17319636,0.20854361,0.23767202,0.32327846,2.1592512
7,0.00948729,0.00782252,0.0074682194,0.006981153,0.0067276955,0.006113673,0.004351875,0.0,0.0042229556,0.008855958,0.014115549,0.020810954,0.021129733,0.025465244,0.037195336,0.03854249,0.04257679,0.04726069,0.051342055,0.05791175,0.06635564,0.08728739,0.10469044,0.11808431,0.17524385,0.21039927,0.2393408,0.32466847,2.16189
8,0.009491355,0.007861086,0.0075544105,0.00700477,0.007018111,0.0073518828,0.0066163293,0.0042229556,0.0,0.0065848217,0.011912674,0.019040665,0.019143416,0.024126066,0.035053723,0.036567856,0.040815223,0.04561058,0.049499247,0.05610606,0.06451199,0.08520034,0.102699004,0.11607639,0.17322116,0.20819253,0.23667479,0.3214799,2.1600676
9,0.013315831,0.01175961,0.0115079535,0.011038204,0.0111485,0.011622687,0.011218916,0.008855958,0.0065848217,0.0,0.007869116,0.016373262,0.018321073,0.025029914,0.036755566,0.038479317,0.043132395,0.048051376,0.05248654,0.059346393,0.067745894,0.08793231,0.104953565,0.11840657,0.1750211,0.21082681,0.2389016,0.32360092,2.1646433
10,0.017955571,0.016289873,0.016004005,0.0156154,0.015709719,0.016335228,0.01624754,0.014115549,0.011912674,0.007869116,0.0,0.011727549,0.01588192,0.023534035,0.03555396,0.03765839,0.0432096,0.048653066,0.053081393,0.05966409,0.06812627,0.088745214,0.10534412,0.11862129,0.17440283,0.21037407,0.23756512,0.32232717,2.1663916
