Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,0.74936455,0.83460116,0.91723603,0.9667553,0.9708183,1.004426,0.9922927,1.0046834,1.0153569,1.0105869,0.99729043,0.9998766,0.9912774,0.9875497,0.97564816,0.9603591,0.9611524,0.9720036,0.9965724,1.0022808,1.012241,1.019288,1.0277318,1.0244105,1.0235045,1.0143789,0.99687606,0.952141
1,0.74936455,-1.1920929e-07,0.13190728,0.23811144,0.37086356,0.5239626,0.58149385,0.5929258,0.60529923,0.686647,0.7151092,0.7988303,0.751329,0.7973966,0.78218764,0.7684973,0.79037684,0.78875035,0.7896313,0.8119539,0.8302376,0.8497004,0.8523263,0.8705718,0.8733015,0.8803578,0.9005039,0.89600796,0.99879783
2,0.83460116,0.13190728,-1.1920929e-07,0.14736032,0.28510094,0.464835,0.53701186,0.5556123,0.5724362,0.66234094,0.69381464,0.77910423,0.73573816,0.7915467,0.7783708,0.76848215,0.79218316,0.78881574,0.7911424,0.8057496,0.8197794,0.84870565,0.84978056,0.8653791,0.87385964,0.88514316,0.9049003,0.90667003,1.0068134
3,0.91723603,0.23811144,0.14736032,-1.1920929e-07,0.16747332,0.38635522,0.47726977,0.5074035,0.5114337,0.6117829,0.66223586,0.7562529,0.70761746,0.78291214,0.76745164,0.7448958,0.7849277,0.7758646,0.7736337,0.78586435,0.80308574,0.83426714,0.83867997,0.8554815,0.86353946,0.878895,0.89830554,0.90339625,1.0016167
4,0.9667553,0.37086356,0.28510094,0.16747332,-1.1920929e-07,0.2958225,0.41953748,0.47266018,0.4996001,0.60475326,0.65575385,0.75178206,0.7163794,0.77717555,0.7781693,0.74868536,0.782683,0.7831505,0.7868948,0.79682994,0.8144429,0.84489596,0.85047793,0.86236197,0.87644064,0.89334625,0.9137723,0.92513347,1.001529
5,0.9708183,0.5239626,0.464835,0.38635522,0.2958225,1.1920929e-07,0.2941898,0.39785516,0.48733884,0.5976549,0.65834147,0.7341951,0.7126608,0.7656922,0.7831124,0.76971734,0.78862107,0.7949339,0.80057967,0.8111414,0.82567555,0.8561246,0.86184406,0.86162865,0.87257993,0.88751405,0.907969,0.9249463,0.98811597
6,1.004426,0.58149385,0.53701186,0.47726977,0.41953748,0.2941898,5.9604645e-08,0.24097586,0.36848444,0.50655437,0.59273654,0.6736063,0.6716361,0.7095622,0.7436807,0.7327341,0.7538851,0.766714,0.7760778,0.7805099,0.7939454,0.81763065,0.82773674,0.82449186,0.8439322,0.85731554,0.8724317,0.8876973,0.9641259
7,0.9922927,0.5929258,0.5556123,0.5074035,0.47266018,0.39785516,0.24097586,0.0,0.22880083,0.38959366,0.50094444,0.62069345,0.61986566,0.68269676,0.7308349,0.71360797,0.74261343,0.7573151,0.7745088,0.7820356,0.79420406,0.83096373,0.83863276,0.8452958,0.8672532,0.87673163,0.8886924,0.8992408,0.9727239
8,1.0046834,0.60529923,0.5724362,0.5114337,0.4996001,0.48733884,0.36848444,0.22880083,-1.1920929e-07,0.28579348,0.41451865,0.5598134,0.5516268,0.6403519,0.67394847,0.6624472,0.6993989,0.7186651,0.732833,0.7437874,0.7580216,0.7951479,0.80745435,0.8159291,0.84298646,0.852433,0.8609209,0.870523,0.9664731
9,1.0153569,0.686647,0.66234094,0.6117829,0.60475326,0.5976549,0.50655437,0.38959366,0.28579348,-1.1920929e-07,0.24835968,0.44041967,0.4892456,0.6189674,0.6784517,0.67464,0.7156233,0.7359198,0.7596239,0.7743714,0.78684247,0.81181335,0.81709826,0.82646656,0.8469211,0.8645464,0.8686514,0.8781517,0.97447777
