Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,1.6783142,2.0898864,2.9269173,3.5748193,4.3718266,5.600634,5.717015,5.716302,6.7583814,7.84256,8.837197,8.940218,9.519426,11.479457,11.788345,12.236101,12.856895,13.353825,14.23112,15.236309,17.38257,19.063997,20.274397,24.715248,27.079407,28.835503,33.556126,85.97335
1,1.0349712,0.0,0.6192166,1.1799264,1.6964964,2.3382154,3.1124809,3.2019036,3.2075565,3.9159155,4.606246,5.3063574,5.318934,5.725045,6.9112916,7.0939045,7.4001765,7.7788777,8.078111,8.624432,9.257,10.5900135,11.622664,12.380713,15.119577,16.583368,17.691027,20.60592,53.051613
2,1.0408078,0.5000754,0.0,0.7652808,1.2292423,1.8083869,2.4455051,2.5268805,2.5393956,3.1284316,3.6874285,4.2662735,4.270606,4.615356,5.5659404,5.713734,5.9661436,6.2684774,6.5107794,6.946945,7.4554596,8.542548,9.373668,9.985655,12.200744,13.387272,14.284524,16.642277,42.85598
3,1.0324956,0.6749595,0.5420642,0.0,0.6774731,1.1957594,1.6559328,1.7305048,1.731131,2.1696544,2.5802515,3.0148368,2.9982097,3.2743623,3.9282353,4.015112,4.215568,4.4200096,4.5856147,4.8933024,5.257654,6.032799,6.6215715,7.058671,8.6234045,9.468763,10.108164,11.778587,30.360777
4,1.0315423,0.7938362,0.71223384,0.55417544,0.0,0.8874303,1.2961212,1.3892543,1.4174453,1.7837485,2.1168597,2.4829876,2.4734476,2.693972,3.2322464,3.290647,3.4539475,3.6269412,3.766443,4.015381,4.3142567,4.9485474,5.4292035,5.783035,7.0653744,7.7591844,8.285447,9.656247,24.842089
5,1.0202146,0.88482636,0.84736794,0.79103297,0.71767837,0.0,0.91499645,1.0705601,1.1732861,1.4729252,1.745667,2.027667,2.0265398,2.203007,2.6416829,2.6980362,2.8186545,2.9616253,3.0749505,3.2753968,3.5138307,4.026469,4.412602,4.6865015,5.7164454,6.2761607,6.7040157,7.8167596,20.085674
6,1.0171484,0.91664004,0.89180076,0.85253465,0.815755,0.712095,0.0,0.7027975,0.8678231,1.1276344,1.3568896,1.5821407,1.5949094,1.7209843,2.0632586,2.1040015,2.2008185,2.3157427,2.4058352,2.5530622,2.7356753,3.1257505,3.426389,3.6330037,4.435809,4.869323,5.1990585,6.0617876,15.617656
7,1.0142684,0.9211637,0.90016145,0.8703192,0.85414654,0.81389064,0.68654126,0.0,0.6756791,0.9774366,1.2343901,1.4986678,1.5119542,1.6610749,2.0079436,2.0406935,2.1434088,2.2573617,2.3531146,2.499582,2.676401,3.070076,3.3609035,3.572262,4.358319,4.777704,5.0966625,5.9344115,15.265673
8,1.0165077,0.9249426,0.90673,0.8726651,0.8735119,0.89406866,0.84972733,0.6772553,0.0,0.8440179,1.1360517,1.4368074,1.4419432,1.6208578,1.9536984,1.9919447,2.1037014,2.222762,2.3158255,2.466138,2.6455414,3.0407662,3.336978,3.5506878,4.3438225,4.764191,5.080433,5.919229,15.294946
9,1.0134556,0.9522267,0.94197816,0.92230546,0.9269637,0.94648594,0.93107194,0.82616556,0.7117348,0.0,0.7783169,1.1227982,1.1891037,1.3914517,1.6861613,1.7224202,1.8227963,1.9232104,2.0105271,2.1384456,2.2856789,2.6045418,2.8443305,3.0237389,3.6815217,4.0422606,4.303665,5.007657,12.911708
10,1.009603,0.9615789,0.95316595,0.9416229,0.94439113,0.96299857,0.961812,0.8956981,0.8224232,0.6681704,0.0,0.8161543,0.95109457,1.158844,1.4241558,1.4638189,1.5669464,1.6619241,1.736176,1.8413783,1.9680614,2.2464032,2.4465218,2.5983887,3.1554794,3.4671307,3.6849837,4.2910542,11.089591
11,1.006154,0.97969604,0.97532797,0.97305167,0.9796963,0.9892772,0.99185425,0.961771,0.91992605,0.8524905,0.7218207,0.0,0.6715255,0.929381,1.22285,1.2922761,1.384252,1.4774605,1.5507537,1.6458626,1.7604033,2.0011268,2.174335,2.3069777,2.7892828,3.055584,3.2481966,3.7917209,9.770675
12,1.006301,0.9708439,0.9652092,0.9566741,0.9648273,0.9774767,0.98848194,0.9592568,0.9127093,0.8925602,0.83159286,0.6638844,0.0,0.73701125,1.1004204,1.1807817,1.2838734,1.3743489,1.4483471,1.554978,1.6679963,1.9103706,2.0904045,2.229313,2.7173524,2.9861197,3.1867576,3.7243211,9.654785
13,1.0046375,0.9797663,0.97803843,0.9795972,0.9852779,0.99629045,1.0000654,0.9881076,0.9619401,0.9792751,0.9500157,0.8614747,0.6910236,0.0,0.85709316,1.0051148,1.1137708,1.2185438,1.3098288,1.4190992,1.5306307,1.7626004,1.9435043,2.0656335,2.5340466,2.7884347,2.9791262,3.4932914,9.034771
14,1.0027237,0.97895813,0.97622657,0.97270155,0.9784337,0.98880816,0.9923537,0.9886166,0.95967007,0.98219335,0.9663282,0.93817365,0.8539623,0.709397,0.0,0.62744045,0.7905585,0.91313756,1.0087663,1.1204587,1.2273601,1.4288592,1.5903066,1.697377,2.081552,2.297468,2.4594595,2.8781164,7.469438
15,1.001539,0.97733927,0.97473645,0.9670188,0.9688653,0.98227763,0.9842694,0.9772581,0.9516929,0.9758703,0.96607226,0.96431845,0.89126086,0.8091557,0.61027783,0.0,0.54606724,0.7080343,0.8373618,0.97301316,1.0868992,1.2981722,1.4716833,1.5911342,1.966725,2.1778533,2.343947,2.7511039,7.2487273
16,1.0001003,0.98081607,0.9791435,0.97673965,0.9783253,0.9872197,0.9904615,0.98746556,0.96691674,0.99351996,0.99485976,0.99372405,0.93227255,0.8625768,0.7397324,0.5253293,0.0,0.46376732,0.6473781,0.80292946,0.92520475,1.1521059,1.3301035,1.452266,1.8202612,2.0360146,2.198938,2.5863128,6.9353204
17,1.0000033,0.98113155,0.97899276,0.9745648,0.97762626,0.987113,0.9917643,0.9896529,0.97221607,0.99753946,1.0041156,1.0093256,0.94969136,0.8980651,0.81309557,0.6481933,0.44133154,0.0,0.46580976,0.6493831,0.77665085,1.0009066,1.1740276,1.3015947,1.6536396,1.871298,2.0336473,2.409796,6.5611053
18,1.0007097,0.98165125,0.97968745,0.9741419,0.97813964,0.987443,0.99270725,0.9939441,0.9759168,1.0047323,1.0106561,1.0206937,0.9642625,0.9300758,0.86543226,0.7385851,0.5935536,0.4487926,0.0,0.47124332,0.6209167,0.84838337,1.0215567,1.1531808,1.488769,1.7144117,1.8814416,2.2473314,6.288727
19,1.0022359,0.98493224,0.9823741,0.9769114,0.97999686,0.9884763,0.9900227,0.99223536,0.97668105,1.0043083,1.0073518,1.0180628,0.97291595,0.94698924,0.90337247,0.8065561,0.6918434,0.58798546,0.44286737,0.0,0.4048281,0.6711976,0.8549709,0.9967384,1.3249221,1.5482726,1.7178339,2.0651424,5.8824387
20,1.0023112,0.98750216,0.984803,0.9804762,0.9835486,0.990547,0.99092376,0.99240834,0.97868264,1.0027114,1.0057006,1.0171503,0.9748506,0.9541016,0.9243467,0.8415832,0.74466366,0.65687585,0.54507184,0.37814865,0.0,0.47683972,0.68183196,0.8302881,1.1431282,1.3536549,1.5223825,1.8500592,5.464666
21,1.0023657,0.99027014,0.9891262,0.9861733,0.9889104,0.9949655,0.99247456,0.9978787,0.98605174,1.0015703,1.0062528,1.0135306,0.9787009,0.96309125,0.9432823,0.8811086,0.81283814,0.74206233,0.6528327,0.54958093,0.41798607,0.0,0.40919203,0.5843816,0.84009206,1.0451521,1.2146089,1.508645,4.715769
22,1.0023937,0.9910033,0.98966014,0.9869785,0.98929894,0.99423856,0.9920052,0.9960861,0.98669344,0.9973382,0.9992651,1.0041555,0.97650605,0.9683031,0.95729405,0.91080153,0.85567594,0.7936653,0.7167777,0.6383293,0.54497796,0.37311217,0.0,0.40114388,0.65688473,0.8594198,1.0329579,1.3067725,4.2421656
23,1.0025908,0.9928106,0.9915268,0.9895116,0.991057,0.9931068,0.9892236,0.99571604,0.98739916,0.9971443,0.99812996,1.0020036,0.9794154,0.96789986,0.9609353,0.9261206,0.8786611,0.82753474,0.7609756,0.69988394,0.62413967,0.5011412,0.37726936,0.0,0.49725932,0.7114488,0.89880383,1.1738158,3.9400432
24,1.0018092,0.99381316,0.9930212,0.99087995,0.99248123,0.99292773,0.9900242,0.995762,0.99014014,0.9951429,0.99355674,0.99303097,0.9785573,0.9732762,0.965934,0.9383151,0.9027205,0.86177844,0.80527645,0.76256967,0.70435596,0.59052026,0.5063897,0.40759352,0.0,0.400524,0.59786224,0.83721554,3.1486673
25,1.0015521,0.9946084,0.9942111,0.9927728,0.9945291,0.99471784,0.99164414,0.9960245,0.990896,0.9970035,0.99612033,0.9926102,0.9812096,0.9772288,0.9728008,0.94808656,0.9213291,0.88984025,0.8461495,0.81311303,0.7610611,0.6703502,0.6045265,0.53211105,0.3654625,0.0,0.43810332,0.6849242,2.83078
26,1.0011013,0.99597514,0.99579144,0.9948211,0.99685836,0.9973715,0.9938665,0.99736196,0.9918722,0.9963844,0.9937869,0.9904736,0.9829234,0.98003316,0.97753036,0.9578185,0.9340345,0.9077386,0.87164325,0.84683883,0.80343634,0.73126495,0.6820382,0.63101494,0.51207256,0.41123742,0.0,0.46061882,2.5988252
27,1.0003512,0.99613374,0.99619764,0.99539644,0.9975992,0.9985708,0.9950256,0.9971827,0.99231666,0.99552727,0.9936921,0.9928123,0.9863883,0.98677206,0.9822659,0.9653229,0.9433246,0.9236248,0.8940161,0.87417775,0.8383849,0.7799298,0.74089426,0.7076278,0.61574066,0.5520631,0.3955231,0.0,2.1667442
