Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,0.46045336,0.58930296,1.0863655,1.2441623,1.0586623,1.3729593,1.6045686,1.7811311,1.5937092,1.952428,1.0387464,1.6031154,1.4002858,2.129256,2.9495685,2.2187092,2.7406154,2.5732405,2.550506,3.7638545,5.336667,5.8190107,5.987167,8.862417,9.5199795,8.862855,12.093855,11.972135
1,0.46045336,0.0,0.15986717,0.6569297,0.81472653,0.6292265,0.94352347,1.1751328,1.3516953,1.1642735,1.5229921,0.810876,1.1736796,1.3408134,1.6998203,2.5201328,1.8174541,2.3111796,2.287345,2.5041575,3.7312825,5.3040953,5.786439,5.954595,8.829845,9.487408,8.830283,12.061283,12.005745
2,0.58930296,0.15986717,0.0,0.4970625,0.65485936,0.46935934,0.7836563,1.0152657,1.1918283,1.0044062,1.3631251,0.7584004,1.0943692,1.2883378,1.539953,2.3602655,1.7649785,2.1513124,2.333788,2.5506005,3.7777255,5.350538,5.8328815,6.0010376,8.876288,9.533851,8.876726,12.107726,12.040189
3,1.0863655,0.6569297,0.4970625,0.0,0.15779686,0.34598047,0.52752924,0.51820314,0.6947657,0.50734377,0.8660625,0.7128105,1.0487794,1.242748,1.3074043,1.863203,1.7193887,1.7375606,2.3181286,2.5349412,3.7620661,5.334879,5.8172226,5.9853787,8.860629,9.518191,8.861067,12.092067,12.014791
4,1.2441623,0.81472653,0.65485936,0.15779686,0.0,0.21674024,0.47036523,0.38756055,0.5369688,0.5108845,0.70826566,0.6556465,0.9916153,1.185584,1.2502402,1.7054062,1.6622247,1.6803966,2.3722064,2.589019,3.816144,5.3889565,5.8713,6.0394564,8.914707,9.572269,8.915145,12.146145,12.061547
5,1.0586623,0.6292265,0.46935934,0.34598047,0.21674024,0.0,0.31429696,0.5459063,0.72246885,0.53504694,0.8937657,0.56043017,0.8315918,1.0050216,1.113709,1.8909062,1.4454844,1.6819531,2.4335303,2.650343,3.8774679,5.45028,5.932624,6.10078,8.97603,9.633593,8.976468,12.207468,12.095458
6,1.3729593,0.94352347,0.7836563,0.52752924,0.47036523,0.31429696,0.0,0.24683546,0.4081719,0.48629248,0.5794687,0.6154636,0.76119924,0.93462896,1.0433164,1.5766093,1.3574258,1.4998555,2.4813085,2.698121,3.925246,5.498059,5.9804025,6.1485586,9.0238085,9.681371,9.024246,12.255246,12.052804
7,1.6045686,1.1751328,1.0152657,0.51820314,0.38756055,0.5459063,0.24683546,0.0,0.25974682,0.3102588,0.5403227,0.70522654,0.72607815,0.8995079,1.0081953,1.3449999,1.3223047,1.4789141,2.4603672,2.6771798,3.9043047,5.477117,5.9594607,6.127617,9.002868,9.66043,9.003305,12.234305,11.973658
8,1.7811311,1.3516953,1.1918283,0.6947657,0.5369688,0.72246885,0.4081719,0.25974682,0.0,0.29536867,0.42165232,0.8817891,0.6326875,0.80611724,0.91480464,1.1684374,1.2513204,1.3737895,2.3552427,2.5720553,3.7991803,5.3719926,5.8543363,6.0224924,8.897743,9.5553055,8.898181,12.129181,11.989939
9,1.5937092,1.1642735,1.0044062,0.50734377,0.5108845,0.53504694,0.48629248,0.3102588,0.29536867,0.0,0.35871875,0.6943672,0.6078282,0.80179685,0.8664531,1.3558593,1.2784376,1.2966094,2.275452,2.4922645,3.7193894,5.292202,5.7745457,5.942702,8.817952,9.475514,8.81839,12.04939,12.0418625
