Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.9999999,0.2506189,0.1653225,0.08278325,0.03287733,0.028887067,-0.0036106084,0.0074507226,-0.0044283457,-0.015136153,-0.010468954,0.0027051088,0.0002194196,0.008609055,0.012461152,0.0242296,0.03958919,0.03875462,0.027840003,0.0032027476,-0.0024694111,-0.012421142,-0.019578323,-0.028024387,-0.024735305,-0.023497244,-0.014084896,0.0029827263,0.047597725
1,0.2506189,1.0,0.8681203,0.7619649,0.6294606,0.47557908,0.41917443,0.4072202,0.3941229,0.31295174,0.28496754,0.2006793,0.24880895,0.20332481,0.21836051,0.23196115,0.2096776,0.21146367,0.21015674,0.1879764,0.16958408,0.15000978,0.14726207,0.1288642,0.12623222,0.11919895,0.09912221,0.10355542,0.00086859707
2,0.1653225,0.8681203,1.0,0.8527179,0.71511924,0.5346812,0.46378154,0.44462365,0.42703822,0.3374333,0.30662072,0.22061571,0.264384,0.20899023,0.22197703,0.23169464,0.20746268,0.21097276,0.20829742,0.19399516,0.17984045,0.1508734,0.1497879,0.13400134,0.12570044,0.11441062,0.0947682,0.09281891,-0.0071888063
3,0.08278325,0.7619649,0.8527179,1.0,0.83273095,0.6132017,0.5236432,0.4928401,0.48747098,0.38756654,0.33835536,0.24332958,0.29267782,0.21776414,0.23297721,0.25536853,0.21466169,0.22388217,0.2257799,0.2138982,0.1964439,0.1652585,0.16086417,0.14397848,0.13601646,0.120689884,0.1015485,0.096255764,-0.002046536
4,0.03287733,0.6294606,0.71511924,0.83273095,1.0,0.70370996,0.58141744,0.5272444,0.49952787,0.39472887,0.34448487,0.24798842,0.28407544,0.2239401,0.22278045,0.2521879,0.21751061,0.21702638,0.21279544,0.2030294,0.18522912,0.15500966,0.1494103,0.1375219,0.1236658,0.106917106,0.086790316,0.0752942,-0.0015329034
5,0.028887067,0.47557908,0.5346812,0.6132017,0.70370996,0.9999999,0.7072109,0.60183394,0.5121258,0.40199196,0.3418437,0.2656033,0.28762764,0.23493099,0.21744421,0.23075363,0.21103263,0.20464818,0.1991303,0.18844731,0.17384668,0.1435178,0.13783333,0.13781916,0.12710434,0.1122291,0.092376456,0.07529013,0.011574066
6,-0.0036106084,0.41917443,0.46378154,0.5236432,0.58141744,0.7072109,0.9999998,0.75795966,0.6311424,0.49325475,0.40816066,0.32645893,0.32855856,0.29028973,0.2566012,0.26728195,0.24559882,0.23266487,0.22344959,0.21912651,0.20536649,0.18150643,0.17180747,0.17477322,0.15552825,0.14187133,0.1272586,0.11185047,0.03538601
7,0.0074507226,0.4072202,0.44462365,0.4928401,0.5272444,0.60183394,0.75795966,1.0,0.77048063,0.61006916,0.49969608,0.37926564,0.38050717,0.31753826,0.26991707,0.28682166,0.25691947,0.24243133,0.22512534,0.21777283,0.20506772,0.16818224,0.16061296,0.15367825,0.1319869,0.12254745,0.11123705,0.10057814,0.026810894
8,-0.0044283457,0.3941229,0.42703822,0.48747098,0.49952787,0.5121258,0.6311424,0.77048063,1.0,0.71360105,0.5857658,0.4402721,0.4483942,0.36033428,0.32684124,0.33785298,0.30067253,0.28140652,0.26700372,0.25629067,0.24189156,0.20472476,0.19239463,0.18386345,0.15698507,0.14743347,0.13942632,0.12957732,0.03327483
9,-0.015136153,0.31295174,0.3374333,0.38756654,0.39472887,0.40199196,0.49325475,0.61006916,0.71360105,1.0,0.7513926,0.55902874,0.5109648,0.38205045,0.32253954,0.3260866,0.28482306,0.26465195,0.24057809,0.22567587,0.21337545,0.18826655,0.18292207,0.1736362,0.1533339,0.13534813,0.13124219,0.12192408,0.026070219
10,-0.010468954,0.28496754,0.30662072,0.33835536,0.34448487,0.3418437,0.40816066,0.49969608,0.5857658,0.7513926,1.0,0.71304137,0.61464226,0.47130066,0.38989496,0.38260424,0.32712075,0.29679227,0.27359197,0.26098242,0.2452099,0.21048318,0.2064588,0.19753014,0.17892288,0.157972,0.15859084,0.14370371,0.029921204
11,0.0027051088,0.2006793,0.22061571,0.24332958,0.24798842,0.2656033,0.32645893,0.37926564,0.4402721,0.55902874,0.71304137,0.9999999,0.77770996,0.60381913,0.4628142,0.42101848,0.36839342,0.32848877,0.2975472,0.2801261,0.25935143,0.22672513,0.22218585,0.21285394,0.19832212,0.185713,0.18431433,0.15892595,0.07440949
12,0.0002194196,0.24880895,0.264384,0.29267782,0.28407544,0.28762764,0.32855856,0.38050717,0.4483942,0.5109648,0.61464226,0.77770996,1.0,0.74813104,0.5630757,0.5142242,0.45342126,0.41657776,0.38543886,0.3556891,0.33476266,0.29726374,0.28306687,0.26579982,0.23923096,0.22109562,0.20957777,0.18374237,0.078758135
13,0.008609055,0.20332481,0.20899023,0.21776414,0.2239401,0.23493099,0.29028973,0.31753826,0.36033428,0.38205045,0.47130066,0.60381913,0.74813104,1.0,0.71429634,0.616979,0.5523991,0.49964494,0.4501168,0.41159827,0.38400227,0.34000635,0.31217793,0.30204675,0.26147753,0.2401527,0.22565892,0.18840668,0.09835676
14,0.012461152,0.21836051,0.22197703,0.23297721,0.22278045,0.21744421,0.2566012,0.26991707,0.32684124,0.32253954,0.38989496,0.4628142,0.5630757,0.71429634,1.0,0.8087102,0.7096647,0.6351056,0.57510173,0.5174271,0.47339588,0.41378137,0.37033528,0.3506453,0.3045314,0.27538258,0.25534534,0.22253211,0.11087434
15,0.0242296,0.23196115,0.23169464,0.25536853,0.2521879,0.23075363,0.26728195,0.28682166,0.33785298,0.3260866,0.38260424,0.42101848,0.5142242,0.616979,0.8087102,1.0,0.8569139,0.7739512,0.6983557,0.6254659,0.5755686,0.5039873,0.4467852,0.41259384,0.3638456,0.3337092,0.30571696,0.27271152,0.12779582
16,0.03958919,0.2096776,0.20746268,0.21466169,0.21751061,0.21103263,0.24559882,0.25691947,0.30067253,0.28482306,0.32712075,0.36839342,0.45342126,0.5523991,0.7096647,0.8569139,1.0,0.8985392,0.8114245,0.73371595,0.67930424,0.5931315,0.5294189,0.4901325,0.43438375,0.39305076,0.36282215,0.33344162,0.16618317
17,0.03875462,0.21146367,0.21097276,0.22388217,0.21702638,0.20464818,0.23266487,0.24243133,0.28140652,0.26465195,0.29679227,0.32848877,0.41657776,0.49964494,0.6351056,0.7739512,0.8985392,0.99999994,0.8962315,0.8146386,0.7592031,0.67377347,0.6114824,0.565135,0.5073991,0.4567082,0.4207712,0.38353324,0.20368654
18,0.027840003,0.21015674,0.20829742,0.2257799,0.21279544,0.1991303,0.22344959,0.22512534,0.26700372,0.24057809,0.27359197,0.2975472,0.38543886,0.4501168,0.57510173,0.6983557,0.8114245,0.8962315,0.99999994,0.89789355,0.8392292,0.757084,0.69646436,0.6477585,0.5949288,0.53414077,0.49059647,0.45085657,0.2338801
19,0.0032027476,0.1879764,0.19399516,0.2138982,0.2030294,0.18844731,0.21912651,0.21777283,0.25629067,0.22567587,0.26098242,0.2801261,0.3556891,0.41159827,0.5174271,0.6254659,0.73371595,0.8146386,0.89789355,0.9999999,0.925792,0.8351457,0.7692158,0.71329415,0.6508368,0.5846767,0.53280526,0.4897903,0.25642002
