Layer,SVD_Entropy_O_Proj
0,0.9535084366798401
1,0.9598919749259949
2,0.9605165123939514
3,0.9641392230987549
4,0.9624692797660828
5,0.960012674331665
6,0.9610467553138733
7,0.9586693644523621
8,0.9575556516647339
9,0.9567370414733887
10,0.9550953507423401
11,0.9569974541664124
12,0.9559444785118103
13,0.9571362733840942
14,0.9606189727783203
15,0.9604353904724121
16,0.9636002779006958
17,0.9630112051963806
18,0.9654905200004578
19,0.9654609560966492
20,0.9683557748794556
21,0.9675312638282776
22,0.968464732170105
23,0.9664058685302734
24,0.9658674597740173
25,0.9658403992652893
26,0.9599489569664001
27,0.9623119235038757
