Layer,Value
0,12.469408321380616
1,12.439477634429931
2,12.119091463088989
3,12.534303236007691
4,13.28190474510193
5,13.759185934066773
6,12.907896614074707
7,12.080320978164673
8,11.754164934158325
9,11.692981195449828
10,11.501832866668702
11,11.077455711364745
12,10.94065523147583
13,10.768154859542847
14,9.431773996353149
15,10.219294834136964
16,9.250914049148559
17,7.336033344268799
18,6.224228858947754
19,4.858740818500519
20,3.75751935839653
21,0.8450426787137986
22,0.4678916098549962
23,0.755316892452538
24,0.18686636027414352
25,0.20309831159538588
26,0.21563719855330418
27,0.050498565190355296
