Layer,LogitLens
0,4.631406371080615e-09
1,4.058714306154343e-07
2,1.4704632573625531e-06
3,6.714999377948061e-07
4,4.03606790342792e-07
5,1.3231091362513324e-06
6,5.539646108445595e-06
7,8.238448115662322e-06
8,6.64909474369324e-06
9,1.120914471857759e-05
10,1.2980911158479102e-05
11,2.237426083752325e-05
12,1.9393771666727844e-05
13,8.941053545549948e-05
14,2.7764998902966907e-05
15,0.00011661229333003576
16,0.0008169373125056155
17,0.0033472501334836126
18,0.012548114662131411
19,0.05159667765178892
20,0.5133830108098555
21,0.6717619630688859
22,0.5628859783110093
23,0.7926385368226329
24,0.8265269379959791
25,0.8595013011145783
26,0.746481887627393
27,0.7182281588912011
