Layer,Spectral_Norm
0,13.747851661273412
1,7.32528943674905
2,6.253602198192051
3,6.680992892810276
4,7.247421366827829
5,6.779950942311968
6,7.137923887797764
7,7.335625869887216
8,6.967381324086871
9,7.071319018091474
10,6.935802016939435
11,7.361025827271598
12,6.641984616007123
13,6.610192775726318
14,7.256327407700675
15,7.213181376457214
16,6.833095141819546
17,6.647563559668405
18,6.6779694727488925
19,6.71332928112575
20,6.47839059148516
21,6.107312219483512
22,6.160926801817758
23,6.61423202923366
24,7.242032561983381
25,7.511878728866577
26,8.55679556301662
27,10.10981900351388
