Layer,Variance_Shift
0,8.542245083808899
1,28.704689167022703
2,1.9563448944091797
3,1.61609335231781
4,1.4068459708690644
5,1.3014724996089935
6,1.24056427192688
7,1.2299800248146058
8,1.1421656670570373
9,1.1086786119937897
10,1.0624266471862793
11,1.260607191801071
12,1.1126393883228303
13,1.1241552391052245
14,1.217356528520584
15,1.2048315510749816
16,1.1646978583335876
17,1.1588825137615204
18,1.1322241728305817
19,1.2480718100070953
20,1.1987615621089935
21,1.1658547105789185
22,1.1895974476337432
23,1.2197082571983338
24,1.1956978754997254
25,1.221293978691101
26,1.2502949488162995
27,1.4855850987434387
