Layer,Outlier_IoU
0,0.01786839112639427
1,0.6002367050647736
2,0.6262962477207183
3,0.6720986753702164
4,0.6387519062757492
5,0.6334685850143432
6,0.6244995812177658
7,0.6301887941360473
8,0.650295881986618
9,0.6584479901790619
10,0.6415308120250702
11,0.6051823939085007
12,0.6716436423063278
13,0.674199114561081
14,0.6785392388105392
15,0.7200256700515747
16,0.7684146516323089
17,0.7670443801879883
18,0.7692644611597061
19,0.7443064637184144
20,0.7848739423751832
21,0.7834880470037461
22,0.7631444845199585
23,0.7473452496528625
24,0.705161318898201
25,0.649221449136734
26,0.5038901715874672
27,0.141212723582983
