Layer,Spectral_Norm
0,8.121435220424946
1,5.776016492110032
2,5.726852343632625
3,5.962138451062716
4,4.863966171558086
5,4.884904366273147
6,4.754792855336116
7,4.683915881010202
8,4.7436717840341425
9,4.5058472615021925
10,4.311910675122188
11,4.3904218306908245
12,4.513505761439983
13,4.1939752743794365
14,4.117701750535232
15,4.503453502288232
16,4.1174852939752435
17,4.469821975781367
18,4.014684319496155
19,4.084485860971304
20,4.287423253059387
21,4.564549051798307
22,4.304651755553025
23,5.101659756440383
24,4.898702768179087
25,5.333308256589449
26,5.28418153982896
27,6.670810733522687
28,5.532748597008841
29,5.211103541510446
30,6.729622568402972
31,6.694862944739206
32,5.380359309060233
33,6.03019574710301
