Layer,Frobenius_Norm
0,44.911809334388145
1,44.56921694828914
2,44.80627896235539
3,48.439810239351715
4,44.5583261343149
5,45.54414367675781
6,46.818819779616135
7,45.88876504164476
8,45.356990374051605
9,47.52671813964844
10,45.34392723670373
11,45.37724964435284
12,47.35610771179199
13,47.81866807204027
14,47.049271216759315
15,46.22072894756611
16,47.145765157846306
17,45.79568554804875
18,46.06702657846304
19,45.26090753995455
20,46.958131496722885
21,48.02866114102877
22,47.582287274874176
23,49.558657572819634
24,47.48328766456017
25,48.26291949932392
26,44.548295094416694
27,56.754362378801616
28,54.107814243861604
29,55.188885007585796
30,61.23597226824079
31,59.55864007132394
32,52.88388660975865
33,56.40591376168387
