Model,Task,Layer,Relative_Depth,Accuracy_Drop,PPL_Degradation,PPL_Ratio,PPL_Rank,M1_MSE_next,M1_MSE_start,M1_MSE_end,M1_MSE_mean,M2_Cosine_next,M2_Cosine_start,M2_Cosine_end,M2_Cosine_mean,M3_Residual_next,M3_Residual_start,M3_Residual_end,M3_Residual_mean,M4_CKA_next,M4_CKA_start,M4_CKA_end,M4_CKA_mean,M5_L1_next,M5_L1_start,M5_L1_end,M5_L1_mean,M6_L_Inf_next,M6_L_Inf_start,M6_L_Inf_end,M6_L_Inf_mean,M7_Var_Ratio_next,M7_Var_Ratio_start,M7_Var_Ratio_end,M7_Var_Ratio_mean,M8_Pearson_next,M8_Pearson_start,M8_Pearson_end,M8_Pearson_mean,M11_SVD_Ent,M12_KL_Noise,M13_LogitLens,M14_Spectral_Norm,M15_Frobenius_Norm,M16_Effective_Rank
phi-tiny,csqa,0,0.0,0.9706314243759178,1.0900005492676428,1.0010183502078858,0.6129032258064516,0.0012275336117934,0.0,1.1028970110914338,8.344673064084846,0.1417578033596448,0.0,0.966280228604031,0.7580795546874528,0.8917201230215499,0.0,67.3421827249113,73.51819853596604,0.8103173199879352,1.0,0.3900256174434217,0.22561700360018666,0.0087988589261791,0.0,0.8278010814137189,0.41465143002445487,3.844626186911343,0.0,22.342172633615505,456.7491177563585,5.977247360785607,1.0,3766.0295774067754,28393.34217449349,0.8582340078115659,1.0,0.0338216900679051,0.24191778808243702,0.9580389857292176,1.4346503913402555,0.0,3.362154800597936,20.621471607521787,412.2651829654224
phi-tiny,csqa,1,0.03225806451612903,0.16152716593245217,615.0084088426597,1.5745813077040849,0.0967741935483871,0.0002446000956808,0.0012275336117934,1.1038859687214695,8.337302768233243,0.1097938032251806,0.1417578033596448,0.962116856243916,0.7290972949030072,0.647660987822371,0.5465154116218155,45.64906471308678,50.062579441498315,0.897429295878836,0.8103173216965041,0.3391485745964433,0.23902212190601962,0.0101341415741263,0.0087988589261791,0.8277702276380603,0.41422993007276343,0.8907392722089987,3.844626186911343,22.07103092527897,456.33678399510893,1.5326891920783303,0.3136043039689803,1220.0346586491414,9125.123686166953,0.8902031407309399,0.8582340078115659,0.0379774897488217,0.270904659075492,0.9733428955078124,1.1533593833446505,0.0,3.269035808027607,22.27549072487713,435.5187142123915
phi-tiny,csqa,2,0.06451612903225806,0.11453744493392068,120.21150752878587,1.1123094972424028,0.3870967741935484,5.896472918411242,0.0016693330556192,1.1029862907458097,8.333938792381065,0.1624909098962601,0.238884805168508,0.9487500036719584,0.7171618506846489,8.106073467385857,0.6997345958353554,33.542880444913294,38.54571008608721,0.1308901252031111,0.8015740207479588,0.3777853961649559,0.21930107372975555,0.0465907030796096,0.0141310966844433,0.8273544721579962,0.41383240217956796,526.33203125,4.25886734346207,21.983658374283376,456.20026994962166,4056.7061968029375,0.1922035783019762,745.0981340619211,5580.107347964076,0.8375096718958418,0.76111501220989,0.0513384910506317,0.2828409405363026,0.976486325263977,1.089408814907074,0.0,3.445114948161661,23.04693652832345,436.6050960266427
phi-tiny,csqa,3,0.0967741935483871,0.6372980910425844,233.88506083987272,1.2185108076208502,0.22580645161290322,0.0016971220437591,5.906188058423567,6.824783635666681,4.246662005493994,0.2636023294134866,0.3314523151133707,0.927508709633404,0.7050837759403542,1.115069080287565,0.7701920304114852,28.835079780472388,27.666897777226936,0.999992219128636,0.1370485320132009,0.4573476586329165,0.6619613146617052,0.0293267186880599,0.0517353904261928,0.8511996572375005,0.3979213360301733,2.5001743575962325,526.880615234375,520.1285479371417,280.8522103090544,1.0075082014468144,5.0886353813757264e-05,0.1892291928392077,1.4258148768097576,0.7363924791732838,0.6685481524975158,0.0725530641463133,0.2949136265246144,0.9825060367584229,0.9433960169553756,0.0,3.581418951896772,23.10235537568184,440.6927522437213
phi-tiny,csqa,4,0.12903225806451613,0.11453744493392068,657.7328814899495,1.6144973202523418,0.03225806451612903,0.2524583370750503,5.950336757006946,6.863928559761766,4.2500609184670965,0.4937478954874034,0.4822396038986443,0.9156237495033396,0.6879180536119542,4.805102214375839,0.8877148632628326,17.74917441796905,16.171799882454682,0.9845733339917356,0.1370805207286014,0.4575358100546666,0.6620537709058181,0.0674135628706309,0.0681044648200834,0.8502795185640539,0.397911623896124,54.430745442708336,528.880615234375,522.6285479371417,281.20417668602687,1.2352911889992415,5.050640517529588e-05,0.1878167876056918,1.4151782002104447,0.5062492333602749,0.5177599181902399,0.0844349217929867,0.31207831217228515,0.9780126810073853,0.8589676022529602,0.0,3.440315631970967,23.09525789626657,442.8828298490341
phi-tiny,csqa,5,0.16129032258064516,0.10866372980910415,-230.9176526816377,0.7842615402617732,0.967741935483871,0.0043185142717071,7.351850814842768,8.210142432813464,4.2119338475944215,0.1317456852306019,0.6939018806358715,0.9147025886602718,0.5555636002819445,0.507175870306857,0.9554639908254,9.487836835425377,7.177112007039209,0.9999472210389684,0.1399674626916988,0.4848529644841351,0.6785598532649878,0.0454497191868875,0.1076045792723756,0.8636049426158464,0.3924340451286684,3.671871800778051,582.380615234375,572.6285479371417,287.0923950096118,0.9870871032094682,4.089954862817584e-05,0.1521034812727099,1.1460663717296564,0.8682429420957792,0.3060987564406368,0.0853741805478747,0.44442477161835126,0.9776660799980164,0.490029513835907,0.0,3.533569237957262,23.19048467074355,442.3679475653661
phi-tiny,csqa,6,0.1935483870967742,0.11894273127753296,197.01108219708703,1.184060711387703,0.2903225806451613,0.0100958276521734,7.257162296215498,8.109004456131894,4.1845686530807376,0.1384946974841031,0.7330165014073655,0.8981288310009178,0.5264611977595305,0.5641549547171613,0.9685851143189476,8.037378623581246,6.065884329419793,0.9992694318733872,0.1400646682551022,0.4847357182181536,0.678875119385866,0.0537679662728143,0.1181712841994932,0.8608196586199611,0.38961639398501846,6.69013955805948,578.880615234375,569.1285479371417,286.11746326808947,0.9996138432785492,4.143675752028932e-05,0.1541009045508823,1.1610848405621639,0.8614935231540751,0.2669832220607659,0.1019614031027322,0.47352826483257837,0.9742056727409364,0.3450995460152626,0.0,3.433846103001948,23.408213243092572,443.0559154079385
phi-tiny,csqa,7,0.22580645161290322,0.07635829662261374,-377.9115995129707,0.646930126608631,1.0,0.0142072036604562,7.255534110354362,8.096304146409718,4.1779358990508175,0.1125548709424961,0.785528834399681,0.8833294663026038,0.5118578924720436,0.5298502675633661,0.9811603866279563,6.307999740556847,4.750473043695244,0.999194294482738,0.1397309753125461,0.4840296579739971,0.679160822962765,0.0644761039269058,0.1338449080431197,0.8586380635979329,0.3869686399254319,7.626004555692056,578.880615234375,569.1285479371417,286.11556960646,1.012980466783291,4.146267628838241e-05,0.1541913637340703,1.161717490725597,0.8874428862435811,0.2144683571036578,0.1167649256338553,0.4881320262501698,0.975062906742096,0.2825992219150066,0.0,3.520955065341845,23.311612886925268,443.3970974634772
phi-tiny,csqa,8,0.25806451612903225,0.09838472834067542,-74.71828988038101,0.9301932590000316,0.8064516129032258,0.0212404213233238,7.350805431189447,8.166327156657376,4.159572660321656,0.0827873084117505,0.8239053420045159,0.8604751126650022,0.48813251788246637,0.4464348830423035,0.988014087581322,5.162992455937841,3.555470134933265,0.99989707649584,0.1409335341609642,0.489396914729908,0.6809916288388624,0.0734412634926775,0.1548769888357487,0.8582528255495451,0.3831416694066021,4.660978600004479,579.880615234375,570.1285479371417,286.76023990594393,1.0018879174209832,4.093794041964385e-05,0.1522457383200831,1.1469512282464702,0.9172100933431896,0.1761026258330966,0.1395625087945896,0.5118646145267007,0.9770541787147522,0.181354247033596,0.0,3.372862355349815,23.474770464309277,444.51499427508
phi-tiny,csqa,9,0.2903225806451613,0.11894273127753296,279.146844340952,1.2607973428602774,0.1935483870967742,2.9383166006008845,7.363913232239419,8.153216078084185,4.102412145582426,0.1197147975682626,0.8211386024671241,0.834899330766449,0.4456839302406371,0.968423991052954,0.9884172128322768,4.552450215982473,2.6096171241529733,0.7650849490039765,0.1411716218985904,0.4916760295165747,0.6844971446704247,0.1089404267605995,0.1831475070492348,0.8575036477886391,0.3821010610339842,257.10227632639743,579.880615234375,570.1285479371417,286.1786317700348,1.4280726636266434,4.085312455938901e-05,0.151943994120044,1.1442250220800392,0.8802847439983065,0.1788726985259294,0.1651314890697098,0.554317771349206,0.9779878854751588,0.1001427546143531,0.0,3.5819366027231085,23.222533542815956,442.0584056932632
