Model,Task,Layer,Relative_Depth,Accuracy_Drop,M1_MSE_next,M1_MSE_prev,M1_MSE_start,M1_MSE_end,M1_MSE_mean,M1_MSE_local_mean,M1_MSE_local_global_ratio,M2_Cosine_next,M2_Cosine_prev,M2_Cosine_start,M2_Cosine_end,M2_Cosine_mean,M2_Cosine_local_mean,M2_Cosine_local_global_ratio,M3_Residual_next,M3_Residual_prev,M3_Residual_start,M3_Residual_end,M3_Residual_mean,M3_Residual_local_mean,M3_Residual_local_global_ratio,M4_CKA_next,M4_CKA_prev,M4_CKA_start,M4_CKA_end,M4_CKA_mean,M4_CKA_local_mean,M4_CKA_local_global_ratio,M5_L1_next,M5_L1_prev,M5_L1_start,M5_L1_end,M5_L1_mean,M5_L1_local_mean,M5_L1_local_global_ratio,M6_L_Inf_next,M6_L_Inf_prev,M6_L_Inf_start,M6_L_Inf_end,M6_L_Inf_mean,M6_L_Inf_local_mean,M6_L_Inf_local_global_ratio,M7_Var_Ratio_next,M7_Var_Ratio_prev,M7_Var_Ratio_start,M7_Var_Ratio_end,M7_Var_Ratio_mean,M7_Var_Ratio_local_mean,M7_Var_Ratio_local_global_ratio,M8_Pearson_next,M8_Pearson_prev,M8_Pearson_start,M8_Pearson_end,M8_Pearson_mean,M8_Pearson_local_mean,M8_Pearson_local_global_ratio,M10_Router_Router_Norm_Var,M10_Router_Router_Norm_Min,M10_Router_Router_Norm_Max,M10_Router_Router_Norm_Mean,M11_SVD_Ent,M12_KL_Noise,M13_LogitLens_Logit_Lens_KL,M13_LogitLens_Top1_Match_Rate,M14_Spectral_Norm,M15_Frobenius_Norm,M16_Effective_Rank,M17_Var_Shift,M18_Outlier_IoU,M19_Attn_MLP_Ratio,M13_LogitLens,F1_Rank_Normalized_Residual,F2_Depth_Penalized_Cosine,F3_NonLinear_Depth,M11_SVD_Ent_delta1,M11_SVD_Ent_delta2,M11_SVD_Ent_rel_change,M12_KL_Noise_delta1,M12_KL_Noise_delta2,M12_KL_Noise_rel_change,M13_LogitLens_delta1,M13_LogitLens_delta2,M13_LogitLens_rel_change,M14_Spectral_Norm_delta1,M14_Spectral_Norm_delta2,M14_Spectral_Norm_rel_change,M15_Frobenius_Norm_delta1,M15_Frobenius_Norm_delta2,M15_Frobenius_Norm_rel_change,M16_Effective_Rank_delta1,M16_Effective_Rank_delta2,M16_Effective_Rank_rel_change,M17_Var_Shift_delta1,M17_Var_Shift_delta2,M17_Var_Shift_rel_change,M18_Outlier_IoU_delta1,M18_Outlier_IoU_delta2,M18_Outlier_IoU_rel_change,M19_Attn_MLP_Ratio_delta1,M19_Attn_MLP_Ratio_delta2,M19_Attn_MLP_Ratio_rel_change,F1_Rank_Normalized_Residual_delta1,F1_Rank_Normalized_Residual_delta2,F1_Rank_Normalized_Residual_rel_change,F2_Depth_Penalized_Cosine_delta1,F2_Depth_Penalized_Cosine_delta2,F2_Depth_Penalized_Cosine_rel_change,M1_MSE_start_delta1,M2_Cosine_start_delta1,M3_Residual_start_delta1,M4_CKA_start_delta1,M5_L1_start_delta1,M6_L_Inf_start_delta1,M7_Var_Ratio_start_delta1,M8_Pearson_start_delta1
Qwen,csqa,0,0.0,1.0,0.0429329442334751,0.0,0.0,34.06804300194193,2.871944558185073,0.03495823310643897,0.01217232170956619,0.3026562318462119,0.0,0.0,0.9795194573623772,0.6625284754055216,0.24425985873022138,0.36867827939325337,1.49501485623462,0.0,0.0,257.46666705657185,24.708698205940717,1.1905923437102388,0.04818515057890825,0.0857905029249816,1.0,1.0,0.1516784575998929,0.26352767684730083,0.4852261976640211,1.8412722398942163,0.0166699448699569,0.0,0.0,3.917815448806288,0.35094185525439814,0.014242565515622732,0.04058383251184002,66.46083512489763,0.0,0.0,255.3481248860277,316.24302588152227,45.203056749931754,0.1429377189387372,39.53034591674805,1.0,1.0,29443.558177851148,2481.0152421105668,33.077057621044894,0.013332065462400525,0.6974731269769254,1.0,1.0,0.0204501588278534,0.33764590211026874,0.7558312803677708,2.2385323601007254,0.013074142858386,1.1033276319503784,1.696620225906372,1.3779956102371216,0.9341944456100464,8.03125,9.796875,0.0,8.30281737115648,36.47969060473972,982.9563407897948,5.179200483322144,0.2126667295694351,0.8932214024198629,0.0,0.2619309282727341,9.795194573623771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen,csqa,1,0.043478260869565216,0.9917127071823205,0.012661160192209,0.0429329442334751,0.0429329442334751,34.08176079077568,2.8866356070486137,0.01865108818169315,0.006461185516346283,0.1539059383863313,0.3026562318462119,0.3026562318462119,0.95894342501946,0.5663548170224314,0.17716112821976931,0.3128094307352614,0.7634310343048789,0.721684024628804,0.721684024628804,196.76286967009625,17.05443871137006,0.6725707694485381,0.03943669919554161,0.8258752554874749,0.0857905023025743,0.0857905023025743,0.1326438460581425,0.8096825895119594,0.670375635909995,0.8279486847878488,0.0182879034713533,0.0166699448699569,0.0166699448699569,3.91730210080096,0.34911642416338134,0.015627665033702776,0.04476347690140691,36.393568284193286,66.46083512489763,66.46083512489763,255.34256562553983,305.82718093532566,36.70868364813677,0.12003080803919666,1.4877132872496346,0.0256434835578993,0.0256434835578993,755.4344110762263,63.633045093845546,1.0476841653043514,0.016464466909335708,0.8461224627631497,0.6974731269769254,0.6974731269769254,0.0410471034467366,0.43366572296172134,0.8228877270128959,1.8975161778880414,0.0046566403470933,1.030498743057251,1.383183836936951,1.1515889167785645,0.9514470100402832,6.859375,9.5390625,0.0,6.435077879163954,40.526531828774345,1130.837432437473,76.99474942016602,0.5274065045118332,0.1238702178000245,0.0,0.17399748527247155,6.683545083468963,0.20851441405707477,0.017252564430236816,0.0,0.0184678516462069,-1.171875,0.0,-0.14591439688715957,0.0,0.0,0.0,-1.867739491992527,0.0,-0.22495249606247492,4.0468412240346225,0.0,0.11093408844615649,147.8810916476781,0.0,0.1504452288581375,71.81554893684387,0.0,13.866145782172646,0.31473977494239813,0.0,1.4799671560268033,-0.7693511846198384,0.0,-0.8613219326536035,-0.08793344300026257,0.0,-0.33571233294260827,-3.111649490154808,0.0,-0.31767102396656544,0.0429329442334751,0.3026562318462119,0.721684024628804,-0.9142094976974257,0.0166699448699569,66.46083512489763,-0.9743565164421008,-0.30252687302307457
Qwen,csqa,2,0.08695652173913043,0.16022099447513824,0.0013106641377551,0.012661160192209,0.0619417550858418,34.119224548339844,2.9032681342997915,0.01559025485790882,0.005369898380501796,0.1337453607747439,0.1539059383863313,0.4301233443444523,0.9506139701795226,0.5300097688417266,0.18573401393117128,0.3504350759168757,0.6343557491446986,0.5340550053227056,0.8284608215020388,148.7712038807162,12.72668882390449,0.5895633331973664,0.04632495862110394,0.9950246899758666,0.8258752497759733,0.3698880869428414,0.1046072059264444,0.836428082719193,0.8375312624018667,1.0013189163589156,0.0201577691789975,0.0182879034713533,0.0260577516769113,3.9168778336702266,0.34767432363596806,0.01886532196315898,0.05426147583061214,7.586762899262899,36.393568284193286,69.14833512489763,255.3353615900613,301.68416240961864,23.82006168099918,0.07895695117259084,1.1273666547030137,0.672387214199038,0.0172158088344381,507.20426499775255,42.718400787883155,0.7871377488839256,0.018426198882631552,0.8662816090822024,0.8461224627631497,0.570020714126387,0.0493257124431547,0.46999314387598173,0.8143097020484305,1.7325991047450369,0.0030287315603345,0.910533368587494,1.163438320159912,1.0449330806732178,0.959544837474823,6.5,9.984375,0.0,5.081106414397557,37.49532796608077,1253.669116973877,1.82091153550148,0.6900722153186798,0.5939050212108913,0.0,0.11866863572515325,5.084679375378842,0.29488391230979427,0.008097827434539795,-0.009154736995697021,0.008511065092523529,-0.359375,0.8125,-0.05239179954441908,0.0,0.0,0.0,-1.3539714647663965,0.5137680272261305,-0.21040482962147222,-3.031203862693573,-7.078045086728196,-0.07479554074601025,122.83168453640405,-25.049407111274036,0.10862010843737768,-75.17383788466454,-146.9893868215084,-0.9763501855748029,0.16266571080684655,-0.15207406413555158,0.30842568192709297,0.4700348034108668,1.2393859880307052,3.7945747715539566,-0.0553288495473183,0.03260459345294427,-0.31798648963619236,-1.5988657080901207,1.5127837820646874,-0.23922419735669098,0.0190088108523667,0.12746711249824044,0.10677679687323482,0.28409758464026713,0.009387806806954398,2.6875,-0.0084276747234612,-0.12745241285053843
Qwen,csqa,3,0.13043478260869565,0.824585635359116,0.0009205975857914,0.0013106641377551,0.0697488156494354,34.12296554165527,2.903744567959451,0.00510556864795132,0.0017582705801774039,0.1050013519036389,0.1337453607747439,0.4932412515645336,0.948298737864383,0.4973970175655409,0.13935555034148508,0.28016965349606837,0.5360008252145422,0.4904733078827338,0.8674071943242466,115.88053867799351,9.8917945833684,0.520034027104491,0.05257226306804628,0.9996109490117316,0.9950246918797004,0.4346372457091482,0.1013390556264616,0.8139978623084536,0.9513015396276719,1.1686781778039987,0.0220493109535233,0.0201577691789975,0.0335543607220505,3.916296300294456,0.3464860915121961,0.021117567017149622,0.060947805621971086,1.6376177313677314,7.586762899262899,69.71083512489763,255.3053262446573,301.925620176673,12.868414721539722,0.042621141968565285,0.9923720848452936,0.8870653498865951,0.0152622203851373,449.6487282542886,37.86993965181433,0.8575051352491542,0.02264342491988704,0.8949944011799924,0.8662816090822024,0.50695287190335,0.0516647729049394,0.5026098603964688,0.8606568766460372,1.712375627200704,0.0051548951305449,0.9259790778160096,1.4045982360839844,1.0620548725128174,0.9580888152122498,5.265625,10.484375,0.0,5.032588647471534,36.96492003732257,1251.9501249525283,1.5134592287540436,0.7567543233633042,0.5529814227184989,0.0,0.0925600279722225,4.115258673751096,0.3611575592573076,-0.0014560222625732422,-0.009553849697113037,-0.0015174093025240865,-1.234375,-0.875,-0.18990384615384615,0.0,0.0,0.0,-0.0485177669260235,1.305453697840373,-0.009548661840371286,-0.5304079287582013,2.500795933935372,-0.014145973846075521,-1.7189920213486403,-124.5506765577527,-0.0013711688340045658,-0.3074523067474364,74.8663855779171,-0.1688452737835855,0.06668210804462438,-0.09598360276222218,0.0966306229469478,-0.040923598492392355,-0.5109584019032591,-0.0689059648105933,-0.02610860775293075,0.02922024179438755,-0.2200127067559834,-0.9694207016277465,0.6294450064623742,-0.19065522721489558,0.0078070605635936,0.06311790722008126,0.03894637282220781,0.06474915876630677,0.007496609045139203,0.5625,-0.0019535884493008006,-0.06306784222303696
Qwen,csqa,4,0.17391304347826086,0.5345303867403315,0.002857250325461,0.0009205975857914,0.0691991363523145,34.110407273950976,2.8975954271645143,0.3888722725515959,0.13420516500397972,0.1238641546555565,0.1050013519036389,0.5253890486011537,0.9447094248630638,0.47659239725563435,0.1402848734219088,0.29434979226559727,0.5867845844187568,0.4412297627215108,0.8900473076822717,97.56550737485644,8.294873124460908,0.5500731940986092,0.06631484120114786,0.9949434290744552,0.999610941933375,0.4201856422482896,0.1044882001426989,0.8182434197318204,0.9843511879395306,1.203005319687321,0.0281337552370593,0.0220493109535233,0.0406613015675769,3.915461602706972,0.3454826113996367,0.02859397569212092,0.08276531051306531,9.5111076986077,1.6376177313677314,69.4609375,255.3196575592816,301.558428361056,81.63478194103195,0.2707096677232311,0.8175433981526006,1.0077455422606847,0.0153878636728365,453.2734572951858,38.18128528985766,5.714872426219303,0.1496773192071589,0.8761393205246703,0.8949944011799924,0.4748470965318266,0.0552449223450419,0.5234048537759467,0.8597225439050566,1.6425574506241007,0.0033047280739992,0.8673591017723083,1.179091453552246,1.0060703754425049,0.9585782289505004,2.71875,10.8671875,0.0,5.017275124788284,37.23411563038826,1258.0870679219563,1.394894624710083,0.7641163129806519,0.4891644303619356,0.0,0.0775506797462432,3.448939170134995,0.41702882811414954,0.0004894137382506214,0.0019454360008238636,0.0005108229325714309,-2.546875,-1.3125,-0.483679525222552,0.0,0.0,0.0,-0.01531352268324948,0.03320424424277402,-0.0030428719205857213,0.26919559306568885,0.7996035218238902,0.007282461122434247,6.136942969427992,7.855934990776632,0.004901906910756981,-0.11856460404396052,0.18888770270347588,-0.07834013747537083,0.007361989617347686,-0.05932011842727669,0.009728374705053833,-0.06381699235656335,-0.022893393864170997,-0.11540530971697771,-0.015009348225979297,0.011099259526951455,-0.16215799146564258,-0.6663195036161005,0.30310119801164603,-0.16191436710070628,-0.0005496792971208947,0.032147797036620074,0.02264011335802507,-0.014451603460858609,0.007106940845526398,-0.24989762489762768,0.00012564328769919947,-0.032105775371523426
Qwen,csqa,5,0.21739130434782608,0.2030386740331492,1.901380690758976,0.002857250325461,0.0562762234582703,34.08431567255344,2.871606132041949,0.7639710696500686,0.26604312508581357,0.1772597651321511,0.1238641546555565,0.5523672468783326,0.9471683433854512,0.4600602336479094,0.15328919847513398,0.33319375797051526,0.8105607872903591,0.4763815728589026,0.9078580068331288,80.19098195318898,6.824721960022887,0.5924009067713482,0.08680220383403858,0.9282247019683016,0.9949434237046676,0.3723899153511998,0.11457241595365,0.8258183729375168,0.9687050083687225,1.1730242858970548,0.0546721402406204,0.0281337552370593,0.0497362763177752,3.914682196360158,0.3450543776606068,0.037599071725458476,0.10896564150672804,390.5614570536446,9.5111076986077,62.71103987510237,255.29539865904613,300.9545145995494,160.45427671990174,0.5331512535469666,30.569324457479443,1.225217292388866,0.0189095398931352,556.6626512182237,46.9197536336357,12.949226610422329,0.2759866710140468,0.8227566980515026,0.8761393205246703,0.4478572618756306,0.0528275781325587,0.5399489542845674,0.8467151287439709,1.5681392110439953,0.0032328895758837,0.834808349609375,1.1210681200027466,0.9684816002845764,0.9653748869895936,1.4794921875,10.94921875,0.0,4.988636533419292,37.937043799294365,1256.4774640401204,1.5431497135162353,0.7355064624547958,0.3743377587067427,0.0,0.06382206142521499,2.9842290271048464,0.4662524041201569,0.00679665803909324,0.006307244300842618,0.0070903530184851515,-1.2392578125,1.3076171875,-0.4558189655172413,0.0,0.0,0.0,-0.02863859136899194,-0.013325068685742458,-0.0057079970016993276,0.7029281689061051,0.43373257584041625,0.018878605198626497,-1.6096038818359375,-7.746546851263929,-0.0012794057922355107,0.14825508880615224,0.26681969285011276,0.10628407779330695,-0.028609850525856073,-0.03597184014320376,-0.03744174812111423,-0.11482667165519289,-0.05100967929862954,-0.23474043599251881,-0.013728618321028216,0.0012807299049510806,-0.17702769809304308,-0.4647101430301488,0.2016093605859517,-0.1347400229769664,-0.012922912894044208,0.026978198277178955,0.01781069915085709,-0.047795726897089774,0.009074974750198299,-6.749897624897628,0.0035216762202987008,-0.026989834656196032
Qwen,csqa,6,0.2608695652173913,0.9475138121546962,0.0025563707369639,1.901380690758976,1.8756124498803144,36.28584333290144,2.2049962293773455,0.7695817754089445,0.3490172748627531,0.1208182224282273,0.1772597651321511,0.6278008172299215,0.9371433562670058,0.43202922499524804,0.15057354031968173,0.34852628308376965,0.534595188159224,0.5741415856608986,0.9345200268290844,65.20811523949875,5.459516312148999,0.5171703314703083,0.09472823265034064,0.9999990776169017,0.9282246923026836,0.2814236854452466,0.1098754541745545,0.8760239727179328,0.9717109694869472,1.1092287410387975,0.0386506572463393,0.0546721402406204,0.0766050108722933,3.9190969664380746,0.3410428267047561,0.04235264903375302,0.12418571977833262,0.8531319932992296,390.5614570536446,399.51557831135466,481.4641687141687,162.75181312467308,156.88122350144445,0.9639291906401345,1.004823301289533,0.0334872012144834,0.0006204975819837,18.302964922837017,1.539370015775266,0.6181394234674935,0.4015535035315269,0.8792016493991005,0.8227566980515026,0.3723343496533518,0.0628380853252563,0.5680114773595097,0.8494457538844522,1.4954728667416386,0.0020786675158888,0.745216429233551,0.9910593628883362,0.8586663603782654,0.965808928012848,1.15625,11.34765625,0.0,5.348852879471249,37.59875124692917,1268.620780520969,2.54562012386322,0.6919006172418595,0.2787542936177694,0.0,0.05140079383006775,2.596903276402546,0.5107539184552492,0.00043404102325439453,-0.006362617015838845,0.00044960877800326315,-0.3232421875,0.916015625,-0.21848184818481853,0.0,0.0,0.0,0.3602163460519563,0.38885493742094823,0.07220737442762903,-0.3382925523651963,-1.0412207212713014,-0.008917209104508217,12.143316480848625,13.752920362684563,0.00966457165240553,1.0024704103469848,0.8542153215408326,0.6496261519971036,-0.04360584521293631,-0.014995994687080239,-0.05928682810943531,-0.09558346508897331,0.019243206566219584,-0.25534016504024026,-0.012421267595147237,0.0013073507258809791,-0.19462341575572817,-0.38732575070230046,0.07738439232784833,-0.12979089311991077,1.819336226422044,0.07543357035158893,0.026662019995955633,-0.09096622990595321,0.026868734554518096,336.8045384362523,-0.018289042311151502,-0.07552291222227875
Qwen,csqa,7,0.30434782608695654,0.11602209944751388,0.0031288136334526,0.0025563707369639,1.884641646167277,36.27621319994977,2.2056282826460656,0.3845853178248947,0.17436542715581563,0.1115757568169577,0.1208182224282273,0.6630142235687577,0.9312738785115936,0.428766685515874,0.1341750543982547,0.31293255427223404,0.5297943911134562,0.4640501039034025,0.947638797965038,57.1084945016372,4.780307732947596,0.4821695741720614,0.10086580216330215,0.999998883669929,0.9999990956789152,0.2816974564129754,0.1100399353092171,0.8760496272217079,0.9856634683437175,1.1251228658637922,0.0426363667456416,0.0386506572463393,0.0861948806118223,3.917925202778184,0.3413192872224981,0.041821966968922195,0.1225303357062535,1.377060298935299,0.8531319932992296,400.01557831135466,481.9641687141687,162.74277434373795,78.92822972952979,0.48498761341217006,1.0067785843584405,0.9951998813536984,0.0006175146511215,18.214842034792134,1.5319682909172216,0.8093344069831225,0.528297100699297,0.8884288268339233,0.8792016493991005,0.3370930781918994,0.0687127742553274,0.571257057227118,0.8658347920937972,1.5156658103812213,0.0019394061528146,0.788288414478302,1.0201741456985474,0.8905830979347229,0.9599653482437134,1.025390625,11.73046875,0.0,4.575118432442348,36.52962440583441,1258.3347379896377,1.352519822359085,0.7248007725477219,0.5191412860234702,0.0,0.045384183343369876,2.3031504522329733,0.5516772843673705,-0.0058435797691346325,-0.006277620792389027,-0.006050451181019656,-0.130859375,0.1923828125,-0.11317567567567566,0.0,0.0,0.0,-0.7737344470289003,-1.1339507930808566,-0.144654277181276,-1.0691268410947572,-0.7308342887295609,-0.02843516887231934,-10.286042531331304,-22.42935901217993,-0.00810805142818749,-1.193100301504135,-2.19557071185112,-0.46868748809759253,0.03290015530586243,0.07650600051879874,0.0475504060641152,0.24038699240570083,0.33597045749467414,0.8623615775953637,-0.006016610486697875,0.006404657108449362,-0.11705287094570815,-0.2937528241695726,0.09357292653272786,-0.11311658267708158,0.009029196286962637,0.035213406338836184,0.01311877113595361,0.0002737709677287925,0.009589869739529008,0.5,-2.9829308621999364e-06,-0.03524127146145245
Qwen,csqa,8,0.34782608695652173,0.34806629834254144,0.0033449698188079,0.0031288136334526,1.897303422975501,36.2711076447458,2.2064244912709587,0.00394075406478054,0.0017860362222160274,0.099245560794068,0.1115757568169577,0.6792804954434691,0.9284616151304396,0.4178299850244212,0.11608572367465855,0.27783004465331407,0.4680296899743201,0.4479413258062826,0.9556245961509504,48.46034364130144,4.061431381215806,0.4447182797096871,0.10949791781710735,0.9999991936043184,0.9999989224300336,0.2821156599304892,0.110150715716055,0.8759985874474879,0.9999986257150855,1.1415527820511218,0.0448546807459394,0.0426363667456416,0.0971027509256721,3.916801607677138,0.3420742870901627,0.0421416576002876,0.12319446116680964,0.6423071908911753,1.377060298935299,400.51557831135466,482.4641687141687,162.7882887173506,1.1456547767582923,0.007037697771615841,1.0045579411180952,0.9932671096069124,0.0006133511483808,18.09183298653017,1.5216362554190896,0.9995826622192044,0.656913015842269,0.9007753847955584,0.8884288268339233,0.3207872199729072,0.071542605904162,0.5821940443465049,0.8839355160621812,1.5182833337570272,0.0019137696363031,0.7624563574790955,1.0204107761383057,0.8776020407676697,0.9631285071372986,0.9814453125,11.4140625,0.0,4.672923266887665,37.05200103256438,1248.0675290425618,1.313596020936966,0.7629478695392609,0.6460592653639969,0.0,0.038828302535559786,2.0732638007767097,0.5897678246195885,0.003163158893585205,0.009006738662719838,0.0032950761184997734,-0.0439453125,0.0869140625,-0.042857142857142816,0.0,0.0,0.0,0.0978048344453164,0.8715392814742167,0.02137755249170792,0.5223766267299652,1.5915034678247224,0.014300082062889574,-10.267208947075915,0.018833584255389724,-0.008159362240510948,-0.03892380142211915,1.1541765000820159,-0.02877872899062406,0.038147096991538954,0.0052469416856765205,0.05263114836018934,0.12691797934052673,-0.1134690130651741,0.24447675952089232,-0.00655588080781009,-0.0005392703211122146,-0.14445298614738278,-0.22988665145626364,0.06386617271330897,-0.09981399662075119,0.012661776808224001,0.016266271874711413,0.007985798185912385,0.00041820351751381546,0.010907870313849793,0.5,-4.163502740700043e-06,-0.016305858218992164
Qwen,csqa,9,0.391304347826087,0.5704419889502762,0.0048391663699725,0.0033449698188079,1.905786089092664,36.26173961367596,2.205979954830451,0.004817847067331541,0.0021839940361189007,0.1066939411448417,0.099245560794068,0.6867113181746074,0.9229643635824016,0.4117302808645169,0.11230090170195609,0.2727535637976455,0.5185905975899083,0.4214247744850796,0.959410468688468,43.79246420083136,3.677198679572103,0.44775318652757556,0.12176475230811123,0.999998516132361,0.9999992026841416,0.2823760533655012,0.1102777991465229,0.8759669654578307,0.9999983674282914,1.1415936967029814,0.0532384585897323,0.0448546807459394,0.1043553329107216,3.915707716289648,0.3423316782633304,0.04661090870820332,0.13615715848590512,1.4855763078419328,0.6423071908911753,401.01557831135466,482.9641687141687,162.9274200222839,1.064044204449478,0.00653078655696761,1.0069990192252432,0.9954627833339056,0.0006105637189838,18.009424033856217,1.514717193488116,1.000709152856291,0.6606574194164812,0.8933217619697545,0.9007753847955584,0.3135101312159711,0.0770309413070077,0.5882879191866679,0.887713678375216,1.5089782535285412,0.0018764906562864,0.7851310968399048,1.0415817499160769,0.896973729133606,0.95899498462677,0.486328125,11.26171875,0.0,4.352019011974335,36.5764644742012,1220.299024793837,1.194861609697342,0.7721244058609009,0.634695806919891,0.0,0.035886666526135425,1.8786000320703748,0.6255432421712243,-0.0041335225105285645,-0.0072966814041137695,-0.004291766342598091,-0.4951171875,-0.451171875,-0.5044776119402985,0.0,0.0,0.0,-0.3209042549133301,-0.4187090893586465,-0.06867312741624876,-0.4755365583631743,-0.9979131850931395,-0.012834301660124448,-27.768504248724867,-17.501295301648952,-0.02224920014546572,-0.11873441123962403,-0.07981060981750487,-0.0903888329038427,0.00917653632164006,-0.028970560669898893,0.012027737002767491,-0.011363458444105912,-0.13828143778463264,-0.017588879307695704,-0.0029416360094243615,0.003614244798385728,-0.07576009810705342,-0.19466376870633484,0.0352228827499288,-0.0938924263441091,0.008482666117162863,0.007430822731138265,0.0037858725375176094,0.0002603934350119963,0.007252581985049508,0.5,-2.787429397000025e-06,-0.007277088756936112
