,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,0.0,66.4609375,69.1484375,69.7109375,69.4609375,62.7109375,399.6860361328125,400.1860361328125,400.6860361328125,401.1860361328125,401.6860361328125,401.9360361328125,401.9360361328125,412.6860361328125,412.9360361328125,412.9360361328125,421.6860361328125,444.6855361328125,444.9355361328125,443.9355361328125,441.9355361328125,389.1195361328125,367.9320361328125,255.19856591796875
Layer_1,66.4609375,0.0,36.343390625,43.973140625,42.370515625,33.004828125,391.770875,392.270875,392.770875,393.270875,393.770875,394.020875,394.020875,404.770875,405.020875,405.020875,413.770875,436.770375,437.020375,436.020375,434.020375,381.204375,360.016875,255.19300604248048
Layer_2,69.1484375,36.343390625,0.0,7.62975,6.049359375,7.4963642578125,391.5911875,392.0911875,392.5911875,393.0911875,393.5911875,393.8411875,393.8411875,404.5911875,404.8411875,404.8411875,413.5911875,436.5906875,436.8406875,435.8406875,433.8406875,381.0246875,359.8371875,255.1860203552246
Layer_3,69.7109375,43.973140625,7.62975,0.0,1.74753125,11.296125,391.44275,391.94275,392.44275,392.94275,393.44275,393.69275,393.69275,404.44275,404.69275,404.69275,413.44275,436.44225,436.69225,435.69225,433.69225,380.87625,359.68875,255.15597009277343
Layer_4,69.4609375,42.370515625,6.049359375,1.74753125,0.0,9.6053125,391.224,391.724,392.224,392.724,393.224,393.474,393.474,404.224,404.474,404.474,413.224,436.2235,436.4735,435.4735,433.4735,380.6575,359.47,255.17056048583984
Layer_5,62.7109375,33.004828125,7.4963642578125,11.296125,9.6053125,0.0,390.73196875,391.23196875,391.73196875,392.23196875,392.73196875,392.98196875,392.98196875,403.73196875,403.98196875,403.98196875,412.73196875,435.73146875,435.98146875,434.98146875,432.98146875,380.16546875,358.97796875,255.14624353027344
Layer_6,399.6860361328125,391.770875,391.5911875,391.44275,391.224,390.73196875,0.0,0.8649365234375,1.938375,2.003609375,3.1807314453125,3.5769970703125,4.129721435546875,13.0,13.25,13.25,22.0,154.9855,159.6981875,160.37015625,161.88578125,177.416828125,179.248296875,479.8335
Layer_7,400.1860361328125,392.270875,392.0911875,391.94275,391.724,391.23196875,0.8649365234375,0.0,1.3811337890625,1.36323486328125,2.787216796875,3.141056640625,3.7395342407226564,12.5,12.75,12.75,21.5,155.1105,159.8231875,160.49515625,162.01078125,177.541828125,179.373296875,480.3335
Layer_8,400.6860361328125,392.770875,392.5911875,392.44275,392.224,391.73196875,1.938375,1.3811337890625,0.0,0.6434288330078125,1.86144140625,1.977060546875,2.9890751953125,12.0,12.25,12.25,21.0,155.4855,160.1981875,160.87015625,162.38578125,177.916828125,179.748296875,480.8335
Layer_9,401.1860361328125,393.270875,393.0911875,392.94275,392.724,392.23196875,2.003609375,1.36323486328125,0.6434288330078125,0.0,1.54787109375,1.89098046875,2.784529296875,11.5,11.75,11.75,20.5,155.8605,160.5731875,161.24515625,162.76078125,178.291828125,180.123296875,481.3335
