Layer,Avg_Router_Entropy
MoE_Layer_0,4.088822212219238
MoE_Layer_1,4.0942792892456055
MoE_Layer_2,4.093829643249512
MoE_Layer_3,4.089119841575623
MoE_Layer_4,4.093681990623474
MoE_Layer_5,4.092794282913208
MoE_Layer_6,4.092820020675659
MoE_Layer_7,4.093725631713867
MoE_Layer_8,4.094279911994934
MoE_Layer_9,4.094263666152954
MoE_Layer_10,4.0942722511291505
MoE_Layer_11,4.0942535400390625
MoE_Layer_12,4.094257529258728
MoE_Layer_13,4.087811002731323
MoE_Layer_14,4.094215376853943
MoE_Layer_15,4.094166632652283
MoE_Layer_16,4.086244579315186
MoE_Layer_17,4.085571871757507
MoE_Layer_18,4.094130529403687
MoE_Layer_19,4.094224143981934
MoE_Layer_20,4.094180141448975
MoE_Layer_21,4.094259202003479
MoE_Layer_22,4.0942655963897705
MoE_Layer_23,4.091250144004822
