,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.003125389570283005,0.003762995522469282,5.068953852653504,5.107354814052582,6.308394742488861,6.22626394367218,6.2296215410232545,6.3002086992263795,6.329037078380585,12.166230090141296,12.188880666732787,12.32079135131836,12.455018904685975,12.476404938697815,12.640696084022522,12.65446679019928,14.157590023994446,14.365964979171753,14.453857527732849,14.72561217021942,14.847133605003357,14.967614288330077,15.06984107017517,15.403533958435059,15.588667598724365,15.668316116333008,9.124712047576905,3.107863130569458,3.819331896781921,3.7879383339881896,1.089556391596794
Layer_1,0.003125389570283005,0.0,0.00024637871884624474,5.063649410247803,5.102169221878052,6.301362570285797,6.219385179042816,6.2227626490592955,6.2934504976272585,6.322323799133301,12.157535201072692,12.180202520370484,12.312084465026855,12.446357918739318,12.467750694274903,12.631890966415405,12.645784928321838,14.147544090270996,14.35586126613617,14.443888208389282,14.715528027534486,14.837065150260925,14.957423765182496,15.059874583244325,15.393491578102111,15.578885681152343,15.65874484539032,9.120280651569367,3.1077861523628236,3.8190045280456544,3.792487612724304,1.0930880538225174
Layer_2,0.003762995522469282,0.00024637871884624474,0.0,5.061527722835541,5.099895656108856,6.298778995513916,6.216804412841797,6.220181845664978,6.290845415592194,6.319661517143249,12.155042757987976,12.177545126914978,12.309320224761963,12.44351764011383,12.464743936538696,12.628817703247071,12.642615478515625,14.14404421710968,14.352293665885925,14.440166498184205,14.711730434417724,14.83307532119751,14.953368608474731,15.055686792373658,15.389037685394287,15.574308647155762,15.65404551410675,9.116796004772187,3.10494269323349,3.815806597709656,3.7899084978103637,1.0923837232589722
Layer_3,5.068953852653504,5.063649410247803,5.061527722835541,0.0,0.0016238680148962885,0.2043760831952095,0.19390246807038783,0.20149286034703254,0.25596786123514176,0.28509764552116396,6.117039710283279,6.140045233607292,6.280582796275616,6.3799112679362295,6.400949284911156,6.529118961453438,6.542708982110024,8.002736248731614,8.169293390512467,8.257141686081887,8.494929201841355,8.617373998880387,8.756839131355285,8.857935697078705,9.18838369989395,9.375005383968354,9.491838545799256,9.45947030735016,6.557075673103332,7.049843069076538,8.429796607971191,5.994381447792053
Layer_4,5.107354814052582,5.102169221878052,5.099895656108856,0.0016238680148962885,0.0,0.19979622584581375,0.18916707389056683,0.19645324131846428,0.25033613727986814,0.27963133534789086,6.115003471046686,6.137567083418369,6.277834683895111,6.376799735307693,6.397172714054585,6.525031949400902,6.538330615103245,7.997805452108383,8.164169052958488,8.251304562687874,8.488874344348908,8.610660503864288,8.750219725608826,8.85084980726242,9.180119612455368,9.365849843025208,9.482473326206208,9.472878450393678,6.580195653915405,7.071959451675415,8.45505238056183,6.027985700607299
Layer_5,6.308394742488861,6.301362570285797,6.298778995513916,0.2043760831952095,0.19979622584581375,0.0,0.004573814433068037,0.012927445648238063,0.027650849997997284,0.06476228171586991,5.855119024217129,5.875039598912001,6.007679145395755,6.109292369067669,6.131833534061909,6.246992668420076,6.2638701783418655,7.517880188167095,7.674781465530396,7.768022101759911,7.991143424630165,8.117418932914735,8.244840736985207,8.347639982938766,8.679078209638595,8.87144375038147,8.995949748039246,9.636109607696532,7.296533222198486,7.841717672348023,9.504216153144837,7.185620144844055
Layer_6,6.22626394367218,6.219385179042816,6.216804412841797,0.19390246807038783,0.18916707389056683,0.004573814433068037,0.0,0.007559400653466582,0.021685820057988168,0.058284396585077045,5.856258598327637,5.875845441624522,6.008165704369545,6.108937092438341,6.130849195331335,6.245842256993055,6.262094371527433,7.522225416719913,7.678516556501388,7.770263642311096,7.992732073664666,8.117902664661408,8.244757666110992,8.346381046533585,8.676468526363372,8.867728459358215,8.990574771881104,9.584763902664184,7.21534247303009,7.761802060127258,9.40837917804718,7.097621463775635
Layer_7,6.2296215410232545,6.2227626490592955,6.220181845664978,0.20149286034703254,0.19645324131846428,0.012927445648238063,0.007559400653466582,0.0,0.012705742729827761,0.04909508464112878,5.853338545054197,5.8730466652363535,6.005492637649178,6.1060248039215805,6.12784592089057,6.24240448653698,6.257993379771709,7.520994663536548,7.676755817532539,7.768138298273087,7.990117629528045,8.115188085198403,8.241486530423165,8.34292605996132,8.672435826778411,8.863704602241516,8.986311970710755,9.579201559066773,7.204353235244751,7.751042339324951,9.392097316741943,7.089970643043518
Layer_8,6.3002086992263795,6.2934504976272585,6.290845415592194,0.25596786123514176,0.25033613727986814,0.027650849997997284,0.021685820057988168,0.012705742729827761,0.0,0.03572860314045102,5.845295050092042,5.864234311729669,5.9943526943325995,6.0937900792062285,6.114745045021176,6.226789475724101,6.241644817143679,7.471375759720802,7.624189290046692,7.7143670583963395,7.933528835773468,8.057890048027039,8.18133955693245,8.281627455234528,8.608335163116456,8.799923438549042,8.921625028848648,9.522819257736206,7.182414956092835,7.74050297164917,9.401762379646302,7.137371314048767
Layer_9,6.329037078380585,6.322323799133301,6.319661517143249,0.28509764552116396,0.27963133534789086,0.06476228171586991,0.058284396585077045,0.04909508464112878,0.03572860314045102,0.0,5.69873114964366,5.7159905684068795,5.843453631334007,5.940381475150585,5.959102667033672,6.070377291351557,6.08403344848752,7.304100509345531,7.455215209007263,7.5410490312576295,7.757748545885086,7.878228517770768,7.9998539408445355,8.098758536577225,8.417709628343582,8.607128618478775,8.728578981876373,9.343063179969787,7.094994416236878,7.642452045440674,9.310612396240234,7.132556309700012
