,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.009753621650859714,0.015027658274397254,0.0476331761777401,0.06311983399093152,0.0977612780481577,0.1096734586507082,0.12697714065015317,0.1499452783167362,0.1898556821346283,0.27336447083950044,0.28643775591254234,0.30504532280564306,0.3197315472364426,0.33406076568365095,0.3489665363430977,0.3663813799023628,0.4245036138296127,0.4437522634267807,0.47684020894765855,0.5163901674747468,0.5489310685396195,0.5796998617649078,0.6402054222822189,0.6949906256198883,0.7492392514944076,0.8122537375688553,0.8817616212368011,0.9460386490821838,1.0584060728549958,1.1315986881256104,0.8230864073038101
Layer_1,0.009753621650859714,0.0,0.010117514207959175,0.04646077839285135,0.06268535754084587,0.09760282160341739,0.10969099152088166,0.1269953026175499,0.15009676718711853,0.19000358062982559,0.2735268076062202,0.2865982876420021,0.3052205629348755,0.3199144975244999,0.334217244297266,0.34906870752573016,0.36648122292757035,0.4245604476928711,0.4438124724626541,0.47694035768508913,0.5165214307308197,0.5490436266064644,0.5798067511320114,0.6403426146507263,0.6951147254705429,0.7493667839765549,0.8123626346588135,0.8818693354129791,0.9461548918485642,1.058443838238716,1.1317792046070099,0.8233661561012268
Layer_2,0.015027658274397254,0.010117514207959175,0.0,0.043131554063409565,0.06086406515538693,0.09659981086850167,0.10884715311229229,0.12627971878647803,0.1494859062731266,0.18938251566886902,0.27296082660555837,0.2860118843913078,0.3046519302725792,0.31936382672190666,0.333675018876791,0.34854705983400347,0.3659407958984375,0.42402815490961077,0.44336037820577623,0.47650655114650725,0.5161535793542862,0.5486338904500008,0.5794190064668655,0.6399819272756576,0.6947419098615646,0.7490433636903763,0.8119844073057174,0.8815449783802033,0.9458173454999924,1.0581097649335862,1.1314246213436128,0.82296679520607
Layer_3,0.0476331761777401,0.04646077839285135,0.043131554063409565,0.0,0.028302965480834247,0.06593322014063596,0.07931601786613464,0.09732271373271942,0.1209530217051506,0.1609968337714672,0.24464687365293503,0.25777198252081873,0.2764697757363319,0.2916740390658379,0.3060026587843895,0.32120522022247316,0.33856939363479616,0.3979442412853241,0.4182053492665291,0.45149585109949114,0.49171800643205643,0.5243601561188698,0.5588172063231468,0.6194388862848282,0.674258946299553,0.7285461354255677,0.792319504737854,0.887011346578598,0.9606768029928208,1.0712835640907288,1.1481259853839874,0.8431313436031341
Layer_4,0.06311983399093152,0.06268535754084587,0.06086406515538693,0.028302965480834247,0.0,0.061747032940387726,0.07577299223840236,0.09418068289756774,0.11773495264351368,0.15849745455384254,0.2422120212316513,0.2554961112737656,0.2741957098841667,0.289753732085228,0.30401098960638046,0.31936507719755175,0.33683869868516925,0.39606851458549497,0.41653837245702746,0.4498398596644402,0.4902233654856682,0.5229792951345443,0.5576374185681343,0.6182349747419358,0.6730515468120575,0.7274165956974029,0.7913270556926727,0.8863763625621796,0.9601859146356583,1.0705293056964875,1.1474688148498535,0.8422632019519806
Layer_5,0.0977612780481577,0.09760282160341739,0.09659981086850167,0.06593322014063596,0.061747032940387726,0.0,0.046704024970531464,0.07169949533045292,0.09794435313344002,0.14099066279828548,0.22477615082263946,0.23836137416958808,0.2575005262494087,0.2742911221385002,0.28935953217744825,0.3054979003369808,0.32378389877080915,0.3844238466024399,0.40512817043066024,0.4394831466078758,0.4808850586414337,0.5142608327269554,0.549254767715931,0.6101811499595642,0.6655464282035828,0.7206202447414398,0.7849057846069336,0.8828791352510452,0.9580091563463211,1.0693932542800904,1.1505054459571837,0.8528899301290512
Layer_6,0.1096734586507082,0.10969099152088166,0.10884715311229229,0.07931601786613464,0.07577299223840236,0.046704024970531464,0.0,0.05597196657210588,0.08778199923038482,0.132388151884079,0.217625559091568,0.23152214241027833,0.2511974345445633,0.26848874625563623,0.28373725894093516,0.30016847547888753,0.3187780257165432,0.3801990824341774,0.401072693169117,0.4349856848716736,0.47636403769254687,0.5097568022012711,0.544939087510109,0.6056937291622162,0.6611716287136078,0.7163250982761383,0.7804977189302444,0.8786970196962357,0.9543661043643952,1.0657782579660415,1.146996628522873,0.850467748761177
Layer_7,0.12697714065015317,0.1269953026175499,0.12627971878647803,0.09732271373271942,0.09418068289756774,0.07169949533045292,0.05597196657210588,0.0,0.0681571918874979,0.11774334040284157,0.20533010965585707,0.22019244728982448,0.24103929460048676,0.259197651296854,0.27413907316327096,0.29135982850193975,0.31056800973415377,0.37279952973127367,0.39372911721467974,0.42801257646083835,0.4698221202492714,0.5033271404504776,0.538514777123928,0.5993792263269424,0.6550917539596558,0.7107389079332351,0.7751058125495911,0.8733682546615601,0.9493990585803985,1.0611713035106658,1.1427493851184845,0.8484820121526718
Layer_8,0.1499452783167362,0.15009676718711853,0.1494859062731266,0.1209530217051506,0.11773495264351368,0.09794435313344002,0.08778199923038482,0.0681571918874979,0.0,0.08843621405214071,0.18177878206968306,0.19959579609334469,0.22146277689933777,0.24194754189252854,0.2579254131913185,0.27612282636761665,0.2960971694290638,0.35974376916885376,0.3811858124136925,0.41640753322839735,0.45872362118959426,0.49268873924016954,0.5282686220407486,0.5896366864442826,0.6456793512105942,0.7022694284915925,0.7670197294950485,0.8656466257572174,0.9431147791147232,1.0559623744487763,1.1386687903404236,0.8474780529737472
Layer_9,0.1898556821346283,0.19000358062982559,0.18938251566886902,0.1609968337714672,0.15849745455384254,0.14099066279828548,0.132388151884079,0.11774334040284157,0.08843621405214071,0.0,0.1533568824827671,0.17523854318261148,0.20006296600401402,0.22190753591060638,0.23946467021107673,0.2591949270367622,0.28040421366691587,0.34527247232198716,0.36704876631498334,0.40293479287624356,0.44550209444761274,0.4799615641236305,0.5158273906111718,0.5777894237041473,0.6341531152725219,0.6912546668052674,0.7564808279275894,0.8552651938199997,0.9320068273544312,1.0469122344255448,1.129607233285904,0.849957883477211
