,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.0012275336117934272,0.0016693330556192389,5.906188058423567,5.950336757006946,7.351850814842768,7.257162296215498,7.255534110354362,7.350805431189447,7.363913232239419,10.407546250376909,10.429149945576986,10.51949812446238,10.619033050771428,10.639671184311725,10.762961340380144,10.779472098010764,11.936016438536523,12.096593058177627,12.194332839034796,12.413272380438327,12.538984155772066,12.65729758389947,12.75924320049114,13.082598633496708,13.272937500115598,13.354532172306945,6.867050482736661,2.962314583452679,3.5533608181568366,3.642087632178479,1.1028970110914338
Layer_1,0.0012275336117934272,0.0,0.00024460009568089423,5.89911523419848,5.943239978256038,7.3436410757091375,7.249039822577649,7.247391977239885,7.342706079857941,7.355758580489788,10.398224394405405,10.419735752686822,10.509997442059591,10.609553344126708,10.63010395988883,10.753277564615036,10.76985030521827,11.925602439189914,12.08615627452841,12.183933836822135,12.402798936954783,12.528439738533713,12.646695232703781,12.748748839829029,13.071961677435672,13.262384952042163,13.34404132016656,6.861694026051927,2.9603481216571255,3.550956123291128,3.642933450498901,1.1038859687214695
Layer_2,0.0016693330556192389,0.00024460009568089423,0.0,5.896472918411242,5.940445671503316,7.34051049858893,7.245922858748252,7.244288777250623,7.339601189654738,7.352534783657802,10.394953336801615,10.416313803654827,10.506463373029554,10.605936854516356,10.62632502345742,10.749435027245124,10.765898662351566,11.921339301766185,12.08183984069137,12.179463024123782,12.398266152218655,12.52374234500232,12.641940353152988,12.743870808197572,13.066850345902127,13.25713942228625,13.338695544477957,6.857805309092579,2.9573332220682054,3.547593543023774,3.6401591414218064,1.1029862907458095
Layer_3,5.906188058423567,5.89911523419848,5.896472918411242,0.0,0.0016971220437591373,0.25752037345606416,0.24616887901866172,0.2567377802134048,0.33485924266431294,0.34839077406150215,3.387287614581821,3.4094141816184913,3.5099833279872508,3.569382765540132,3.589672282447979,3.671221233336873,3.6875013583122365,4.798706851124666,4.911005664662588,5.008613291185084,5.188542690851179,5.3152797124504945,5.455901690236279,5.556527435828388,5.876140237440349,6.068091498350726,6.193084116747494,7.296120737342928,7.012120165656962,7.34380832722107,9.072844974727147,6.824783635666681
Layer_4,5.950336757006946,5.943239978256038,5.940445671503316,0.0016971220437591373,0.0,0.2524583370750503,0.241030038232983,0.25140904013393944,0.3290725485234842,0.34259982311901355,3.3827740873448873,3.404564841617628,3.5048670889313938,3.563887053684169,3.583636439085788,3.664841329021399,3.6808343719352377,4.791016173304152,4.903110602563957,4.999997362360224,5.179636781182473,5.305731450603401,5.446484447111369,5.546731404941849,5.865101334699151,6.05625977602091,6.181090609154479,7.3110131080964855,7.039978604937654,7.37028879810805,9.103885850586137,6.863928559761766
Layer_5,7.351850814842768,7.3436410757091375,7.34051049858893,0.25752037345606416,0.2524583370750503,0.0,0.004318514271707172,0.01583062932673265,0.033256967865498116,0.056355471348269466,3.0452135451943487,3.0633624604156426,3.1520262425681493,3.2116547373964783,3.2335820510971263,3.2998545465778855,3.3200733943687513,4.161260445204843,4.261520237389595,4.365998989729292,4.526846291733803,4.658668476182061,4.783285903891611,4.88632290066509,5.207611978005231,5.407463055766088,5.5421013844784515,7.424244842013797,7.8288626639595,8.23375839605183,10.302285465034279,8.210142432813464
Layer_6,7.257162296215498,7.249039822577649,7.245922858748252,0.24616887901866172,0.241030038232983,0.004318514271707172,0.0,0.010095827652173487,0.026994196630947223,0.04920031456314912,3.0419676718130453,3.0598375830832905,3.148216769410439,3.2071106415684354,3.228502079643108,3.294487336966271,3.3140529875600073,4.160080748830635,4.25973324178673,4.362689974657538,4.522874115677177,4.65359328380869,4.777511015229299,4.879446419607314,5.1993052559148865,5.398095898702436,5.530907633068325,7.360046885035059,7.7347561510540634,8.141066919868837,10.192977081255089,8.109004456131894
Layer_7,7.255534110354362,7.247391977239885,7.244288777250623,0.2567377802134048,0.25140904013393944,0.01583062932673265,0.010095827652173487,0.0,0.014207203660456252,0.03614753288240534,3.033418928028178,3.0512870080360224,3.139769032805011,3.1982935723481756,3.219508708328814,3.285222311985483,3.3040704175427154,4.154279966758569,4.2534029266806925,4.35594940092796,4.515685118875183,4.646293228908604,4.7696416869112745,4.871408485468053,5.190802448309415,5.389540020898168,5.522079579465024,7.3501631137682315,7.719567341066402,8.124988437968137,10.170630009422334,8.096304146409718
Layer_8,7.350805431189447,7.342706079857941,7.339601189654738,0.33485924266431294,0.3290725485234842,0.033256967865498116,0.026994196630947223,0.014207203660456252,0.0,0.02124042132332384,3.015640311460274,3.0326906082561327,3.1178727382725375,3.175055169121322,3.1956978659408684,3.2583173296729333,3.276634367492529,4.0760153592316275,4.171552279144891,4.273514347326355,4.4294669035514005,4.559973163305981,4.679372001241017,4.780345062365988,5.09758819955768,5.297242369249549,5.4293676286716135,7.269198732430773,7.697230609297069,8.118998015541996,10.195481631132933,8.166327156657376
Layer_9,7.363913232239419,7.355758580489788,7.352534783657802,0.34839077406150215,0.34259982311901355,0.056355471348269466,0.04920031456314912,0.03614753288240534,0.02124042132332384,0.0,2.9383166006008845,2.9536222116342827,3.0363844316040853,3.090912279327393,3.1095570797874097,3.171892323582315,3.188994072817028,3.983646076688212,4.078040833042646,4.1757374359973625,4.329610322656249,4.456445233339564,4.574604086071424,4.674097745268194,4.984634366804806,5.181909623349132,5.313537069366761,7.158056834405998,7.630576591819745,8.04556891373393,10.12168751497136,8.153216078084185
