,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,1.0,0.8103173199879352,0.8015740195519606,0.1370485346340235,0.13708052373690308,0.1399674645528185,0.14006467056167018,0.1397309773857114,0.14093353569715067,0.14117162348969514,0.1306991681279607,0.13079609319622598,0.1309073739208397,0.13090837771266722,0.1309388685318581,0.1309191396751309,0.13101753696225688,0.13375731426566523,0.13383879209582578,0.13400745865210806,0.1343188260595736,0.13454929786375025,0.13557172535074286,0.13585146336551576,0.13618568554032445,0.13644753625337264,0.13673766124093514,0.14718416100711143,0.2644334275681254,0.26414403072226544,0.2986158900524289,0.39002561744342173
Layer_1,0.8103173216965041,1.0,0.897429295878836,0.20097299844707706,0.20106176988211788,0.18037523687561632,0.18108120253713866,0.1810485920887883,0.17803535143155252,0.17883115496530666,0.1553624663282686,0.15508057174435302,0.15410241798419935,0.15375805541474058,0.15367774207035903,0.1532189117206442,0.15321150947824413,0.1410454495445376,0.1406322746454867,0.1408600129877781,0.1404262637476575,0.14072575955632632,0.1404553647111128,0.14073971905257404,0.14122545757093738,0.1415798458856905,0.1418492285606057,0.11172055529356521,0.22706668993670198,0.2181719905154491,0.2554961158440164,0.3391485745964433
Layer_2,0.8015740207479588,0.8974292913389245,1.0,0.1308901252031111,0.13087398114712964,0.13896736641316068,0.1386825774012959,0.1383099942654028,0.13976943959599478,0.1394814779534997,0.11787239859017172,0.11810555428266144,0.11821629508578864,0.11802365671882191,0.11805702888968962,0.11797264249164711,0.11803573574331176,0.12241321213340904,0.12233574825806587,0.1224830382112467,0.12274727725756052,0.12296830607485865,0.12413813872663282,0.12444501515095756,0.12479636555049038,0.12508712747078207,0.1254272295935705,0.1329602018871286,0.2590934940530666,0.2401997104666999,0.28849251248418406,0.3777853961649559
Layer_3,0.1370485320132009,0.20097299503356242,0.13089012158584584,1.0,0.999992219128636,0.9844688110230498,0.9848621268432517,0.9836171540347013,0.9766807560545806,0.977192979577523,0.7512166313003263,0.7506134730445665,0.7456015905794016,0.7434018722427955,0.7431391357008694,0.740695609446435,0.740430077197706,0.6930675353674884,0.690237763192105,0.6907067050536474,0.6872425670632566,0.6876682653644844,0.6846535823000541,0.6849805974355005,0.6855374406489264,0.6859952260318298,0.68507412615416,0.3486320925426473,0.3626581120940137,0.37405492195723783,0.17408139052984659,0.45734765863291654
Layer_4,0.13708052072860147,0.2010617660046582,0.13087397853832045,0.9999922126848907,1.0,0.9845733339917357,0.984963428525042,0.9836989350732871,0.9767798419178362,0.977290627802131,0.7512705907115772,0.7506678041305628,0.7456581746819173,0.7434609028450492,0.7431989307900514,0.7407588950563512,0.7404935846042672,0.6931952415896087,0.6903681726752491,0.6908369925449755,0.6873760270008193,0.6878012242154153,0.6847872958502547,0.685113366635289,0.6856692303750087,0.686126573470457,0.6852049231285154,0.3488236809794674,0.36277920603874175,0.37417784181898683,0.17410155452244797,0.4575358100546666
Layer_5,0.13996746269169888,0.18037523385606413,0.138967363599266,0.9844688029195519,0.9845733278897041,1.0,0.9999472210389683,0.9990716045943564,0.9978257464054273,0.997643959121954,0.7589831186258627,0.7587202170117774,0.7545384387199651,0.7525802275423726,0.7523995214534723,0.7504477937454869,0.7502590313639239,0.7182575095563908,0.715803540419302,0.716210070310998,0.7133495275306467,0.7136903790105669,0.7117629192409508,0.7120180072401704,0.7124495205456463,0.7128591366740742,0.7119301701182718,0.3931349709898502,0.4034673920805878,0.4094836739403708,0.18387645175779677,0.4848529644841351
Layer_6,0.14006466825510222,0.1810812002559323,0.13868257511227128,0.9848621267944355,0.9849634407291054,0.9999472141070604,1.0,0.9992694318733871,0.9981429384537743,0.9980280656584163,0.7594704184128943,0.7591903847470624,0.7550010870681445,0.7530827308828766,0.7529030779680203,0.750968750532683,0.7507858261966392,0.7186341954976393,0.7162057994258492,0.71661474667398,0.7137518732104509,0.7140935495508001,0.7121586159396426,0.7124136574413813,0.712849714758941,0.713261378460688,0.7123330122349596,0.3932506140477095,0.403714237363977,0.40962796862085366,0.18391480185488127,0.4847357182181536
Layer_7,0.13973097531254616,0.18104858995574685,0.13830999180990713,0.9836171496412385,0.9836989415170324,0.9990715954657171,0.9992694307017971,1.0,0.999194294482738,0.9990709868734924,0.7602645584445425,0.759986158158328,0.7557863813750965,0.7538771690475853,0.7536979355253615,0.7517377971797377,0.7515546310079771,0.7192161473141255,0.7167713579513517,0.717181918869538,0.7143148385433756,0.7146576681310871,0.712716475409821,0.7129715988130281,0.7134094336401918,0.7138217776208311,0.7128924181430092,0.3934616729812384,0.40388489250981546,0.4098835795214682,0.1840163108867568,0.4840296579739971
Layer_8,0.1409335341609642,0.17803534796979373,0.13976943764753982,0.976680753613768,0.9767798508023943,0.9978257495296675,0.9981429445558059,0.9991943045388861,1.0,0.9998970764958399,0.7597164521077732,0.7594740231880684,0.7554604486912416,0.7536970105550018,0.7535400852304711,0.7517689898866401,0.7516186174118158,0.7228529997456767,0.7205803390534368,0.7209795084549305,0.7182668644712169,0.7185910076122612,0.7169152843498188,0.7171528676584253,0.71757014978137,0.7179754866892739,0.7170521151228677,0.40293469558867345,0.4139116536597069,0.41788484273900955,0.1871327668013483,0.489396914729908
Layer_9,0.1411716218985904,0.1788311523507768,0.13948147630423496,0.9771929807491131,0.9772906404455405,0.9976439652728019,0.9980280776672145,0.9990709998097994,0.9998970827443203,1.0,0.7650849490039765,0.7648277317008262,0.7608503216387892,0.7591483108119629,0.7589944160004115,0.757251393943903,0.7571082315075895,0.7283527089449151,0.7261184255770247,0.7265174712049092,0.7238124387123661,0.7241351325720866,0.7224600427005254,0.7226960701375199,0.7231142238624558,0.7235194220101608,0.7226005835820182,0.4081599862878436,0.41757377497638276,0.422017575140179,0.1892813923787768,0.4916760295165747
