,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.008798858926179197,0.014131096684443326,0.05173539042619288,0.06810446482008349,0.10760457927237564,0.11817128419949323,0.13384490804311977,0.15487698883574874,0.18314750704923485,0.23584775908573255,0.24982356497930952,0.27086444471235843,0.28610585778829606,0.3003262153275183,0.3143859959644533,0.3317653801136579,0.39565809416438985,0.4144582556565212,0.4483828231460437,0.48892794604383466,0.5219287104922957,0.5533971995432586,0.6140026890967929,0.6702658151330565,0.7259158049324904,0.7909705680379313,0.8661739387832441,0.9409143238844782,1.052008911833033,1.1285053023932705,0.8278010814137189
Layer_1,0.008798858926179197,0.0,0.01013414157412635,0.04993627671942567,0.06707317938907628,0.10691945469594216,0.11767099123451184,0.13333947754584796,0.15453880266221598,0.18279848278886857,0.23552182042188669,0.24950102120515852,0.2705812105309465,0.2858449905793458,0.30005086639882306,0.3140765420244328,0.33145880174382997,0.3953464006079112,0.41418162488624954,0.4481585878851373,0.4887542162246142,0.5217495642901443,0.5532358354178732,0.6138747456520918,0.6701473432618219,0.725810832268483,0.7908574520906985,0.8660755881903895,0.9408163974072287,1.0518597303405344,1.128474297726574,0.8277702276380603
Layer_2,0.014131096684443326,0.01013414157412635,0.0,0.04659070307960967,0.06528709272958527,0.10595551837940474,0.11685556083014517,0.13264481293725539,0.15395526779566898,0.18216727044277753,0.23495427297579274,0.24893910309069475,0.2700317111979929,0.2853266041753333,0.2995312863886112,0.3135712150176171,0.33094358119585787,0.39484686828557825,0.41375712841675966,0.4477384651566411,0.4884010097904346,0.5213617266786577,0.5528676090037403,0.6135314098154298,0.6698035866778762,0.7255050143094262,0.7905120926739054,0.8657613268257848,0.9405019385320647,1.051551199955202,1.1281237829717625,0.8273544721579962
Layer_3,0.05173539042619288,0.04993627671942567,0.04659070307960967,0.0,0.029326718688059986,0.07188139072971009,0.08396366039057622,0.10045625007635839,0.12216386375956415,0.15052998278299187,0.20333355009848714,0.21738631073858383,0.23850851034307755,0.2543369816474305,0.2685168091021631,0.28294054718412015,0.30026681658969756,0.36556162844418894,0.3855101617509278,0.4196120298953451,0.4608936616868684,0.4939980320907049,0.5296957097660802,0.5904282135225338,0.6467231125444979,0.7023940981654824,0.7683629556135698,0.8729226964599865,0.9585710503740646,1.0675809830061047,1.1481550000516436,0.8511996572375005
Layer_4,0.06810446482008349,0.06707317938907628,0.06528709272958527,0.029326718688059986,0.0,0.06741356287063095,0.08002430026058678,0.09702990878370334,0.11874447710488684,0.14774227414484595,0.20069633859967131,0.2149174370353677,0.23609030782492996,0.25223252521393047,0.2663772687084064,0.28101799460730525,0.29847050452700996,0.36354016430254943,0.383724322214564,0.4178017733723877,0.4592395759478248,0.49243085832013933,0.5283682397112898,0.5891196148791926,0.6453414416820861,0.7011132209053008,0.7672627147448834,0.8721971305348071,0.9579824560202115,1.0667559627525929,1.1474666154160058,0.8502795185640539
Layer_5,0.10760457927237564,0.10691945469594216,0.10595551837940474,0.07188139072971009,0.06741356287063095,0.0,0.0454497191868875,0.06978151936581348,0.09424514379611668,0.12617833380885635,0.1795187172137451,0.19412872722459368,0.21576757325099005,0.2336729742238797,0.24874902284116066,0.2643802589954264,0.28278902143752543,0.34964539910026693,0.3702833242195732,0.40551888488727356,0.44817914165110984,0.482087698898581,0.5184249987766256,0.5794912467815171,0.6363925576502919,0.6930120693280207,0.7595488249425708,0.867724930234467,0.9547349414212307,1.0645634930315415,1.1502414732854158,0.8636049426158464
Layer_6,0.11817128419949323,0.11767099123451184,0.11685556083014517,0.08396366039057622,0.08002430026058678,0.0454497191868875,0.0,0.05376796627281437,0.08381743092062433,0.11716939613869891,0.17199943811433613,0.18704336083491838,0.20927699793810536,0.22759638404524005,0.24280978022883115,0.2586495119050133,0.27733142067427324,0.3449582829766348,0.36581212484768233,0.40056948989849417,0.443267146258155,0.4771323335600329,0.5137091835046966,0.5745607586203785,0.6315871011908185,0.6882363648613782,0.7546565719650574,0.8630099345386077,0.950666546186983,1.0606489347005652,1.146492972616091,0.8608196586199611
Layer_7,0.13384490804311977,0.13333947754584796,0.13264481293725539,0.10045625007635839,0.09702990878370334,0.06978151936581348,0.05376796627281437,0.0,0.06447610392690584,0.10243324827430289,0.15953093025769297,0.17551874003260962,0.19899320973420515,0.2181206492373047,0.23315959573280215,0.2497910292884739,0.2690903366490723,0.33759535906453486,0.35860152241150733,0.39357362234816995,0.436766593842893,0.4707819722061954,0.507381373892838,0.5683080326036583,0.6255874817826336,0.6826494384456325,0.7492729345371643,0.8577958934137218,0.9457681773140428,1.0560278643066037,1.1422694616880111,0.8586380635979329
Layer_8,0.15487698883574874,0.15453880266221598,0.15395526779566898,0.12216386375956415,0.11874447710488684,0.09424514379611668,0.08381743092062433,0.06447610392690584,0.0,0.07344126349267757,0.13580692024942698,0.15479150141706044,0.1793773015450006,0.2009691540624742,0.21688265522467515,0.23455408576763037,0.25448592983485246,0.32463152912871746,0.34616816824913804,0.3819175760927599,0.4256669849181742,0.46011693022663136,0.497100785289213,0.5585404371356105,0.6162167638174146,0.6741412230244823,0.7410382995539079,0.850048405922992,0.9394802557064997,1.0512249171977937,1.138861428802859,0.8582528255495451
Layer_9,0.18314750704923485,0.18279848278886857,0.18216727044277753,0.15052998278299187,0.14774227414484595,0.12617833380885635,0.11716939613869891,0.10243324827430289,0.07344126349267757,0.0,0.10894042676059952,0.1319513437044513,0.15955172885547986,0.18233162464908065,0.19982284879850423,0.2192776585264737,0.24037767983332312,0.311745520525541,0.33371562375873937,0.3700508637617691,0.4138631032052146,0.448724316901403,0.4860920247779724,0.5481825548298138,0.6061909593684472,0.6645353009327819,0.731922959031676,0.8412410037425773,0.9304267131432854,1.0437402794538806,1.1314380118145893,0.8575036477886391
