,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,1.0,0.8582340078115659,0.76111501220989,0.6685481524975158,0.5177599181902399,0.3060987564406368,0.2669832220607659,0.21446835710365786,0.1761026258330966,0.17887269852592944,0.17956899472014226,0.18614857632248838,0.18468295002354645,0.17401815524338504,0.1746881019436952,0.1675848319858044,0.162291622425473,0.15224731205844372,0.14480783748856146,0.13152780588853563,0.12688067837951614,0.12003228181849533,0.11678622932120682,0.11317494146092616,0.10571290478171334,0.1037525549335718,0.09957288399668232,0.09141150351848688,0.08395276864857873,0.08166932127607054,0.0588525216614585,0.033821690067905176
Layer_1,0.8582340078115659,1.0,0.8902031407309399,0.7503300131978216,0.5820663775409665,0.35627363423262337,0.30880945017843536,0.25712007048626007,0.20843154636198727,0.2139780793909554,0.2170878808875244,0.22450011373054385,0.22217415143826474,0.20845289629663627,0.20726089241756562,0.199683457551971,0.1906814798407629,0.17890956164333882,0.16987851698998055,0.1526720764864477,0.14551359695747776,0.13827022383512774,0.13374439436548757,0.12735563666116595,0.11939539993448789,0.11507347029657465,0.11145811213712825,0.10331248853242758,0.09187873681728026,0.090628365419323,0.057593828495851214,0.0379774897488217
Layer_2,0.76111501220989,0.8902031407309399,1.0,0.8375096718958418,0.6462585592640901,0.3779293387566894,0.3274120724806524,0.2722545854631357,0.2208551166245041,0.22853445148829257,0.22722435571149566,0.23593742807413298,0.23342289807950736,0.2202797457758859,0.21871033883260763,0.21083235629604646,0.20383693048399457,0.1887572534888812,0.18037096968105248,0.16318960579983238,0.1551453297886079,0.14792014629771533,0.14421374259865938,0.1385368672882212,0.12983122824353335,0.12530363287645516,0.1222241523627567,0.11322298088247516,0.1033447113904086,0.10299549354308946,0.07219948970165826,0.05133849105063176
Layer_3,0.6685481524975158,0.7503300131978216,0.8375096718958418,1.0,0.7363924791732838,0.4402720636515028,0.37962745338751586,0.30661472168054665,0.25050102456195933,0.25165446970328065,0.24717369829407487,0.2504017387229238,0.2469074220246316,0.2337935392628138,0.2294651535961298,0.22477392271392957,0.21894599066514836,0.20314161256138757,0.1959609416764257,0.17801100976100034,0.17111696622637235,0.1632049843900815,0.16038814825322373,0.15370918718226906,0.14409649417866066,0.14022643354635175,0.13729917647944034,0.1264755808543124,0.11772647570821713,0.11725853569042868,0.0831559231042569,0.0725530641463133
Layer_4,0.5177599181902399,0.5820663775409665,0.6462585592640901,0.7363924791732838,1.0,0.5062492333602749,0.45387013045419544,0.38360379110292564,0.33093053976304215,0.3178265595123672,0.30123634887805834,0.30142357602508024,0.29489093103631414,0.2789015371007669,0.27246794912485095,0.2647077042020607,0.2578404437533956,0.23913264497931525,0.22829458675210734,0.2093426259593042,0.198604742148975,0.18978490995931196,0.18399668738160535,0.17711391412850583,0.16853743280229952,0.1650159582190588,0.16117394990138983,0.14868559212981433,0.1387719424726727,0.13703308973299685,0.11015691267086969,0.08443492179298674
Layer_5,0.3060987564406368,0.35627363423262337,0.3779293387566894,0.4402720636515028,0.5062492333602749,1.0,0.8682429420957792,0.7527957527877658,0.6714183875130005,0.6323042203909447,0.592924185384013,0.5782168389440657,0.5561047860289284,0.5279035477683156,0.5029960847799159,0.49104896588075564,0.4742192248649816,0.45597087685247606,0.4442855203425074,0.4039920502808326,0.39015066272210724,0.3681902036156252,0.3604418922529955,0.34842455410303197,0.323330628112825,0.30921268511951017,0.29966037534329854,0.27750455336088437,0.2203217587028733,0.19228691073785933,0.10744787681234556,0.08537418054787474
Layer_6,0.2669832220607659,0.30880945017843536,0.3274120724806524,0.37962745338751586,0.45387013045419544,0.8682429420957792,1.0,0.8614935231540751,0.7661492062044574,0.7169219179294033,0.658563607594305,0.6396914854535892,0.6139531514617286,0.5826187013945162,0.5529523234597783,0.5390391973908274,0.5217315698870862,0.49727616058227764,0.4865029177443108,0.4441523973469262,0.4314265111789266,0.40630158010708517,0.39852924345947505,0.38715522134040437,0.3577464044850738,0.3418191529316164,0.33400511838050284,0.3073888238119747,0.25068430193714386,0.21945180264923242,0.13044348099771627,0.10196140310273222
Layer_7,0.21446835710365786,0.25712007048626007,0.2722545854631357,0.30661472168054665,0.38360379110292564,0.7527957527877658,0.8614935231540751,1.0,0.8874428862435811,0.8175701128958094,0.7319886362718618,0.7025605041310985,0.6693560625567581,0.6334945388888844,0.5968621905761894,0.581157270681653,0.564564203478878,0.5282025537121794,0.5182116946463308,0.4708198450023673,0.45716760731641626,0.4280503969471734,0.42144686815974947,0.4072112838915388,0.37414416037408377,0.3554379267100913,0.3463129934646574,0.3193716488101266,0.26395643933887464,0.23117270710573734,0.14860658138917177,0.11676492563385538
Layer_8,0.1761026258330966,0.20843154636198727,0.2208551166245041,0.25050102456195933,0.33093053976304215,0.6714183875130005,0.7661492062044574,0.8874428862435811,1.0,0.9172100933431896,0.8103938330694069,0.7729901905239458,0.7377336951282354,0.7004880619576288,0.6596003083251325,0.6416602918205448,0.6237585831137586,0.5811423506041612,0.5732899392656768,0.5222299256889084,0.5063922153595136,0.4736689314502463,0.46564831577979765,0.4501127992908453,0.41593267415313817,0.39355367063304425,0.384169056755319,0.35497886752808905,0.2991012406217378,0.26407123828744616,0.1801475402544406,0.13956250879458967
Layer_9,0.17887269852592944,0.2139780793909554,0.22853445148829257,0.25165446970328065,0.3178265595123672,0.6323042203909447,0.7169219179294033,0.8175701128958094,0.9172100933431896,1.0,0.8802847439983065,0.8470483145491204,0.8127634414486178,0.7798451524987561,0.7412395163894578,0.7197161176768997,0.7000769565673659,0.654360966493027,0.6437569620373013,0.5954032214961025,0.5784109301932223,0.5471055563798602,0.5374949061899865,0.5199612183076842,0.4880645828936356,0.4644346548874392,0.45171572030029955,0.41927571137062747,0.3602576832074205,0.32216346215069247,0.23478477188888677,0.1651314890697098
