,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,1.0,0.09238398586213589,0.3481949773430824,0.40806256091594695,0.39281287902593615,0.34004467299580576,0.2825384283065796,0.2828100000023842,0.2832504885792732,0.2835341500639915,0.2840657838582993,0.28431966829299926,0.2844900928735733,0.27044377690553667,0.2701282863020897,0.27009270095825194,0.26618182301521304,0.0716353707164526,0.07306381651759147,0.07580940243601798,0.07664564895629883,0.07839337113499642,0.08082041415572166,0.16090283301472663
Layer_1,0.09238398569822312,1.0,0.8397151514291763,0.7872824604511262,0.8000650708675384,0.8353070467710495,0.7639325511455536,0.7640572070479393,0.7638812317252159,0.7637181263566017,0.7634729279279708,0.763367625951767,0.7634291417002678,0.7735014880299568,0.7739175879955291,0.7743160779476166,0.7773141103386879,0.8624735199213028,0.8615108659267425,0.8609795925021172,0.8601850369572639,0.8547181562185288,0.8496098273396492,0.11475237198174
Layer_2,0.34819497364759444,0.8397151535749435,1.0,0.9953472660779953,0.9969963592290878,0.9915590759515762,0.8591464148759842,0.8593461745381356,0.8595250477790832,0.8595829874277114,0.8597442592978477,0.8597587072253228,0.8598448194265366,0.8564820758700371,0.8563860035538673,0.8563916603922844,0.8553484045863151,0.6894687319397926,0.6809180676937103,0.6783925245404243,0.6757690173387527,0.6496302154660225,0.6371325644254684,0.09169993782788514
Layer_3,0.4080625602006912,0.7872824641466141,0.9953472751379013,1.0,0.9994503252506256,0.9864868434667587,0.8473259427547455,0.8475401779413223,0.847777385354042,0.8478728357553482,0.8481026779413223,0.8481396008729934,0.8482305281162262,0.842631019115448,0.8424494623541832,0.842396406173706,0.8406895441412926,0.6402644339203835,0.6311004762053489,0.628501082599163,0.6257497789263725,0.5979364994764328,0.5849584088921547,0.08926310902833938
Layer_4,0.3928128804564476,0.8000650726556778,0.996996372461319,0.9994503210783005,1.0,0.991092515707016,0.8427860456705093,0.8429987132549286,0.8432245621085167,0.8433136612176895,0.8435322200655937,0.8435681626200676,0.8436682527065277,0.8386076419353485,0.8384572511911392,0.8384324246048928,0.8368994711041451,0.6457072877883911,0.6367517610788346,0.6342171269059181,0.6315313957333565,0.604414661347866,0.591835051715374,0.09202042761445045
Layer_5,0.3400446740090847,0.835307044506073,0.99155908036232,0.9864868303537369,0.9910925039052964,1.0,0.8082453571557998,0.8084594154953957,0.8086456561088562,0.8087160565257072,0.8088925119638443,0.8089281900525093,0.8090572032928467,0.8058385087251663,0.8057853637933731,0.8058439167737961,0.8049246127009392,0.6482380340695382,0.6402962518334389,0.6380020748376847,0.6356842204332351,0.6116968805193901,0.6006752549409866,0.0998487384468317
Layer_6,0.28253842639923094,0.7639325460195542,0.859146401822567,0.8473259298801422,0.8427860417962074,0.8082453516721726,1.0,0.9999989362955093,0.9999973909854889,0.9999953073263168,0.9999915226697922,0.9999880388975143,0.9999803268909454,0.9996857589483261,0.9996410419940949,0.9995941978693008,0.9993140304088592,0.8651609699726105,0.8563699080944062,0.8535359790325164,0.8508324741125107,0.8231888375282288,0.8088783624172211,0.09821489870548249
Layer_7,0.28280999636650084,0.7640572085380554,0.8593461561203003,0.847540170431137,0.842998700082302,0.8084593965411186,0.9999989203214645,1.0,0.9999986928701401,0.9999970709085464,0.9999937371015549,0.999990349650383,0.9999829770326615,0.9996854438781738,0.9996416562795639,0.9995955339670182,0.9993144180774689,0.8651233369112015,0.8563356260061264,0.8535035554170608,0.8508023689985276,0.8231650100946426,0.8088579205274582,0.0984043820053339
Layer_8,0.28325049179792405,0.7638812274336815,0.8595250371694565,0.8477773742675782,0.8432245466113091,0.8086456452608108,0.9999974179267883,0.9999987403154373,1.0,0.9999988442659378,0.9999965506792069,0.9999933894872666,0.9999864143133164,0.9996712460517884,0.9996279565095901,0.9995820468664169,0.9992969233989716,0.864796798825264,0.8560037565231323,0.8531697189807892,0.850466406583786,0.8228156036138534,0.8085122503042221,0.09856201761960984
Layer_9,0.28353415018320083,0.7637181223034859,0.8595829856991768,0.8478728351593018,0.8433136512637138,0.8087160443663597,0.9999953571557999,0.9999971280097961,0.9999988684654236,1.0,0.9999983369112014,0.9999959579706192,0.9999900604486466,0.9996646902561188,0.9996219784021377,0.9995765407085418,0.9992894252538681,0.8645942556858063,0.85579727435112,0.8529611693620682,0.850259297132492,0.8225987530946731,0.8082969781160355,0.09873049795627593
Layer_10,0.2840657838582993,0.7634729154109955,0.8597442503571511,0.8481026664972305,0.8435322210192681,0.8088925111293793,0.9999915640354157,0.9999937993288041,0.9999965732097625,0.9999983319044113,1.0,0.9999978704452515,0.9999930182695389,0.9996479519605637,0.9996061421632767,0.9995621395111084,0.9992702261209488,0.8642233312129974,0.8554174739122391,0.8525815246105194,0.849881864786148,0.8222083538770676,0.8079113146066665,0.09895879471302033
Layer_11,0.284319667160511,0.7633676196336746,0.8597586959004402,0.8481395913362503,0.8435681574940681,0.8089281939864159,0.9999880760908126,0.9999903959035873,0.9999933967590332,0.9999959332942963,0.9999978731870651,1.0,0.9999968515634536,0.9996467114686965,0.999606517791748,0.9995630379915238,0.9992716200351716,0.864128720164299,0.8553238176107406,0.8524888093471528,0.8497951704263688,0.8221295319795608,0.8078526574373245,0.0994115798920393
Layer_12,0.2844900909662247,0.7634291361570358,0.8598448134660721,0.848230521440506,0.843668255329132,0.8090572030544281,0.9999803661108017,0.9999830329418182,0.9999864342212677,0.9999900481700897,0.9999930205345153,0.9999968581199646,1.0,0.999650557398796,0.9996121517419815,0.9995707126855851,0.9992813154458999,0.8641216922998428,0.8553199999332428,0.8524873219728469,0.8497995934486389,0.8221513239145279,0.8079079174995423,0.10006329040229321
Layer_13,0.2704437762498856,0.7735014973282814,0.8564820724725724,0.8426310104131699,0.8386076449155807,0.8058385091423989,0.999685809135437,0.9996854536533356,0.999671263217926,0.9996646827459336,0.9996479569673539,0.9996467305421829,0.9996505615711212,1.0,0.9999910494089127,0.9999724962711334,0.9998939462900162,0.8767244826555252,0.868243815779686,0.8654931675195694,0.862892889380455,0.8361262531280518,0.8221856861114502,0.10201627078652382
Layer_14,0.27012828874588013,0.77391759121418,0.8563860104084015,0.8424494386911392,0.8384572521448136,0.8057853537201881,0.9996410964727401,0.9996416792869568,0.9996279833316803,0.9996219656467438,0.9996061456203461,0.9996065236330033,0.9996121529340743,0.9999910571575165,1.0,0.9999890333414078,0.9999257904291153,0.8772297810316085,0.8687728445529938,0.8660341621637344,0.8634548699855804,0.836767394065857,0.8229057205915451,0.10344175037741661
Layer_15,0.27009270119667056,0.7743160890936851,0.8563916580677032,0.8423964002132416,0.8384324172139168,0.8058439208269119,0.9995942525863647,0.9995955541133881,0.9995820482969284,0.9995765184164047,0.99956212246418,0.9995630178451538,0.9995707080364228,0.9999724869728088,0.9999890079498291,1.0,0.999952420592308,0.8776305756568908,0.8691938580274582,0.8664761880636215,0.8639234578609467,0.8373271337747574,0.8235587397813797,0.10522493322193623
