,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_0,1.0,40.86030881500244,60.13935954284668,67.42557747650146,67.718357131958,58.61937155151367,1490.438864013672,1497.9423513183594,1508.6937229003906,1515.8675458984376,1527.225044921875,1536.250572998047,1546.3677341308594,1610.3373354492187,1630.1263283691405,1659.605918701172,1754.2114694824218,1681.3965361328126,1751.8514506835938,1830.8133178710937,1908.846775390625,1670.2999108886718,1892.8081469726562,30802.94688671875
Layer_1,0.025201711738482117,1.0,1.4767579653263092,1.6583467082977295,1.6631148288249968,1.4267111756801605,37.54132730484009,37.7304366569519,38.00139115905762,38.182228870391846,38.46858127593994,38.69630702590943,38.95181395339966,40.5638172492981,41.064026096343994,41.807788005828854,44.19319062805176,42.36137089157104,44.1413102684021,46.13627164840698,48.10817648696899,42.108481037139896,47.73841845321655,777.6219764404296
Layer_2,0.017027913499623536,0.6777504721879959,1.0,1.1227116239070893,1.125993417263031,0.9662020184993744,25.3600059967041,25.4877606716156,25.670806201934816,25.792970750808717,25.986415725708007,26.14025404930115,26.312872955322266,27.40184220123291,27.73975238800049,28.24226629638672,29.85371231842041,28.616467414855958,29.81911011505127,31.167051876068115,32.499357036590574,28.446784526824953,32.25053527069092,525.32441796875
Layer_3,0.015148288695141673,0.6038683354854584,0.8907854981422424,1.0,1.0029988039731978,0.8610535991191864,22.558536720275878,22.67218099975586,22.835010648727415,22.94368141937256,23.11576106071472,23.25260774421692,23.406163928985595,24.374844791412354,24.675431116104125,25.122482654571535,26.555947635650636,25.455465425491333,26.52532441711426,27.72445672607422,28.909695045471192,25.304910079956056,28.688693897247315,467.3102623901367
Layer_4,0.015123788688331842,0.602057609796524,0.8881714117527008,0.9971409839391708,1.0,0.8578156188726426,22.528331085205078,22.64180689430237,22.804391759872438,22.912899700164793,23.084712198257446,23.221332963943482,23.374614513397216,24.341919174194334,24.641954471588136,25.08813945770264,26.519388217926025,25.419919773101807,26.487771549224853,27.684561599731445,28.867374031066895,25.266457187652588,28.643244903564455,466.4886813354492
Layer_5,0.017852805230766534,0.7047993763685226,1.0402006649971007,1.1683529963493346,1.1708535315990447,1.0,26.62738579750061,26.761426097869872,26.953454538345337,27.0816190738678,27.284505573272703,27.44577302932739,27.626598079681397,28.76951421928406,29.123416986465454,29.649382417678833,31.339544857025146,30.037643495559692,31.296905717849732,32.707787296295166,34.1014987411499,29.840465713500976,33.81937631988525,550.3769150390625
Layer_6,0.0006735374155687168,0.02751186975091696,0.040482833594083785,0.04538231733441353,0.0455931626111269,0.03952643286064267,1.0,1.005044167280197,1.0122732589244843,1.01709716629982,1.0247394008636475,1.0308209898471832,1.0376535613536835,1.080623495578766,1.0939997551441192,1.1139270584583283,1.1775821483135223,1.1289890041351318,1.1766417520046235,1.2300823228359223,1.2829508016109465,1.12352934217453,1.2744721603393554,20.788777185440065
Layer_7,0.0006701500641647727,0.02737359568104148,0.04027937864512205,0.045154245048761366,0.04536399587243795,0.03932762226834893,0.9949811911582946,1.0,1.0071927568912507,1.0119924147129058,1.019596217393875,1.0256471967697143,1.0324453237056732,1.0751994235515594,1.0885082149505616,1.1083349888324738,1.1716699891090394,1.1233198034763336,1.1707321393489838,1.2239028987884522,1.276504254102707,1.1178808121681214,1.2680606441497804,20.684029787063597
Layer_8,0.0006653534610522911,0.027177778314799072,0.039991254292428495,0.04483126219362021,0.045039454504847524,0.03904602694511414,0.9878757899999618,0.9928587073087692,1.0,1.0047653336524964,1.012314710378647,1.0183223333358764,1.0250716867446898,1.067520200252533,1.080733433008194,1.10041783452034,1.1632996201515198,1.1152933514118195,1.162365206718445,1.21515385389328,1.2673768939971923,1.1098830287456511,1.2589821195602418,20.53568857383728
Layer_9,0.0006621905926149338,0.027048687394708396,0.03980130719393492,0.04461833110451698,0.04482549731433392,0.03886039317026734,0.9831907012462616,0.988149952173233,0.9952573236227036,1.0,1.0075135004520417,1.0134925336837768,1.0202097098827363,1.06245671916008,1.0756069173812866,1.0951974070072175,1.1577803137302398,1.1100007655620574,1.1568480658531188,1.2093847048282624,1.2613581912517549,1.1046089956760405,1.2529951179027556,20.437855354309082
Layer_10,0.0006572376384865493,0.026846582125872372,0.039503921687603,0.044284964993596077,0.04449050709605217,0.038569674521684645,0.9758590415716172,0.9807812346220016,0.9878354911804199,0.9925427211523056,1.0,1.0059342634677888,1.0126010229587554,1.0545326216220856,1.0675840449333192,1.0870273606777192,1.1491422936916351,1.1017171041965486,1.1482124116420747,1.2003539659976958,1.2519361588954925,1.0963513894081116,1.2436193521022796,20.28456700706482
