,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,0.9830187915563583,1.561375824689865,12.97593327331543,14.44130397415161,29.146950313568116,29.328276039123534,30.71005735397339,33.86283017730713,36.42668049621582,78.13213892364502,79.5628519821167,81.94872687530517,83.05881520080567,85.01699691772461,86.79591188812256,88.12609014892578,105.32453588104248,107.14329135894775,111.94704234313964,115.61217535400391,120.24793208312988,122.96051737976074,126.37802381896972,135.56027377319336,140.76844580078125,143.91114245605468,139.2245129699707,108.43493969726562,117.36020057678223,121.42648597717285,66.23886805725098
Layer_1,0.5524791429042816,0.0,0.6298858423233032,6.542014280319214,7.548909606933594,18.615646444320678,18.698946519851685,19.58355477333069,21.85905291557312,23.474572957992553,50.97989643478394,51.95481174087524,53.60574394989014,54.30044584274292,55.56395862197876,56.75652243423462,57.621578666687014,70.2333348236084,71.44982249450683,74.59298569488526,77.05094622039795,80.11316965484619,82.05105881500243,84.29186000823975,90.39774367523194,93.84935473632812,95.92220207214355,94.09574896240234,73.71914234924317,79.60021264648438,82.19464297485352,44.13729997253418
Layer_2,0.7006489202976227,0.45800458085536955,0.0,7.034919298171997,7.797898339271545,15.795782772064209,15.872715147018432,16.554891563415527,18.203726028442382,19.44921272277832,40.37932113265991,41.080953010559085,42.283201053619386,42.82067170715332,43.759030620574954,44.658058376312255,45.29759661865234,54.32997497177124,55.24236204528808,57.56770782470703,59.385573432922364,61.640933700561526,63.04264569854736,64.6988560409546,69.19232305908203,71.73879123687745,73.25506214141846,70.2794677734375,54.30259310913086,58.79716386413574,60.45286888885498,32.57808917236328
Layer_3,0.7689313925504685,0.755908727645874,0.6488599582910538,0.0,1.0698649414777757,7.162733214855194,7.334002690792084,8.002420472145081,9.436799014091491,10.552942192077637,28.832087326049805,29.439006994247436,30.47319534301758,30.94877085876465,31.79353870010376,32.570285799026486,33.14015852355957,40.67745321273804,41.45985092163086,43.53325569915771,45.11521113586426,47.11585729980469,48.32664063262939,49.804122375488284,53.7683136138916,56.0250359954834,57.39779104614258,58.39708095550537,46.136604713439944,50.09123287200928,52.32937650299072,28.256675365447997
Layer_4,0.8853353996276856,0.9160810109376908,0.8584638265371323,0.6659743582010269,0.0,3.8784222989082338,4.012272037506103,4.453634325504303,5.300092706680298,6.020732213020325,17.179045203208922,17.543612787246705,18.166434159278868,18.488180050849916,19.03280987739563,19.521314392089845,19.89046264076233,24.180952898025513,24.67540393257141,26.006066934585572,26.992677892684938,28.263229290008546,28.98646534729004,29.929258819580077,32.428452056884765,33.86246237564087,34.74107052230835,35.421500965118405,28.152915294647215,30.708532955169677,32.26154810714722,17.686222564697264
Layer_5,0.9513576741218567,0.9959976217746734,0.9798412574529648,0.8500465253591537,0.7823326240777969,0.0,0.5796593351364135,0.9789717669486999,1.3925238018035888,1.9937999324798583,9.7394170794487,9.927441291809082,10.248116941928863,10.519114182949066,10.896813755512238,11.200648386478424,11.450938768863677,12.949074901580811,13.261614090919494,14.116777651786805,14.691321150779725,15.472059692382812,15.802026092529298,16.389958452224732,17.885563899993898,18.766803966522218,19.320147748947143,19.51819453239441,15.001940696716309,16.833464330673216,18.03322253417969,10.341570854187012
Layer_6,0.9669558665752411,1.0096002550125123,0.9994581738710403,0.8974222877025604,0.840307968378067,0.48723292791843414,0.0,0.638949408173561,1.0282677538394929,1.5406091825962067,7.916616671562195,8.08096931385994,8.35786047554016,8.585329268455505,8.905359830379487,9.157112008094787,9.367747629642487,10.657188379764557,10.912893660545349,11.628749404907227,12.106185619354248,12.76080872631073,13.039930868148804,13.528411602973938,14.779095218658448,15.514294361114501,15.973088279724122,16.165021017074586,12.477287519454956,13.997352739334106,15.01596061706543,8.607200947761536
Layer_7,0.981757483959198,1.014547132372856,1.008533453464508,0.9397206653356552,0.8980750433206558,0.6367339452505112,0.4944718030691147,0.0,0.5923248683214187,1.032723349928856,5.89509150838852,6.039835591554642,6.26751562166214,6.44889190196991,6.704461689710617,6.895864662647248,7.058314271450043,8.097803207874298,8.291674162864686,8.849959206104279,9.218160707950592,9.72789268398285,9.946228636741639,10.324831349372865,11.292598932266236,11.86164063835144,12.21555685520172,12.384903783798217,9.609183864593506,10.771501314163208,11.562983810424805,6.634031518936157
Layer_8,0.988622010588646,1.0171787334680558,1.013744762301445,0.9621807552576065,0.9285723836421966,0.7302693818807602,0.6370909913778305,0.4693520557284355,0.0,0.5508817713856697,3.5661658226251602,3.7085390448570252,3.90144347679615,4.049380970716476,4.267614867210388,4.412071927785873,4.54993384385109,5.332196689605713,5.473655714035035,5.939457711696625,6.230602619647979,6.654010587215423,6.833116455554962,7.144436380386352,7.9394008140563965,8.411315922737122,8.701840826034546,9.011498873710632,7.465429992675781,8.337341423034667,9.061588186264038,5.327608173370361
Layer_9,0.9893913165330886,1.0121511923074722,1.0076765575408935,0.9617151290178299,0.9338976765871048,0.7628806285858154,0.6866718988418579,0.5729559074640274,0.3799841007590294,0.0,1.3730987782478332,1.516114549279213,1.6894211865663529,1.8131318389177322,2.0135588204860686,2.135553879737854,2.265333657979965,2.8558768484592436,2.969395821094513,3.390917143344879,3.6372771525382994,4.0194973073005675,4.180907083511353,4.464009793758392,5.177412669181824,5.607167649269104,5.8735558032989506,6.4087144947052,6.105404048919678,6.765520866394043,7.524236679077148,4.636022325515747
Layer_10,0.9904043525457382,1.009461253285408,1.0052332663536072,0.9625472980737686,0.9376348255872726,0.7910964646339417,0.7401947482824326,0.6654230296611786,0.5335719374418258,0.40298611456155775,0.0,0.2553529480695724,0.4250966939330101,0.5714961487650871,0.7590191550254822,0.8737303624153138,1.0005100209712983,1.3960085427761078,1.5053463099002837,1.8789987852573395,2.0851881453990937,2.4189547510147094,2.5635864515304565,2.8170083708763123,3.4356596632003784,3.814287504673004,4.052181935787201,4.635037405967712,4.94583540725708,5.473044640541077,6.227403940200806,3.987246958255768
