,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,1.0,0.8597757519483566,0.7666042803525924,0.6701281985044479,0.5279574986100197,0.32754328125715254,0.2813488259315491,0.2143998037278652,0.17681543523073195,0.17070769795775415,0.17359208115935326,0.1807854228615761,0.17882069608569146,0.16815146258473396,0.16843101361393928,0.1612396597713232,0.1543242195248604,0.14349912506341933,0.13633409176766872,0.12367365753650665,0.11822987262904644,0.11155014173686505,0.10741214428842068,0.10405605341494083,0.09693026474118233,0.09509832189977169,0.09118255469202995,0.0836312270462513,0.07716417789459229,0.0749751570597291,0.05370942271500826,0.031069347646087406
Layer_1,0.8597757519483566,1.0,0.8953858915567398,0.7510732400417328,0.5959962166547775,0.3780666132569313,0.3215546752810478,0.25403757140040395,0.20643509283661843,0.20199602583050727,0.2092710610330105,0.21759096145629883,0.2150044926404953,0.20129712772369385,0.1999399260878563,0.19287196838855744,0.1820684793293476,0.17040843358635901,0.16186188068985938,0.14585568022727965,0.13804383903741838,0.1307899645268917,0.12541257636249065,0.11942057800292968,0.1115145182609558,0.10756337055563926,0.10435424765944482,0.09724841612577438,0.08607762053608894,0.08560143807530403,0.053228130035102364,0.03491824723780155
Layer_2,0.7666042803525924,0.8953858915567398,1.0,0.8358144563436508,0.6606045105457305,0.40443941020965574,0.34523431992530823,0.2737368940114975,0.22358689293265344,0.2200519044995308,0.22282001999020576,0.23278266322612762,0.22995756727457045,0.2164796089231968,0.21439704167842866,0.20686898636817933,0.19791340684890746,0.18318386870622635,0.17528095588088036,0.15886619859933854,0.15051712767779826,0.14342560890316963,0.13871581734716892,0.1332732603698969,0.12461756266653538,0.12015170119702816,0.11756559425592422,0.1094559864550829,0.0996277957558632,0.09980573080480099,0.06935981260985136,0.048975552178919315
Layer_3,0.6701281985044479,0.7510732400417328,0.8358144563436508,1.0,0.7499705687761307,0.47962744820117953,0.40746008372306824,0.3191241709589958,0.26079762503504755,0.25236936017870903,0.2509907740652561,0.25438327062129973,0.24989617589116098,0.23575413727760314,0.2297547301054001,0.2257048013806343,0.21800143006443978,0.20428982892632486,0.1975877887904644,0.17954807969927788,0.17235387548804282,0.16378763794898987,0.15980509859323502,0.15354755939543246,0.14316213662922384,0.1389416547268629,0.13661315195262433,0.12650073459744454,0.11716564889252186,0.11730979031324387,0.08226609538495541,0.07203163427114487
Layer_4,0.5279574986100197,0.5959962166547775,0.6606045105457305,0.7499705687761307,1.0,0.5453286823630333,0.48254900306463244,0.396694626390934,0.34373547875881194,0.31935503309965135,0.30566881275177005,0.3083012146949768,0.3019855762720108,0.28505694556236266,0.27844050964713096,0.2707864733338356,0.26197619014978407,0.2404601169526577,0.2301857677400112,0.21066807547211647,0.19905309349298478,0.18954203170537948,0.18302732601761817,0.1768701817691326,0.16652300626039504,0.16326343655586242,0.1599014286696911,0.1477727219760418,0.13762010359764099,0.13596076305210592,0.11130741380155086,0.08300351452827454
Layer_5,0.32754328125715254,0.3780666132569313,0.40443941020965574,0.47962744820117953,0.5453286823630333,1.0,0.8430872911214828,0.7105626660585403,0.6231699481010436,0.5801393558979034,0.5554935276508332,0.5412837601304055,0.5194220659136772,0.49229765635728834,0.4658343276977539,0.45625496035814284,0.4382260337471962,0.42061097049713136,0.41032167261838914,0.3708061950802803,0.35632222482562065,0.3347087788283825,0.3269770337343216,0.3158243050277233,0.2904695452153683,0.2777340856194496,0.26950489640235903,0.24932148030400275,0.1990704851448536,0.17726999589800835,0.10544042824208737,0.0839100433140993
Layer_6,0.2813488259315491,0.3215546752810478,0.34523431992530823,0.40746008372306824,0.48254900306463244,0.8430872911214828,1.0,0.8369410654306412,0.7301381170749665,0.6713409183025361,0.6254185823202133,0.6063184893727303,0.581013007581234,0.5505899723172187,0.5183962513804435,0.5057860160470009,0.4867261535525322,0.4607316375374794,0.451713388800621,0.4098458198904991,0.39680072164535524,0.3717368811964989,0.36378808540105817,0.3533375318646431,0.32313163024187086,0.3087593551874161,0.3019252877533436,0.2767733751833439,0.2276584315598011,0.20289037442207336,0.12637963505089284,0.0976086256802082
Layer_7,0.2143998037278652,0.25403757140040395,0.2737368940114975,0.3191241709589958,0.396694626390934,0.7105626660585403,0.8369410654306412,1.0,0.8660943788290024,0.7799237505197525,0.700674849152565,0.6679950025081635,0.634614155113697,0.5988613592386246,0.558165546476841,0.5437377467751503,0.5253962209224701,0.4860455488562584,0.4772336644530296,0.43080661648511887,0.41715708053112033,0.38833331125974657,0.38141312563419344,0.36808705055713653,0.3350091583430767,0.31784972724318505,0.30974122098088264,0.28464158448576926,0.23807824525237084,0.2116271396279335,0.14316353824734687,0.1133035674393177
Layer_8,0.17681543523073195,0.20643509283661843,0.22358689293265344,0.26079762503504755,0.34373547875881194,0.6231699481010436,0.7301381170749665,0.8660943788290024,1.0,0.8926782276630402,0.7862153778076172,0.7465016679763794,0.7109526442289352,0.673433737039566,0.6283372570872306,0.6110402069091797,0.5909509080648422,0.5439294895529747,0.5367700394392013,0.4867060112953186,0.47064197462797164,0.43838996279239656,0.42973232793807986,0.41514135187864304,0.3808284609913826,0.359622297167778,0.35133511406183243,0.3241189597249031,0.27853825518488884,0.24963647615909576,0.17964446100592613,0.13852315901219844
Layer_9,0.17070769795775415,0.20199602583050727,0.2200519044995308,0.25236936017870903,0.31935503309965135,0.5801393558979034,0.6713409183025361,0.7799237505197525,0.8926782276630402,1.0,0.8643561002016068,0.8292919751405716,0.7942207914590835,0.7605594114065171,0.7180992326736451,0.6971329486370087,0.6749007306098938,0.6256953036785126,0.6156797060966491,0.5688345440030098,0.551514648258686,0.5208140941262245,0.5104627252817154,0.4938938408493996,0.46264959192276,0.44022946536540986,0.4283328709602356,0.39825026965141297,0.34959321171045304,0.31751971679925917,0.24260512959957123,0.16891115990281105
Layer_10,0.17359208115935326,0.2092710610330105,0.22282001999020576,0.2509907740652561,0.30566881275177005,0.5554935276508332,0.6254185823202133,0.700674849152565,0.7862153778076172,0.8643561002016068,1.0,0.9681708990335465,0.9331298804283142,0.892541717171669,0.8490209857225418,0.8221064846515655,0.7933022210597992,0.7574283492565155,0.738537764430046,0.689875666975975,0.6708327790498734,0.6393503618240356,0.625027679681778,0.6031645072698593,0.5715963751077652,0.5475872982740402,0.5327163268923759,0.500124287545681,0.41793379068374636,0.38796883857250214,0.2754267805814743,0.1778074888586998
Layer_11,0.1807854228615761,0.21759096145629883,0.23278266322612762,0.25438327062129973,0.3083012146949768,0.5412837601304055,0.6063184893727303,0.6679950025081635,0.7465016679763794,0.8292919751405716,0.9681708990335465,1.0,0.9689654761552811,0.9324538850784302,0.8954829930067062,0.8641027227640152,0.8344953601360321,0.7971067049503326,0.7741227424144745,0.7327844762802124,0.7107538511753082,0.6822673238515854,0.6651956772804261,0.6412178441286087,0.6136997466087342,0.5909248490333557,0.5740790891647339,0.5400207103490829,0.4550694854259491,0.42287524974346163,0.3115193027257919,0.19227692526578904
Layer_12,0.17882069608569146,0.2150044926404953,0.22995756727457045,0.24989617589116098,0.3019855762720108,0.5194220659136772,0.581013007581234,0.634614155113697,0.7109526442289352,0.7942207914590835,0.9331298804283142,0.9689654761552811,1.0,0.9656957937479019,0.9314799941778183,0.899392098903656,0.8689846626520157,0.8307829239368438,0.8062135844230652,0.7694073346853256,0.7459119955301284,0.7187524337768555,0.7000507334470749,0.6741224927902222,0.6511274455785752,0.6291305327415466,0.6107594439983368,0.5768214036226272,0.49001133489608767,0.4563417309522629,0.3470296298861504,0.20762262946367263
Layer_13,0.16815146258473396,0.20129712772369385,0.2164796089231968,0.23575413727760314,0.28505694556236266,0.49229765635728834,0.5505899723172187,0.5988613592386246,0.673433737039566,0.7605594114065171,0.892541717171669,0.9324538850784302,0.9656957937479019,1.0,0.9682556384801865,0.936006702542305,0.9090992879867553,0.8627071425914764,0.8402155747413635,0.8072343668937683,0.7834115643501282,0.7569305307865143,0.7374830002784729,0.709098174214363,0.6891947441101074,0.6671502103805542,0.6478231478929519,0.6123647576570511,0.5270236134529114,0.4922679681181908,0.3916573560237884,0.22981692570447923
Layer_14,0.16843101361393928,0.1999399260878563,0.21439704167842866,0.2297547301054001,0.27844050964713096,0.4658343276977539,0.5183962513804435,0.558165546476841,0.6283372570872306,0.7180992326736451,0.8490209857225418,0.8954829930067062,0.9314799941778183,0.9682556384801865,1.0,0.9640928357839584,0.9377305492162704,0.8929837893247604,0.8677781480550766,0.8460671864748001,0.8210305463075638,0.8004372512102127,0.7785694868564605,0.7472483465671539,0.7343815686702728,0.7142102077007294,0.6913093492984772,0.656519193649292,0.5675898141860962,0.5305925965309143,0.4290604705810547,0.23294860678911208
Layer_15,0.1612396597713232,0.19287196838855744,0.20686898636817933,0.2257048013806343,0.2707864733338356,0.45625496035814284,0.5057860160470009,0.5437377467751503,0.6110402069091797,0.6971329486370087,0.8221064846515655,0.8641027227640152,0.899392098903656,0.936006702542305,0.9640928357839584,1.0,0.9698299267292023,0.9243185676336289,0.9025796828269959,0.8742586238384247,0.8477167732715607,0.8243684136867523,0.8018230184316635,0.7694397258758545,0.7534674723148346,0.7314911476373672,0.7084700516462326,0.6725916525125504,0.5835261349678039,0.546528534412384,0.44358866357803345,0.2456430102288723
Layer_16,0.1543242195248604,0.1820684793293476,0.19791340684890746,0.21800143006443978,0.26197619014978407,0.4382260337471962,0.4867261535525322,0.5253962209224701,0.5909509080648422,0.6749007306098938,0.7933022210597992,0.8344953601360321,0.8689846626520157,0.9090992879867553,0.9377305492162704,0.9698299267292023,1.0,0.9409611648321152,0.9226082692146301,0.8883914406299591,0.861939056634903,0.8373818269968033,0.8161232299804687,0.7863026527166367,0.7666817160844803,0.7444937202930451,0.7220400726795196,0.6843300907611847,0.5974885460138321,0.5587856324911118,0.45906565952301026,0.25733389177918436
